          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
     6.93369	  0.00426115	  1.0000e+00	  6.9337e+00	  2.1235e-04	  5.2365e-05	  6.7758e-04	  3.1964e-04	  9.6842e-05	  9.1820e-05	  8.8259e-04	  7.1372e-05	  6.6586e-05	  4.1338e+02	  5.5175e-01	  9.0402e-01	  9.6547e-01	  9.9984e-01	  4.5659e+00	  1.5974e+01	  1.7581e+00	  2.4336e-01	  6.3806e-01	  5.2529e-02	  5.2529e-02	  1.9625e-01	  2.3288e+01	  0.0000e+00	  0.0000e+00	  5.7521e-04	  1.4089e-03	
      6.8762	  0.00608513	  2.0000e+00	  6.8762e+00	  2.5208e-04	  6.2263e-05	  9.7817e-04	  4.7598e-04	  7.7508e-05	  8.1740e-05	  1.4864e-03	  8.5096e-05	  6.0876e-05	  6.0260e+02	  4.8319e-01	  8.6640e-01	  9.5101e-01	  9.9968e-01	  4.4254e+00	  1.6047e+01	  1.7522e+00	  9.2878e-02	  7.1808e-01	  5.3158e-02	  5.3158e-02	  3.3881e-01	  2.3145e+01	  0.0000e+00	  0.0000e+00	  6.1176e-04	  1.3761e-03	
      6.8402	    0.007601	  3.0000e+00	  6.8402e+00	  2.8043e-04	  6.9350e-05	  1.2309e-03	  6.1217e-04	  6.8131e-05	  7.5895e-05	  1.9933e-03	  9.4984e-05	  5.7614e-05	  7.5462e+02	  4.4241e-01	  8.3845e-01	  9.3980e-01	  9.9953e-01	  4.2879e+00	  1.6119e+01	  1.7477e+00	  4.6175e-02	  7.5453e-01	  5.3843e-02	  5.3843e-02	  4.1786e-01	  2.3066e+01	  0.0000e+00	  0.0000e+00	  6.3030e-04	  1.3516e-03	
       6.814	  0.00893527	  4.0000e+00	  6.8140e+00	  3.0292e-04	  7.4985e-05	  1.4550e-03	  7.3589e-04	  6.2358e-05	  7.1887e-05	  2.4454e-03	  1.0288e-04	  5.5392e-05	  8.8546e+02	  4.1386e-01	  8.1585e-01	  9.3042e-01	  9.9938e-01	  4.1530e+00	  1.6190e+01	  1.7436e+00	  3.7778e-02	  7.7458e-01	  5.4554e-02	  5.4554e-02	  4.7319e-01	  2.3011e+01	  0.0000e+00	  0.0000e+00	  6.4205e-04	  1.3315e-03	
     6.79342	   0.0101454	  5.0000e+00	  6.7934e+00	  3.2174e-04	  7.9714e-05	  1.6592e-03	  8.5080e-04	  5.8355e-05	  6.8891e-05	  2.8607e-03	  1.0954e-04	  5.3738e-05	  1.0021e+03	  3.9213e-01	  7.9671e-01	  9.2224e-01	  9.9923e-01	  4.0205e+00	  1.6259e+01	  1.7396e+00	  3.6250e-02	  7.9107e-01	  5.5282e-02	  5.5282e-02	  5.2376e-01	  2.2960e+01	  0.0000e+00	  0.0000e+00	  6.5038e-04	  1.3141e-03	
     6.77648	   0.0112634	  6.0000e+00	  6.7765e+00	  3.3803e-04	  8.3817e-05	  1.8485e-03	  9.5899e-04	  5.5371e-05	  6.6532e-05	  3.2489e-03	  1.1534e-04	  5.2438e-05	  1.1085e+03	  3.7474e-01	  7.8006e-01	  9.1495e-01	  9.9908e-01	  3.8906e+00	  1.6328e+01	  1.7356e+00	  3.5678e-02	  8.0642e-01	  5.6025e-02	  5.6025e-02	  5.7315e-01	  2.2911e+01	  0.0000e+00	  0.0000e+00	  6.5672e-04	  1.2985e-03	
     6.76209	   0.0123091	  7.0000e+00	  6.7621e+00	  3.5245e-04	  8.7457e-05	  2.0262e-03	  1.0618e-03	  5.3039e-05	  6.4605e-05	  3.6159e-03	  1.2050e-04	  5.1377e-05	  1.2068e+03	  3.6033e-01	  7.6528e-01	  9.0832e-01	  9.9894e-01	  3.7632e+00	  1.6395e+01	  1.7316e+00	  3.5203e-02	  8.2099e-01	  5.6783e-02	  5.6783e-02	  6.2185e-01	  2.2862e+01	  0.0000e+00	  0.0000e+00	  6.6176e-04	  1.2845e-03	
     6.74958	   0.0132962	  8.0000e+00	  6.7496e+00	  3.6543e-04	  9.0739e-05	  2.1943e-03	  1.1602e-03	  5.1150e-05	  6.2990e-05	  3.9656e-03	  1.2516e-04	  5.0489e-05	  1.2987e+03	  3.4808e-01	  7.5198e-01	  9.0222e-01	  9.9879e-01	  3.6384e+00	  1.6460e+01	  1.7276e+00	  3.4718e-02	  8.3483e-01	  5.7554e-02	  5.7554e-02	  6.6993e-01	  2.2814e+01	  0.0000e+00	  0.0000e+00	  6.6591e-04	  1.2716e-03	
     6.73853	    0.014234	  9.0000e+00	  6.7385e+00	  3.7725e-04	  9.3735e-05	  2.3544e-03	  1.2547e-03	  4.9582e-05	  6.1609e-05	  4.3010e-03	  1.2943e-04	  4.9729e-05	  1.3853e+03	  3.3747e-01	  7.3987e-01	  8.9657e-01	  9.9865e-01	  3.5160e+00	  1.6525e+01	  1.7236e+00	  3.4217e-02	  8.4795e-01	  5.8337e-02	  5.8337e-02	  7.1738e-01	  2.2767e+01	  0.0000e+00	  0.0000e+00	  6.6941e-04	  1.2596e-03	
     6.72863	     0.01513	  1.0000e+01	  6.7286e+00	  3.8813e-04	  9.6495e-05	  2.5076e-03	  1.3460e-03	  4.8252e-05	  6.0411e-05	  4.6239e-03	  1.3338e-04	  4.9070e-05	  1.4673e+03	  3.2815e-01	  7.2876e-01	  8.9129e-01	  9.9850e-01	  3.3962e+00	  1.6589e+01	  1.7197e+00	  3.3705e-02	  8.6036e-01	  5.9133e-02	  5.9133e-02	  7.6419e-01	  2.2720e+01	  0.0000e+00	  0.0000e+00	  6.7243e-04	  1.2484e-03	
     6.71967	   0.0159894	  1.1000e+01	  6.7197e+00	  3.9821e-04	  9.9059e-05	  2.6549e-03	  1.4343e-03	  4.7107e-05	  5.9357e-05	  4.9361e-03	  1.3705e-04	  4.8490e-05	  1.5455e+03	  3.1986e-01	  7.1848e-01	  8.8632e-01	  9.9836e-01	  3.2790e+00	  1.6651e+01	  1.7158e+00	  3.3188e-02	  8.7207e-01	  5.9939e-02	  5.9939e-02	  8.1034e-01	  2.2674e+01	  0.0000e+00	  0.0000e+00	  6.7507e-04	  1.2379e-03	
