          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	          DO	       O2(g)	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
     7.89574	  0.00608739	  1.0000e+00	  7.8957e+00	  2.8533e-04	  6.7209e-05	  1.1380e-03	  5.2522e-04	  1.3879e-06	  5.8478e-04	  6.7053e-04	  9.3086e-05	  1.7401e-03	  6.3976e+02	  4.7230e-01	  8.5940e-01	  9.4824e-01	  9.9965e-01	  4.5659e+00	  1.5974e+01	  1.7582e+00	  2.2240e-01	  6.4628e-01	  5.2532e-02	  5.2532e-02	  2.0872e-01	  2.3275e+01	  0.0000e+00	  7.2600e-02	  1.0003e-01	  1.5000e-01	  2.0407e-04	  5.6653e-03	
     7.85803	  0.00800539	  2.0000e+00	  7.8580e+00	  3.3525e-04	  7.5792e-05	  1.4747e-03	  6.9827e-04	  1.1975e-06	  1.0058e-03	  1.1866e-03	  1.0505e-04	  1.5489e-03	  8.5298e+02	  4.2049e-01	  8.2134e-01	  9.3272e-01	  9.9942e-01	  4.4255e+00	  1.6048e+01	  1.7527e+00	  6.8320e-02	  7.2738e-01	  5.3172e-02	  5.3172e-02	  3.5321e-01	  2.3131e+01	  0.0000e+00	  7.3686e-02	  1.0003e-01	  1.4999e-01	  2.0403e-04	  5.6667e-03	
     7.81848	  0.00972663	  3.0000e+00	  7.8185e+00	  3.8075e-04	  8.2769e-05	  1.7849e-03	  8.6006e-04	  1.1230e-06	  1.3839e-03	  1.6258e-03	  1.1476e-04	  1.4653e-03	  1.0403e+03	  3.8565e-01	  7.9065e-01	  9.1961e-01	  9.9918e-01	  4.2880e+00	  1.6120e+01	  1.7485e+00	  3.4010e-02	  7.5861e-01	  5.3864e-02	  5.3864e-02	  4.2465e-01	  2.3059e+01	  2.7062e-03	  7.3674e-02	  1.0003e-01	  1.4864e-01	  2.0400e-04	  5.6679e-03	
     7.77175	   0.0113293	  4.0000e+00	  7.7718e+00	  4.2395e-04	  8.8774e-05	  2.0795e-03	  1.0151e-03	  1.1244e-06	  1.7334e-03	  2.0170e-03	  1.2308e-04	  1.4550e-03	  1.2119e+03	  3.5962e-01	  7.6453e-01	  9.0797e-01	  9.9893e-01	  4.1530e+00	  1.6190e+01	  1.7445e+00	  2.9378e-02	  7.7700e-01	  5.4577e-02	  5.4577e-02	  4.7758e-01	  2.3006e+01	  8.3888e-03	  7.2665e-02	  1.0003e-01	  1.4580e-01	  2.0396e-04	  5.6691e-03	
     7.73348	   0.0128086	  5.0000e+00	  7.7335e+00	  4.6489e-04	  9.3926e-05	  2.3529e-03	  1.1605e-03	  1.1312e-06	  2.0641e-03	  2.3789e-03	  1.3025e-04	  1.4507e-03	  1.3686e+03	  3.3945e-01	  7.4217e-01	  8.9765e-01	  9.9867e-01	  4.0206e+00	  1.6260e+01	  1.7406e+00	  2.8007e-02	  7.9328e-01	  5.5308e-02	  5.5308e-02	  5.2792e-01	  2.2956e+01	  1.3131e-02	  7.1764e-02	  1.0003e-01	  1.4343e-01	  2.0393e-04	  5.6701e-03	
     7.70121	    0.014194	  6.0000e+00	  7.7012e+00	  5.0431e-04	  9.8465e-05	  2.6099e-03	  1.2985e-03	  1.1401e-06	  2.3802e-03	  2.7193e-03	  1.3660e-04	  1.4493e-03	  1.5141e+03	  3.2312e-01	  7.2256e-01	  8.8830e-01	  9.9842e-01	  3.8906e+00	  1.6328e+01	  1.7367e+00	  2.6983e-02	  8.0866e-01	  5.6053e-02	  5.6053e-02	  5.7742e-01	  2.2907e+01	  1.7170e-02	  7.0960e-02	  1.0003e-01	  1.4141e-01	  2.0390e-04	  5.6711e-03	
      7.6734	   0.0155047	  7.0000e+00	  7.6734e+00	  5.4267e-04	  1.0254e-04	  2.8537e-03	  1.4304e-03	  1.1499e-06	  2.6845e-03	  3.0428e-03	  1.4231e-04	  1.4493e-03	  1.6508e+03	  3.0948e-01	  7.0509e-01	  8.7973e-01	  9.9816e-01	  3.7632e+00	  1.6396e+01	  1.7329e+00	  2.6050e-02	  8.2326e-01	  5.6813e-02	  5.6813e-02	  6.2624e-01	  2.2858e+01	  2.0663e-02	  7.0240e-02	  1.0003e-01	  1.3966e-01	  2.0387e-04	  5.6721e-03	
     7.64904	   0.0167539	  8.0000e+00	  7.6490e+00	  5.8022e-04	  1.0624e-04	  3.0867e-03	  1.5572e-03	  1.1598e-06	  2.9788e-03	  3.3526e-03	  1.4752e-04	  1.4501e-03	  1.7803e+03	  2.9784e-01	  6.8931e-01	  8.7177e-01	  9.9790e-01	  3.6383e+00	  1.6462e+01	  1.7290e+00	  2.5180e-02	  8.3708e-01	  5.7586e-02	  5.7586e-02	  6.7438e-01	  2.2810e+01	  2.3725e-02	  6.9591e-02	  1.0003e-01	  1.3813e-01	  2.0385e-04	  5.6730e-03	
