          pe	        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
    -6.73268	  1.0000e+00	  6.6870e+00	  2.5473e-04	  7.8095e-06	  1.4319e-05	  6.7956e-05	  2.1137e-04	  7.8385e+02	  4.3558e-01	  8.3329e-01	  9.3768e-01	  9.9950e-01	  4.5658e+00	  1.5974e+01	  1.7585e+00	  1.9817e-01	  6.2755e-01	  5.2524e-02	  5.2524e-02	  1.8100e-01	  2.3303e+01	  6.9493e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1000e-04	  2.4357e-05	  0.0000e+00	  3.2021e-04	  6.3957e-05	  9.7730e-04	  4.3832e-04	  8.5063e-05	  1.8249e-03	  2.8344e-04	  8.4292e-05	  2.1137e-04	  0.0000e+00	  1.4060e-03	
    -6.81864	  2.0000e+00	  6.6253e+00	  2.5230e-04	  9.9911e-06	  1.4324e-05	  1.1716e-04	  3.3516e-04	  1.2299e+03	  3.5715e-01	  7.6190e-01	  9.0678e-01	  9.9890e-01	  4.4252e+00	  1.6047e+01	  1.7532e+00	  6.7619e-02	  6.8769e-01	  5.3133e-02	  5.3133e-02	  2.9464e-01	  2.3189e+01	  9.6594e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.6844e-04	  1.1619e-04	  0.0000e+00	  4.7606e-04	  8.0885e-05	  1.5273e-03	  6.8988e-04	  6.4204e-05	  3.0825e-03	  4.5723e-04	  1.0369e-04	  3.3516e-04	  0.0000e+00	  1.3750e-03	
    -6.87354	  3.0000e+00	  6.5938e+00	  2.4931e-04	  1.1486e-05	  1.4328e-05	  1.6488e-04	  4.5394e-04	  1.6132e+03	  3.1309e-01	  7.0981e-01	  8.8207e-01	  9.9823e-01	  4.2874e+00	  1.6119e+01	  1.7489e+00	  3.7907e-02	  7.1149e-01	  5.3781e-02	  5.3781e-02	  3.5550e-01	  2.3128e+01	  1.0950e-01	  1.0003e+00	  1.0000e+00	  1.0000e+00	  6.9650e-04	  2.6245e-04	  0.0000e+00	  6.3193e-04	  9.4239e-05	  2.0101e-03	  9.1290e-04	  5.3362e-05	  4.1910e-03	  6.0258e-04	  1.1761e-04	  4.5394e-04	  0.0000e+00	  1.3553e-03	
    -6.91607	  4.0000e+00	  6.5751e+00	  2.4601e-04	  1.2642e-05	  1.4332e-05	  2.1098e-04	  5.6929e-04	  1.9607e+03	  2.8332e-01	  6.6848e-01	  8.6095e-01	  9.9751e-01	  4.1522e+00	  1.6190e+01	  1.7449e+00	  3.2690e-02	  7.2567e-01	  5.4446e-02	  5.4446e-02	  4.0280e-01	  2.3081e+01	  1.1967e-01	  1.0004e+00	  1.0000e+00	  1.0000e+00	  1.0653e-03	  4.5170e-04	  0.0000e+00	  7.9101e-04	  1.0586e-04	  2.4520e-03	  1.1186e-03	  4.6204e-05	  5.2142e-03	  7.3334e-04	  1.2875e-04	  5.6929e-04	  0.0000e+00	  1.3420e-03	
    -6.95171	  5.0000e+00	  6.5635e+00	  2.4245e-04	  1.3592e-05	  1.4336e-05	  2.5550e-04	  6.8219e-04	  2.2839e+03	  2.6127e-01	  6.3418e-01	  8.4230e-01	  9.9676e-01	  4.0197e+00	  1.6259e+01	  1.7410e+00	  3.1090e-02	  7.3787e-01	  5.5123e-02	  5.5123e-02	  4.4779e-01	  2.3035e+01	  1.2930e-01	  1.0005e+00	  1.0000e+00	  1.0000e+00	  1.4688e-03	  6.8083e-04	  0.0000e+00	  9.5377e-04	  1.1647e-04	  2.8653e-03	  1.3122e-03	  4.0942e-05	  6.1795e-03	  8.5482e-04	  1.3815e-04	  6.8219e-04	  0.0000e+00	  1.3334e-03	
    -6.98281	  6.0000e+00	  6.5562e+00	  2.3865e-04	  1.4406e-05	  1.4340e-05	  2.9855e-04	  7.9324e-04	  2.5892e+03	  2.4399e-01	  6.0491e-01	  8.2548e-01	  9.9596e-01	  3.8897e+00	  1.6327e+01	  1.7370e+00	  2.9997e-02	  7.4923e-01	  5.5811e-02	  5.5811e-02	  4.9215e-01	  2.2991e+01	  1.3871e-01	  1.0007e+00	  1.0000e+00	  1.0000e+00	  1.9055e-03	  9.4919e-04	  0.0000e+00	  1.1201e-03	  1.2639e-04	  3.2567e-03	  1.4965e-03	  3.6839e-05	  7.1018e-03	  9.6971e-04	  1.4634e-04	  7.9324e-04	  0.0000e+00	  1.3284e-03	
    -7.01062	  7.0000e+00	  6.5516e+00	  2.3461e-04	  1.5127e-05	  1.4343e-05	  3.4025e-04	  9.0281e-04	  2.8803e+03	  2.2994e-01	  5.7944e-01	  8.1011e-01	  9.9514e-01	  3.7623e+00	  1.6394e+01	  1.7331e+00	  2.9016e-02	  7.5990e-01	  5.6510e-02	  5.6510e-02	  5.3608e-01	  2.2947e+01	  1.4793e-01	  1.0009e+00	  1.0000e+00	  1.0000e+00	  2.3741e-03	  1.2567e-03	  0.0000e+00	  1.2896e-03	  1.3583e-04	  3.6307e-03	  1.6736e-03	  3.3518e-05	  7.9900e-03	  1.0796e-03	  1.5365e-04	  9.0281e-04	  0.0000e+00	  1.3266e-03	
    -7.03589	  8.0000e+00	  6.5489e+00	  2.3038e-04	  1.5782e-05	  1.4557e-05	  3.8064e-04	  1.0110e-03	  3.1598e+03	  2.1819e-01	  5.5694e-01	  7.9593e-01	  9.9429e-01	  3.6375e+00	  1.6459e+01	  1.7292e+00	  2.8091e-02	  7.6992e-01	  5.7218e-02	  5.7218e-02	  5.7957e-01	  2.2903e+01	  1.5698e-01	  1.0010e+00	  1.0000e+00	  1.0000e+00	  2.8736e-03	  1.6034e-03	  8.5302e-05	  1.4621e-03	  1.4492e-04	  3.9901e-03	  1.8446e-03	  3.0763e-05	  8.8502e-03	  1.1853e-03	  1.6026e-04	  1.0110e-03	  0.0000e+00	  1.3275e-03	
