        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.5899e+00	  1.1147e-08	  8.6215e-06	  1.4321e-05	  3.4672e-04	  9.2992e-04	  8.5021e+02	  4.2106e-01	  8.2181e-01	  9.3292e-01	  9.9942e-01	  4.5659e+00	  1.5974e+01	  1.7583e+00	  2.1288e-01	  6.4159e-01	  5.2531e-02	  5.2531e-02	  3.6880e-01	  2.3115e+01	  4.5874e-02	  1.0106e+00	  1.0000e+00	  1.0000e+00	  2.5865e-02	  7.2747e-05	  0.0000e+00	  3.3777e-04	  6.7512e-05	  1.0991e-03	  5.0256e-04	  1.1481e-04	  1.4797e-03	  4.4700e-04	  8.9009e-05	  9.2992e-04	  0.0000e+00	  1.3923e-03	
  2.0000e+00	  6.5362e+00	  2.6094e-10	  1.2457e-05	  1.4325e-05	  4.0088e-04	  1.0053e-03	  1.2747e+03	  3.5117e-01	  7.5541e-01	  9.0380e-01	  9.9883e-01	  4.4254e+00	  1.6047e+01	  1.7529e+00	  6.9176e-02	  7.0609e-01	  5.3157e-02	  5.3157e-02	  4.9124e-01	  2.2992e+01	  7.4371e-02	  1.0106e+00	  1.0000e+00	  1.0000e+00	  2.5870e-02	  4.0525e-04	  0.0000e+00	  4.8907e-04	  8.3145e-05	  1.6226e-03	  7.5190e-04	  9.0480e-05	  2.5330e-03	  7.3183e-04	  1.0666e-04	  1.0053e-03	  0.0000e+00	  1.4081e-03	
  3.0000e+00	  6.5081e+00	  1.3129e-10	  1.6060e-05	  1.4330e-05	  4.5602e-04	  1.1081e-03	  1.6389e+03	  3.1062e-01	  7.0658e-01	  8.8047e-01	  9.9818e-01	  4.2877e+00	  1.6119e+01	  1.7487e+00	  3.7237e-02	  7.3043e-01	  5.3823e-02	  5.3823e-02	  5.5766e-01	  2.2926e+01	  8.7105e-02	  1.0106e+00	  1.0001e+00	  1.0000e+00	  2.5872e-02	  9.9188e-04	  0.0000e+00	  6.4175e-04	  9.5752e-05	  2.0813e-03	  9.7319e-04	  7.6482e-05	  3.4656e-03	  9.6405e-04	  1.1961e-04	  1.1081e-03	  0.0000e+00	  1.4871e-03	
  4.0000e+00	  6.4921e+00	  8.9695e-11	  2.0513e-05	  1.4334e-05	  5.1164e-04	  1.2240e-03	  1.9681e+03	  2.8276e-01	  6.6765e-01	  8.6051e-01	  9.9750e-01	  4.1525e+00	  1.6190e+01	  1.7447e+00	  3.2062e-02	  7.4438e-01	  5.4507e-02	  5.4507e-02	  6.1130e-01	  2.2872e+01	  9.6791e-02	  1.0106e+00	  1.0002e+00	  1.0000e+00	  2.5873e-02	  1.7856e-03	  0.0000e+00	  7.9796e-04	  1.0684e-04	  2.5002e-03	  1.1771e-03	  6.6631e-05	  4.3276e-03	  1.1680e-03	  1.3006e-04	  1.2240e-03	  0.0000e+00	  1.6012e-03	
  5.0000e+00	  6.4831e+00	  6.8901e-11	  2.7117e-05	  1.4337e-05	  5.6745e-04	  1.3487e-03	  2.2737e+03	  2.6190e-01	  6.3521e-01	  8.4288e-01	  9.9678e-01	  4.0200e+00	  1.6259e+01	  1.7407e+00	  3.0611e-02	  7.5637e-01	  5.5202e-02	  5.5202e-02	  6.6452e-01	  2.2819e+01	  1.0580e-01	  1.0106e+00	  1.0003e+00	  1.0000e+00	  2.5873e-02	  2.7751e-03	  0.0000e+00	  9.5790e-04	  1.1701e-04	  2.8912e-03	  1.3688e-03	  5.8974e-05	  5.1410e-03	  1.3528e-03	  1.3894e-04	  1.3487e-03	  0.0000e+00	  1.7297e-03	
  6.0000e+00	  6.4792e+00	  5.6290e-11	  3.7913e-05	  1.4341e-05	  6.2309e-04	  1.4807e-03	  2.5618e+03	  2.4542e-01	  6.0743e-01	  8.2696e-01	  9.9604e-01	  3.8899e+00	  1.6327e+01	  1.7368e+00	  2.9644e-02	  7.6762e-01	  5.5909e-02	  5.5909e-02	  7.1908e-01	  2.2764e+01	  1.1445e-01	  1.0106e+00	  1.0004e+00	  1.0000e+00	  2.5874e-02	  3.9590e-03	  0.0000e+00	  1.1214e-03	  1.2657e-04	  3.2612e-03	  1.5512e-03	  5.2617e-05	  5.9180e-03	  1.5230e-03	  1.4672e-04	  1.4807e-03	  0.0000e+00	  1.8432e-03	
  7.0000e+00	  6.4792e+00	  4.7745e-11	  5.4629e-05	  1.4344e-05	  6.7811e-04	  1.6195e-03	  2.8364e+03	  2.3193e-01	  5.8314e-01	  8.1239e-01	  9.9527e-01	  3.7625e+00	  1.6394e+01	  1.7329e+00	  2.8772e-02	  7.7826e-01	  5.6626e-02	  5.6626e-02	  7.7516e-01	  2.2708e+01	  1.2277e-01	  1.0106e+00	  1.0005e+00	  1.0000e+00	  2.5874e-02	  5.3370e-03	  0.0000e+00	  1.2881e-03	  1.3570e-04	  3.6146e-03	  1.7262e-03	  4.7111e-05	  6.6659e-03	  1.6815e-03	  1.5368e-04	  1.6195e-03	  0.0000e+00	  1.9170e-03	
  8.0000e+00	  6.4822e+00	  4.1542e-11	  7.6926e-05	  1.4347e-05	  7.3238e-04	  1.7644e-03	  3.1000e+03	  2.2058e-01	  5.6161e-01	  7.9892e-01	  9.9448e-01	  3.6376e+00	  1.6460e+01	  1.7290e+00	  2.7948e-02	  7.8833e-01	  5.7352e-02	  5.7352e-02	  8.3277e-01	  2.2650e+01	  1.3078e-01	  1.0106e+00	  1.0007e+00	  1.0000e+00	  2.5875e-02	  6.9087e-03	  0.0000e+00	  1.4578e-03	  1.4451e-04	  3.9545e-03	  1.8951e-03	  4.2291e-05	  7.3898e-03	  1.8298e-03	  1.6000e-04	  1.7644e-03	  0.0000e+00	  1.9550e-03	
