          pe	        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
           4	  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
    -6.72082	  1.0000e+00	  6.6794e+00	  8.0747e-05	  7.7964e-06	  1.4320e-05	  8.5888e-05	  2.6396e-04	  7.8854e+02	  4.3451e-01	  8.3247e-01	  9.3734e-01	  9.9949e-01	  4.5659e+00	  1.5974e+01	  1.7585e+00	  1.9943e-01	  6.2845e-01	  5.2524e-02	  5.2524e-02	  1.9393e-01	  2.3290e+01	  6.7805e-02	  1.0008e+00	  1.0000e+00	  1.0000e+00	  1.8876e-03	  5.1464e-06	  0.0000e+00	  3.2152e-04	  6.4220e-05	  9.8600e-04	  4.4228e-04	  8.7031e-05	  1.8199e-03	  2.8211e-04	  8.4636e-05	  2.6396e-04	  0.0000e+00	  1.4067e-03	
    -6.78854	  2.0000e+00	  6.6024e+00	  8.0697e-05	  1.0145e-05	  1.4324e-05	  1.7794e-04	  4.9157e-04	  1.2422e+03	  3.5548e-01	  7.6010e-01	  9.0596e-01	  9.9888e-01	  4.4252e+00	  1.6047e+01	  1.7531e+00	  6.9822e-02	  6.9134e-01	  5.3136e-02	  5.3136e-02	  3.3837e-01	  2.3145e+01	  9.1190e-02	  1.0025e+00	  1.0000e+00	  1.0000e+00	  6.2004e-03	  3.6240e-05	  0.0000e+00	  4.7941e-04	  8.1460e-05	  1.5514e-03	  7.0097e-04	  6.9909e-05	  3.0677e-03	  4.5304e-04	  1.0442e-04	  4.9157e-04	  0.0000e+00	  1.3782e-03	
    -6.82358	  3.0000e+00	  6.5528e+00	  8.0652e-05	  1.1997e-05	  1.4329e-05	  2.8096e-04	  7.2771e-04	  1.6331e+03	  3.1117e-01	  7.0731e-01	  8.8083e-01	  9.9819e-01	  4.2874e+00	  1.6119e+01	  1.7489e+00	  4.0105e-02	  7.1893e-01	  5.3789e-02	  5.3789e-02	  4.3796e-01	  2.3046e+01	  9.9528e-02	  1.0047e+00	  1.0000e+00	  1.0000e+00	  1.1495e-02	  1.0035e-04	  0.0000e+00	  6.3741e-04	  9.5066e-05	  2.0500e-03	  9.3140e-04	  6.2828e-05	  4.1666e-03	  5.9511e-04	  1.1863e-04	  7.2771e-04	  0.0000e+00	  1.3641e-03	
    -6.84602	  4.0000e+00	  6.5153e+00	  8.0611e-05	  1.3671e-05	  1.4333e-05	  3.9015e-04	  9.6437e-04	  1.9875e+03	  2.8131e-01	  6.6549e-01	  8.5937e-01	  9.9746e-01	  4.1523e+00	  1.6190e+01	  1.7448e+00	  3.4815e-02	  7.3721e-01	  5.4463e-02	  5.4463e-02	  5.2763e-01	  2.2956e+01	  1.0467e-01	  1.0071e+00	  1.0000e+00	  1.0000e+00	  1.7250e-02	  1.9791e-04	  0.0000e+00	  7.9859e-04	  1.0689e-04	  2.5067e-03	  1.1441e-03	  5.9142e-05	  5.1813e-03	  7.2238e-04	  1.2998e-04	  9.6437e-04	  0.0000e+00	  1.3600e-03	
    -6.86153	  5.0000e+00	  6.4845e+00	  8.0572e-05	  1.5294e-05	  1.4337e-05	  5.0471e-04	  1.2019e-03	  2.3172e+03	  2.5924e-01	  6.3085e-01	  8.4043e-01	  9.9667e-01	  4.0198e+00	  1.6259e+01	  1.7408e+00	  3.3151e-02	  7.5370e-01	  5.5154e-02	  5.5154e-02	  6.1781e-01	  2.2865e+01	  1.0893e-01	  1.0096e+00	  1.0000e+00	  1.0000e+00	  2.3355e-02	  3.3018e-04	  0.0000e+00	  9.6344e-04	  1.1767e-04	  2.9338e-03	  1.3443e-03	  5.7093e-05	  6.1392e-03	  8.4010e-04	  1.3954e-04	  1.2019e-03	  0.0000e+00	  1.3647e-03	
    -6.87259	  6.0000e+00	  6.4579e+00	  8.0535e-05	  1.6941e-05	  1.4340e-05	  6.2455e-04	  1.4413e-03	  2.6285e+03	  2.4197e-01	  6.0135e-01	  8.2337e-01	  9.9586e-01	  3.8899e+00	  1.6327e+01	  1.7369e+00	  3.1996e-02	  7.6951e-01	  5.5860e-02	  5.5860e-02	  7.0993e-01	  2.2773e+01	  1.1266e-01	  1.0122e+00	  1.0000e+00	  1.0000e+00	  2.9774e-02	  4.9871e-04	  0.0000e+00	  1.1318e-03	  1.2774e-04	  3.3384e-03	  1.5350e-03	  5.5996e-05	  7.0549e-03	  9.5089e-04	  1.4787e-04	  1.4413e-03	  0.0000e+00	  1.3772e-03	
    -6.88056	  7.0000e+00	  6.4342e+00	  8.0500e-05	  1.8670e-05	  1.4344e-05	  7.4963e-04	  1.6832e-03	  2.9252e+03	  2.2795e-01	  5.7570e-01	  8.0780e-01	  9.9501e-01	  3.7626e+00	  1.6394e+01	  1.7329e+00	  3.0951e-02	  7.8479e-01	  5.6581e-02	  5.6581e-02	  8.0405e-01	  2.2679e+01	  1.1591e-01	  1.0150e+00	  1.0001e+00	  1.0000e+00	  3.6485e-02	  7.0484e-04	  0.0000e+00	  1.3034e-03	  1.3732e-04	  3.7247e-03	  1.7180e-03	  5.5514e-05	  7.9372e-03	  1.0563e-03	  1.5528e-04	  1.6832e-03	  0.0000e+00	  1.3970e-03	
    -6.88629	  8.0000e+00	  6.4126e+00	  8.0466e-05	  2.0532e-05	  1.4347e-05	  8.7983e-04	  1.9277e-03	  3.2100e+03	  2.1624e-01	  5.5309e-01	  7.9344e-01	  9.9413e-01	  3.6379e+00	  1.6459e+01	  1.7290e+00	  2.9965e-02	  7.9954e-01	  5.7316e-02	  5.7316e-02	  9.0001e-01	  2.2583e+01	  1.1873e-01	  1.0178e+00	  1.0001e+00	  1.0000e+00	  4.3464e-02	  9.4960e-04	  0.0000e+00	  1.4779e-03	  1.4652e-04	  4.0959e-03	  1.8946e-03	  5.5454e-05	  8.7922e-03	  1.1572e-03	  1.6198e-04	  1.9277e-03	  0.0000e+00	  1.4236e-03	
