        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	         SO4	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  1.0000e+00	  6.5708e+00	  2.2349e-04	  6.4166e-06	  7.1824e-29	  9.2906e-28	  8.9918e-04	  8.6657e+02	  4.1768e-01	  8.1903e-01	  9.3176e-01	  9.9940e-01	  4.4947e+00	  1.7781e+01	  1.0379e-04	  5.9791e-03	  5.0553e-01	  5.2421e-02	  5.2421e-02	  1.6969e-01	  2.3210e+01	  5.6514e-04	  1.1046e-02	  1.0000e+00	  1.0000e+00	  2.4512e-02	  1.6788e-06	  0.0000e+00	  1.5237e-04	
  2.0000e+00	  6.4622e+00	  1.1266e-07	  9.4235e-06	  7.1872e-29	  1.4968e-27	  1.2574e-03	  1.3433e+03	  3.4250e-01	  7.4569e-01	  8.9930e-01	  9.9872e-01	  4.2896e+00	  1.7887e+01	  1.3770e-04	  4.9802e-03	  5.2821e-01	  5.2870e-02	  5.2870e-02	  2.4374e-01	  2.3136e+01	  2.0270e-03	  1.6009e-02	  1.0000e+00	  1.0000e+00	  3.6622e-02	  5.3746e-06	  0.0000e+00	  2.4685e-04	
  3.0000e+00	  6.4153e+00	  1.8768e-08	  1.1750e-05	  7.1912e-29	  1.6737e-27	  1.3320e-03	  1.7389e+03	  3.0144e-01	  6.9427e-01	  8.7429e-01	  9.9798e-01	  4.0927e+00	  1.7989e+01	  1.6553e-04	  4.5429e-03	  5.3790e-01	  5.3333e-02	  5.3333e-02	  3.0108e-01	  2.3079e+01	  1.5724e-02	  1.6178e-02	  1.0000e+00	  1.0000e+00	  3.7050e-02	  6.5103e-05	  0.0000e+00	  3.2864e-04	
  4.0000e+00	  6.3804e+00	  1.4237e-08	  1.3615e-05	  7.1949e-29	  1.8491e-27	  1.4165e-03	  2.1006e+03	  2.7322e-01	  6.5318e-01	  8.5277e-01	  9.9720e-01	  3.9035e+00	  1.8088e+01	  1.9167e-04	  4.2971e-03	  5.4512e-01	  5.3803e-02	  5.3803e-02	  3.5611e-01	  2.3024e+01	  2.9691e-02	  1.6344e-02	  1.0000e+00	  1.0000e+00	  3.7493e-02	  2.3216e-04	  0.0000e+00	  4.0203e-04	
  5.0000e+00	  6.3527e+00	  1.2769e-08	  1.5255e-05	  7.1984e-29	  2.0241e-27	  1.5062e-03	  2.4387e+03	  2.5214e-01	  6.1899e-01	  8.3368e-01	  9.9636e-01	  3.7216e+00	  1.8183e+01	  2.1638e-04	  4.0833e-03	  5.5022e-01	  5.4280e-02	  5.4280e-02	  4.0905e-01	  2.2971e+01	  4.3809e-02	  1.6509e-02	  1.0000e+00	  1.0000e+00	  3.7954e-02	  5.1648e-04	  0.0000e+00	  4.6976e-04	
  6.0000e+00	  6.3298e+00	  1.2133e-08	  1.6790e-05	  7.2017e-29	  2.1994e-27	  1.5991e-03	  2.7589e+03	  2.3555e-01	  5.8979e-01	  8.1644e-01	  9.9549e-01	  3.5468e+00	  1.8275e+01	  2.3983e-04	  3.8948e-03	  5.5351e-01	  5.4760e-02	  5.4760e-02	  4.6003e-01	  2.2920e+01	  5.7979e-02	  1.6671e-02	  1.0000e+00	  1.0000e+00	  3.8432e-02	  9.2051e-04	  0.0000e+00	  5.3319e-04	
  7.0000e+00	  6.3104e+00	  1.1831e-08	  1.8296e-05	  7.2050e-29	  2.3752e-27	  1.6941e-03	  3.0649e+03	  2.2201e-01	  5.6438e-01	  8.0069e-01	  9.9458e-01	  3.3790e+00	  1.8363e+01	  2.6217e-04	  3.7267e-03	  5.5521e-01	  5.5241e-02	  5.5241e-02	  5.0912e-01	  2.2871e+01	  7.2121e-02	  1.6832e-02	  1.0000e+00	  1.0000e+00	  3.8926e-02	  1.4425e-03	  0.0000e+00	  5.9311e-04	
  8.0000e+00	  6.2935e+00	  1.1695e-08	  1.9828e-05	  7.2081e-29	  2.5517e-27	  1.7909e-03	  3.3590e+03	  2.1068e-01	  5.4196e-01	  7.8614e-01	  9.9365e-01	  3.2178e+00	  1.8448e+01	  2.8351e-04	  3.5753e-03	  5.5554e-01	  5.5724e-02	  5.5724e-02	  5.5641e-01	  2.2824e+01	  8.6165e-02	  1.6992e-02	  1.0000e+00	  1.0000e+00	  3.9434e-02	  2.0782e-03	  0.0000e+00	  6.5004e-04	
  9.0000e+00	  6.2787e+00	  1.1868e-08	  2.1434e-05	  7.2147e-29	  2.7289e-27	  1.8891e-03	  3.6431e+03	  2.0100e-01	  5.2195e-01	  7.7263e-01	  9.9269e-01	  3.0630e+00	  1.8530e+01	  3.0395e-04	  3.4388e-03	  5.5470e-01	  5.6205e-02	  5.6205e-02	  6.0198e-01	  2.2778e+01	  1.0005e-01	  1.7150e-02	  1.0001e+00	  1.0000e+00	  3.9954e-02	  2.8220e-03	  1.2183e-06	  7.0435e-04	
  1.0000e+01	  6.2656e+00	  1.1931e-08	  2.3126e-05	  8.3230e-29	  2.9062e-27	  1.9878e-03	  3.9184e+03	  1.9260e-01	  5.0393e-01	  7.6000e-01	  9.9170e-01	  2.9146e+00	  1.8608e+01	  3.2364e-04	  3.3291e-03	  5.5299e-01	  5.6685e-02	  5.6685e-02	  6.4627e-01	  2.2734e+01	  1.1337e-01	  1.7306e-02	  1.0001e+00	  1.0000e+00	  4.0495e-02	  3.6671e-03	  3.5692e-04	  7.5655e-04	
  1.1000e+01	  6.2539e+00	  1.2008e-08	  2.4962e-05	  9.8538e-29	  3.0838e-27	  2.0874e-03	  4.1860e+03	  1.8521e-01	  4.8758e-01	  7.4813e-01	  9.9069e-01	  2.7722e+00	  1.8683e+01	  3.4259e-04	  3.2144e-03	  5.5044e-01	  5.7162e-02	  5.7162e-02	  6.8904e-01	  2.2691e+01	  1.2639e-01	  1.7461e-02	  1.0001e+00	  1.0000e+00	  4.1047e-02	  4.6064e-03	  7.8520e-04	  8.0672e-04	
