        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	         SO4	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  1.0000e+00	  6.5708e+00	  2.1550e-04	  6.4166e-06	  7.1824e-29	  9.2903e-28	  8.9915e-04	  8.6656e+02	  4.1768e-01	  8.1903e-01	  9.3176e-01	  9.9940e-01	  4.4947e+00	  1.7781e+01	  1.0379e-04	  5.9790e-03	  5.0553e-01	  5.2421e-02	  5.2421e-02	  1.6969e-01	  2.3210e+01	  5.6587e-04	  1.1045e-02	  1.0000e+00	  1.0000e+00	  2.4511e-02	  1.6795e-06	  0.0000e+00	  1.5237e-04	
  2.0000e+00	  6.4645e+00	  2.1570e-10	  9.4304e-06	  7.1872e-29	  1.4683e-27	  1.2372e-03	  1.3419e+03	  3.4268e-01	  7.4588e-01	  8.9939e-01	  9.9872e-01	  4.2896e+00	  1.7887e+01	  1.3749e-04	  4.8671e-03	  5.2760e-01	  5.2869e-02	  5.2869e-02	  2.4283e-01	  2.3137e+01	  2.8364e-03	  1.5670e-02	  1.0000e+00	  1.0000e+00	  3.5796e-02	  5.9845e-06	  0.0000e+00	  2.4702e-04	
  3.0000e+00	  6.4186e+00	  2.8169e-12	  1.1847e-05	  7.1911e-29	  1.6331e-27	  1.3053e-03	  1.7367e+03	  3.0163e-01	  6.9454e-01	  8.7443e-01	  9.9799e-01	  4.0927e+00	  1.7989e+01	  1.6522e-04	  4.5315e-03	  5.3701e-01	  5.3332e-02	  5.3332e-02	  2.9964e-01	  2.3080e+01	  1.6913e-02	  1.5670e-02	  1.0000e+00	  1.0000e+00	  3.5796e-02	  7.1512e-05	  0.0000e+00	  3.2704e-04	
  4.0000e+00	  6.3849e+00	  1.3701e-12	  1.4023e-05	  7.1948e-29	  1.8007e-27	  1.3871e-03	  2.0973e+03	  2.7345e-01	  6.5353e-01	  8.5296e-01	  9.9720e-01	  3.9034e+00	  1.8088e+01	  1.9129e-04	  4.2869e-03	  5.4399e-01	  5.3802e-02	  5.3802e-02	  3.5418e-01	  2.3026e+01	  3.1261e-02	  1.5670e-02	  1.0000e+00	  1.0000e+00	  3.5796e-02	  2.4472e-04	  0.0000e+00	  3.9632e-04	
  5.0000e+00	  6.3584e+00	  9.3847e-13	  1.6264e-05	  7.1983e-29	  1.9719e-27	  1.4775e-03	  2.4342e+03	  2.5240e-01	  6.1943e-01	  8.3393e-01	  9.9638e-01	  3.7215e+00	  1.8183e+01	  2.1594e-04	  4.0737e-03	  5.4889e-01	  5.4277e-02	  5.4277e-02	  4.0662e-01	  2.2973e+01	  4.5768e-02	  1.5670e-02	  1.0001e+00	  1.0000e+00	  3.5796e-02	  5.3250e-04	  0.0000e+00	  4.5805e-04	
  6.0000e+00	  6.3368e+00	  7.3378e-13	  1.8785e-05	  7.2016e-29	  2.1469e-27	  1.5739e-03	  2.7530e+03	  2.3583e-01	  5.9030e-01	  8.1676e-01	  9.9551e-01	  3.5467e+00	  1.8275e+01	  2.3934e-04	  3.8855e-03	  5.5196e-01	  5.4755e-02	  5.4755e-02	  4.5706e-01	  2.2923e+01	  6.0341e-02	  1.5670e-02	  1.0001e+00	  1.0000e+00	  3.5796e-02	  9.3413e-04	  0.0000e+00	  5.1397e-04	
  7.0000e+00	  6.3187e+00	  6.1398e-13	  2.1809e-05	  7.2049e-29	  2.3252e-27	  1.6750e-03	  3.0576e+03	  2.2231e-01	  5.6496e-01	  8.0105e-01	  9.9461e-01	  3.3787e+00	  1.8363e+01	  2.6163e-04	  3.7175e-03	  5.5347e-01	  5.5235e-02	  5.5235e-02	  5.0559e-01	  2.2874e+01	  7.4898e-02	  1.5670e-02	  1.0001e+00	  1.0000e+00	  3.5796e-02	  1.4449e-03	  0.0000e+00	  5.6518e-04	
  8.0000e+00	  6.3034e+00	  5.3475e-13	  2.5626e-05	  7.2080e-29	  2.5065e-27	  1.7797e-03	  3.3504e+03	  2.1099e-01	  5.4259e-01	  7.8656e-01	  9.9368e-01	  3.2175e+00	  1.8448e+01	  2.8292e-04	  3.5660e-03	  5.5361e-01	  5.5716e-02	  5.5716e-02	  5.5230e-01	  2.2828e+01	  8.9371e-02	  1.5670e-02	  1.0002e+00	  1.0000e+00	  3.5796e-02	  2.0581e-03	  0.0000e+00	  6.1247e-04	
  9.0000e+00	  6.2904e+00	  4.7940e-13	  3.0511e-05	  8.1466e-29	  2.6890e-27	  1.8867e-03	  3.6332e+03	  2.0132e-01	  5.2262e-01	  7.7309e-01	  9.9272e-01	  3.0627e+00	  1.8530e+01	  3.0331e-04	  3.4436e-03	  5.5262e-01	  5.6195e-02	  5.6195e-02	  5.9733e-01	  2.2783e+01	  1.0362e-01	  1.5670e-02	  1.0003e+00	  1.0000e+00	  3.5796e-02	  2.7662e-03	  8.5256e-05	  6.5684e-04	
  1.0000e+01	  6.2792e+00	  4.4059e-13	  3.6492e-05	  1.2515e-28	  2.8695e-27	  1.9936e-03	  3.9075e+03	  1.9291e-01	  5.0462e-01	  7.6049e-01	  9.9174e-01	  2.9141e+00	  1.8608e+01	  3.2296e-04	  3.3194e-03	  5.5074e-01	  5.6673e-02	  5.6673e-02	  6.4098e-01	  2.2739e+01	  1.1739e-01	  1.5670e-02	  1.0003e+00	  1.0000e+00	  3.5796e-02	  3.5619e-03	  4.6048e-04	  6.9964e-04	
  1.1000e+01	  6.2697e+00	  4.0995e-13	  4.4104e-05	  1.8196e-28	  3.0500e-27	  2.1020e-03	  4.1742e+03	  1.8552e-01	  4.8828e-01	  7.4865e-01	  9.9074e-01	  2.7717e+00	  1.8683e+01	  3.4185e-04	  3.2046e-03	  5.4800e-01	  5.7148e-02	  5.7148e-02	  6.8309e-01	  2.2697e+01	  1.3087e-01	  1.5670e-02	  1.0004e+00	  1.0000e+00	  3.5796e-02	  4.4379e-03	  9.1150e-04	  7.4015e-04	
