        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6878e+00	  2.7553e-04	  8.7896e-06	  2.7053e-06	  7.5054e-06	  2.1057e-04	  7.8983e+02	  4.3422e-01	  8.3225e-01	  9.3725e-01	  9.9949e-01	  4.4954e+00	  1.7780e+01	  1.0312e-04	  6.7092e-03	  4.9536e-01	  5.2411e-02	  5.2411e-02	  1.5360e-01	  2.3226e+01	  1.3023e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  2.0000e+00	  6.6283e+00	  2.7910e-04	  1.1229e-05	  2.7069e-06	  1.2752e-05	  3.3011e-04	  1.2272e+03	  3.5751e-01	  7.6229e-01	  9.0695e-01	  9.9890e-01	  4.2898e+00	  1.7886e+01	  1.4173e-04	  6.2590e-03	  5.1910e-01	  5.2849e-02	  5.2849e-02	  2.2801e-01	  2.3152e+01	  1.3826e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  3.0000e+00	  6.5986e+00	  2.8263e-04	  1.2864e-05	  2.7083e-06	  1.7750e-05	  4.4334e-04	  1.5994e+03	  3.1444e-01	  7.1156e-01	  8.8293e-01	  9.9826e-01	  4.0928e+00	  1.7988e+01	  1.7780e-04	  5.8870e-03	  5.3956e-01	  5.3309e-02	  5.3309e-02	  3.0088e-01	  2.3079e+01	  1.4563e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  4.0000e+00	  6.5817e+00	  2.8612e-04	  1.4093e-05	  2.7096e-06	  2.2512e-05	  5.5240e-04	  1.9349e+03	  2.8529e-01	  6.7137e-01	  8.6248e-01	  9.9757e-01	  3.9040e+00	  1.8087e+01	  2.1175e-04	  5.5739e-03	  5.5698e-01	  5.3786e-02	  5.3786e-02	  3.7221e-01	  2.3008e+01	  1.5244e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  5.0000e+00	  6.5718e+00	  2.8959e-04	  1.5066e-05	  2.7108e-06	  2.7049e-05	  6.5833e-04	  2.2458e+03	  2.6365e-01	  6.3805e-01	  8.4446e-01	  9.9685e-01	  3.7230e+00	  1.8182e+01	  2.4390e-04	  5.3061e-03	  5.7161e-01	  5.4279e-02	  5.4279e-02	  4.4198e-01	  2.2938e+01	  1.5876e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  6.0000e+00	  6.5662e+00	  2.9301e-04	  1.5861e-05	  2.7119e-06	  3.1376e-05	  7.6171e-04	  2.5384e+03	  2.4667e-01	  6.0959e-01	  8.2823e-01	  9.9610e-01	  3.5495e+00	  1.8274e+01	  2.7449e-04	  5.0735e-03	  5.8371e-01	  5.4784e-02	  5.4784e-02	  5.1020e-01	  2.2870e+01	  1.6466e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  7.0000e+00	  6.5634e+00	  2.9641e-04	  1.6525e-05	  2.7130e-06	  3.5504e-05	  8.6291e-04	  2.8168e+03	  2.3283e-01	  5.8481e-01	  8.1341e-01	  9.9533e-01	  3.3832e+00	  1.8363e+01	  3.0371e-04	  4.8688e-03	  5.9351e-01	  5.5298e-02	  5.5298e-02	  5.7684e-01	  2.2803e+01	  1.7018e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
  8.0000e+00	  6.5625e+00	  2.9977e-04	  1.7089e-05	  2.7140e-06	  3.9447e-05	  9.6220e-04	  3.0836e+03	  2.2124e-01	  5.6290e-01	  7.9974e-01	  9.9453e-01	  3.2239e+00	  1.8448e+01	  3.3171e-04	  4.6864e-03	  6.0123e-01	  5.5821e-02	  5.5821e-02	  6.4190e-01	  2.2738e+01	  1.7536e-02	  1.0000e-03	  1.0000e+00	  1.0000e+00	
