        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6991e+00	  2.7554e-04	  4.1634e-05	  2.7051e-06	  1.4620e-05	  4.1701e-04	  7.4897e+02	  4.4376e-01	  8.3946e-01	  9.4021e-01	  9.9954e-01	  4.4952e+00	  1.7780e+01	  9.7559e-05	  5.8739e-03	  4.8951e-01	  5.2408e-02	  5.2408e-02	  1.4766e-01	  2.3232e+01	  1.9223e-02	  1.0000e-03	  1.0004e+00	  1.0000e+00	
  2.0000e+00	  6.6660e+00	  2.7910e-04	  1.8012e-04	  2.7065e-06	  3.1710e-05	  8.6906e-04	  1.1525e+03	  3.6811e-01	  7.7338e-01	  9.1196e-01	  9.9902e-01	  4.2893e+00	  1.7886e+01	  1.3149e-04	  5.5104e-03	  5.0830e-01	  5.2838e-02	  5.2838e-02	  2.1937e-01	  2.3161e+01	  2.3918e-02	  1.0000e-03	  1.0012e+00	  1.0000e+00	
  3.0000e+00	  6.6621e+00	  2.8263e-04	  3.3800e-04	  2.7078e-06	  4.8855e-05	  1.3443e-03	  1.5034e+03	  3.2425e-01	  7.2397e-01	  8.8898e-01	  9.9844e-01	  4.0918e+00	  1.7988e+01	  1.6316e-04	  5.1547e-03	  5.2419e-01	  5.3285e-02	  5.3285e-02	  2.9027e-01	  2.3090e+01	  2.8141e-02	  1.0000e-03	  1.0022e+00	  1.0000e+00	
  4.0000e+00	  6.6672e+00	  2.8613e-04	  5.0304e-04	  2.7089e-06	  6.5106e-05	  1.8220e-03	  1.8269e+03	  2.9390e-01	  6.8380e-01	  8.6894e-01	  9.9780e-01	  3.9022e+00	  1.8087e+01	  1.9275e-04	  4.8370e-03	  5.3715e-01	  5.3746e-02	  5.3746e-02	  3.5945e-01	  2.3021e+01	  3.2470e-02	  1.0000e-03	  1.0031e+00	  1.0000e+00	
  5.0000e+00	  6.6751e+00	  2.8959e-04	  6.7053e-04	  2.7101e-06	  8.0330e-05	  2.2944e-03	  2.1323e+03	  2.7106e-01	  6.4981e-01	  8.5094e-01	  9.9712e-01	  3.7203e+00	  1.8182e+01	  2.2050e-04	  4.5584e-03	  5.4739e-01	  5.4217e-02	  5.4217e-02	  4.2657e-01	  2.2953e+01	  3.7086e-02	  1.0000e-03	  1.0041e+00	  1.0000e+00	
  6.0000e+00	  6.6834e+00	  2.9302e-04	  8.3802e-04	  2.7112e-06	  9.4613e-05	  2.7580e-03	  2.4241e+03	  2.5297e-01	  6.2040e-01	  8.3449e-01	  9.9640e-01	  3.5458e+00	  1.8274e+01	  2.4662e-04	  4.3142e-03	  5.5516e-01	  5.4696e-02	  5.4696e-02	  4.9152e-01	  2.2888e+01	  4.2031e-02	  1.0000e-03	  1.0052e+00	  1.0000e+00	
  7.0000e+00	  6.6912e+00	  2.9641e-04	  1.0041e-03	  2.7122e-06	  1.0808e-04	  3.2117e-03	  2.7049e+03	  2.3816e-01	  5.9452e-01	  8.1930e-01	  9.9564e-01	  3.3784e+00	  1.8362e+01	  2.7131e-04	  4.0995e-03	  5.6075e-01	  5.5182e-02	  5.5182e-02	  5.5428e-01	  2.2826e+01	  4.7286e-02	  1.0000e-03	  1.0062e+00	  1.0000e+00	
  8.0000e+00	  6.6983e+00	  2.9977e-04	  1.1682e-03	  2.7133e-06	  1.2087e-04	  3.6551e-03	  2.9764e+03	  2.2573e-01	  5.7150e-01	  8.0518e-01	  9.9485e-01	  3.2178e+00	  1.8447e+01	  2.9475e-04	  3.9092e-03	  5.6441e-01	  5.5671e-02	  5.5671e-02	  6.1489e-01	  2.2765e+01	  5.2803e-02	  1.0000e-03	  1.0072e+00	  1.0000e+00	
