        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	         SO4	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  1.0000e+00	  6.6238e+00	  5.3910e-12	  7.6166e-06	  2.7054e-06	  2.6232e-05	  6.6574e-04	  8.2367e+02	  4.2672e-01	  8.2637e-01	  9.3482e-01	  9.9945e-01	  4.4957e+00	  1.7780e+01	  1.0118e-04	  5.3804e-03	  4.9889e-01	  5.2417e-02	  5.2417e-02	  1.5944e-01	  2.3221e+01	  9.0669e-03	  7.4386e-03	  1.0000e+00	  1.0000e+00	  1.5711e-02	  1.8761e-05	  0.0000e+00	  2.7338e-04	
  2.0000e+00	  6.5665e+00	  2.1859e-12	  1.0487e-05	  2.7069e-06	  3.1922e-05	  7.5234e-04	  1.2615e+03	  3.5291e-01	  7.5731e-01	  9.0468e-01	  9.9885e-01	  4.2900e+00	  1.7886e+01	  1.3205e-04	  5.0038e-03	  5.1299e-01	  5.2854e-02	  5.2854e-02	  2.1929e-01	  2.3161e+01	  2.1839e-02	  7.4386e-03	  1.0000e+00	  1.0000e+00	  1.5711e-02	  1.4250e-04	  0.0000e+00	  4.4454e-04	
  3.0000e+00	  6.5366e+00	  1.4679e-12	  1.2803e-05	  2.7082e-06	  3.7570e-05	  8.5534e-04	  1.6396e+03	  3.1054e-01	  7.0649e-01	  8.8042e-01	  9.9818e-01	  4.0925e+00	  1.7989e+01	  1.6080e-04	  4.6884e-03	  5.2417e-01	  5.3303e-02	  5.3303e-02	  2.7678e-01	  2.3103e+01	  3.5022e-02	  7.4386e-03	  1.0000e+00	  1.0000e+00	  1.5711e-02	  4.2412e-04	  0.0000e+00	  5.8347e-04	
  4.0000e+00	  6.5192e+00	  1.1504e-12	  1.5291e-05	  2.7095e-06	  4.3251e-05	  9.6744e-04	  1.9828e+03	  2.8166e-01	  6.6601e-01	  8.5965e-01	  9.9747e-01	  3.9027e+00	  1.8087e+01	  1.8775e-04	  4.4197e-03	  5.3278e-01	  5.3762e-02	  5.3762e-02	  3.3208e-01	  2.3048e+01	  4.8479e-02	  7.4386e-03	  1.0001e+00	  1.0000e+00	  1.5711e-02	  8.8454e-04	  0.0000e+00	  7.0389e-04	
  5.0000e+00	  6.5088e+00	  9.6918e-13	  1.8520e-05	  2.7106e-06	  4.8980e-05	  1.0864e-03	  2.3022e+03	  2.6015e-01	  6.3235e-01	  8.4127e-01	  9.9671e-01	  3.7204e+00	  1.8182e+01	  2.1314e-04	  4.1876e-03	  5.3915e-01	  5.4227e-02	  5.4227e-02	  3.8532e-01	  2.2995e+01	  6.2096e-02	  7.4386e-03	  1.0002e+00	  1.0000e+00	  1.5711e-02	  1.5301e-03	  0.0000e+00	  8.1136e-04	
  6.0000e+00	  6.5031e+00	  8.5060e-13	  2.3370e-05	  2.7118e-06	  5.4742e-05	  1.2113e-03	  2.6038e+03	  2.4324e-01	  6.0358e-01	  8.2470e-01	  9.9592e-01	  3.5454e+00	  1.8274e+01	  2.3718e-04	  3.9845e-03	  5.4355e-01	  5.4696e-02	  5.4696e-02	  4.3662e-01	  2.2943e+01	  7.5775e-02	  7.4386e-03	  1.0002e+00	  1.0000e+00	  1.5711e-02	  2.3587e-03	  0.0000e+00	  9.0889e-04	
  7.0000e+00	  6.5009e+00	  7.6613e-13	  3.1364e-05	  2.7128e-06	  6.0497e-05	  1.3413e-03	  2.8915e+03	  2.2944e-01	  5.7850e-01	  8.0953e-01	  9.9511e-01	  3.3773e+00	  1.8362e+01	  2.6003e-04	  3.8045e-03	  5.4626e-01	  5.5169e-02	  5.5169e-02	  4.8606e-01	  2.2894e+01	  8.9435e-02	  7.4386e-03	  1.0003e+00	  1.0000e+00	  1.5711e-02	  3.3634e-03	  0.0000e+00	  9.9834e-04	
  8.0000e+00	  6.5016e+00	  7.0311e-13	  4.4032e-05	  2.8967e-06	  6.6160e-05	  1.4753e-03	  3.1681e+03	  2.1787e-01	  5.5630e-01	  7.9552e-01	  9.9426e-01	  3.2160e+00	  1.8447e+01	  2.8183e-04	  3.6588e-03	  5.4751e-01	  5.5643e-02	  5.5643e-02	  5.3379e-01	  2.2846e+01	  1.0293e-01	  7.4386e-03	  1.0005e+00	  1.0000e+00	  1.5711e-02	  4.5341e-03	  7.1782e-05	  1.0814e-03	
  9.0000e+00	  6.5045e+00	  6.5583e-13	  6.0733e-05	  3.8808e-06	  7.1616e-05	  1.6108e-03	  3.4355e+03	  2.0796e-01	  5.3642e-01	  7.8246e-01	  9.9340e-01	  3.0612e+00	  1.8528e+01	  3.0275e-04	  3.5154e-03	  5.4760e-01	  5.6117e-02	  5.6117e-02	  5.8014e-01	  2.2800e+01	  1.1600e-01	  7.4386e-03	  1.0006e+00	  1.0000e+00	  1.5711e-02	  5.8597e-03	  4.3847e-04	  1.1602e-03	
  1.0000e+01	  6.5090e+00	  6.1737e-13	  8.0884e-05	  5.1487e-06	  7.6950e-05	  1.7492e-03	  3.6947e+03	  1.9935e-01	  5.1847e-01	  7.7023e-01	  9.9251e-01	  2.9127e+00	  1.8607e+01	  3.2280e-04	  3.3847e-03	  5.4661e-01	  5.6591e-02	  5.6591e-02	  6.2493e-01	  2.2755e+01	  1.2880e-01	  7.4386e-03	  1.0007e+00	  1.0000e+00	  1.5711e-02	  7.3285e-03	  8.7764e-04	  1.2342e-03	
  1.1000e+01	  6.5144e+00	  5.8534e-13	  1.0355e-04	  6.7242e-06	  8.2165e-05	  1.8901e-03	  3.9468e+03	  1.9178e-01	  5.0214e-01	  7.5872e-01	  9.9160e-01	  2.7704e+00	  1.8682e+01	  3.4207e-04	  3.2646e-03	  5.4468e-01	  5.7062e-02	  5.7062e-02	  6.6820e-01	  2.2712e+01	  1.4131e-01	  7.4386e-03	  1.0009e+00	  1.0000e+00	  1.5711e-02	  8.9288e-03	  1.3898e-03	  1.3040e-03	
