        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6248e+00	  1.9166e-08	  1.1021e-05	  2.7058e-06	  2.6093e-05	  6.6501e-04	  8.4034e+02	  4.2314e-01	  8.2350e-01	  9.3363e-01	  9.9943e-01	  4.4956e+00	  1.7780e+01	  1.0114e-04	  5.3869e-03	  4.9902e-01	  5.2416e-02	  5.2416e-02	  1.5961e-01	  2.3220e+01	  8.8545e-03	  7.4415e-03	  1.0000e+00	  1.0000e+00	  1.5729e-02	  6.4605e-05	  0.0000e+00	
  2.0000e+00	  6.5721e+00	  1.5555e-08	  1.5167e-05	  2.7075e-06	  3.2002e-05	  7.6239e-04	  1.2510e+03	  3.5430e-01	  7.5883e-01	  9.0538e-01	  9.9887e-01	  4.2900e+00	  1.7886e+01	  1.3210e-04	  5.0247e-03	  5.1326e-01	  5.2854e-02	  5.2854e-02	  2.1990e-01	  2.3160e+01	  2.1327e-02	  7.4450e-03	  1.0000e+00	  1.0000e+00	  1.5762e-02	  4.6678e-04	  0.0000e+00	
  3.0000e+00	  6.5458e+00	  1.6479e-08	  1.9736e-05	  2.7089e-06	  3.8371e-05	  8.8710e-04	  1.5924e+03	  3.1513e-01	  7.1245e-01	  8.8337e-01	  9.9827e-01	  4.0925e+00	  1.7989e+01	  1.6102e-04	  4.7261e-03	  5.2474e-01	  5.3304e-02	  5.3304e-02	  2.7839e-01	  2.3102e+01	  3.3848e-02	  7.4483e-03	  1.0001e+00	  1.0000e+00	  1.5809e-02	  1.3887e-03	  0.0000e+00	
  4.0000e+00	  6.5318e+00	  1.7499e-08	  2.7514e-05	  2.7102e-06	  4.5316e-05	  1.0337e-03	  1.8948e+03	  2.8841e-01	  6.7593e-01	  8.6487e-01	  9.9766e-01	  3.9027e+00	  1.8087e+01	  1.8824e-04	  4.4735e-03	  5.3382e-01	  5.3762e-02	  5.3762e-02	  3.3529e-01	  2.3045e+01	  4.6247e-02	  7.4516e-03	  1.0002e+00	  1.0000e+00	  1.5868e-02	  2.8987e-03	  0.0000e+00	
  5.0000e+00	  6.5261e+00	  1.8440e-08	  4.4576e-05	  2.7113e-06	  5.2763e-05	  1.2008e-03	  2.1714e+03	  2.6845e-01	  6.4571e-01	  8.4869e-01	  9.9703e-01	  3.7205e+00	  1.8182e+01	  2.1400e-04	  4.2560e-03	  5.4080e-01	  5.4229e-02	  5.4229e-02	  3.9077e-01	  2.2989e+01	  5.8405e-02	  7.4549e-03	  1.0004e+00	  1.0000e+00	  1.5936e-02	  5.0160e-03	  0.0000e+00	
  6.0000e+00	  6.5274e+00	  1.9280e-08	  7.7441e-05	  2.7125e-06	  6.0524e-05	  1.3874e-03	  2.4297e+03	  2.5265e-01	  6.1986e-01	  8.3418e-01	  9.9639e-01	  3.5456e+00	  1.8274e+01	  2.3849e-04	  4.0658e-03	  5.4594e-01	  5.4700e-02	  5.4700e-02	  4.4491e-01	  2.2935e+01	  7.0240e-02	  7.4581e-03	  1.0007e+00	  1.0000e+00	  1.6012e-02	  7.7318e-03	  0.0000e+00	
  7.0000e+00	  6.5334e+00	  2.0026e-08	  1.2353e-04	  2.7135e-06	  6.8509e-05	  1.5920e-03	  2.6740e+03	  2.3968e-01	  5.9726e-01	  8.2094e-01	  9.9573e-01	  3.3776e+00	  1.8362e+01	  2.6186e-04	  3.8973e-03	  5.4949e-01	  5.5176e-02	  5.5176e-02	  4.9778e-01	  2.2882e+01	  8.1695e-02	  7.4613e-03	  1.0010e+00	  1.0000e+00	  1.6095e-02	  1.1022e-02	  0.0000e+00	
  8.0000e+00	  6.5422e+00	  2.0691e-08	  1.7925e-04	  2.7146e-06	  7.6672e-05	  1.8131e-03	  2.9071e+03	  2.2874e-01	  5.7720e-01	  8.0873e-01	  9.9506e-01	  3.2164e+00	  1.8447e+01	  2.8422e-04	  3.7461e-03	  5.5164e-01	  5.5653e-02	  5.5653e-02	  5.4942e-01	  2.2831e+01	  9.2730e-02	  7.4645e-03	  1.0013e+00	  1.0000e+00	  1.6184e-02	  1.4852e-02	  0.0000e+00	
