        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  7.0454e+00	  9.7932e-07	  6.3722e-06	  2.7039e-06	  1.8064e-05	  9.4334e-04	  3.6197e+02	  5.7557e-01	  9.1484e-01	  9.6951e-01	  9.9987e-01	  4.4956e+00	  1.7780e+01	  1.0146e-04	  5.4384e-03	  4.9988e-01	  5.2417e-02	  5.2417e-02	  1.6087e-01	  2.3219e+01	  7.7695e-03	  7.9284e-03	  1.0000e+00	  1.0000e+00	  1.6906e-02	  4.1327e-07	  1.7089e-06	
  2.0000e+00	  7.2955e+00	  5.0543e-07	  6.8698e-06	  2.7049e-06	  1.3848e-05	  1.2069e-03	  4.9557e+02	  5.1885e-01	  8.8727e-01	  9.5911e-01	  9.9978e-01	  4.2901e+00	  1.7886e+01	  1.3260e-04	  5.0382e-03	  5.1479e-01	  5.2855e-02	  5.2855e-02	  2.2203e-01	  2.3158e+01	  1.9458e-02	  8.4476e-03	  1.0000e+00	  1.0000e+00	  1.8174e-02	  1.8193e-06	  1.7254e-05	
  3.0000e+00	  7.5091e+00	  3.9177e-07	  7.0334e-06	  2.7112e-06	  1.0356e-05	  1.4331e-03	  6.1573e+02	  4.7927e-01	  8.6391e-01	  9.5002e-01	  9.9967e-01	  4.0926e+00	  1.7989e+01	  1.6151e-04	  4.7088e-03	  5.2660e-01	  5.3307e-02	  5.3307e-02	  2.8058e-01	  2.3099e+01	  3.1744e-02	  8.9532e-03	  1.0000e+00	  1.0000e+00	  1.9411e-02	  4.5547e-06	  6.9252e-05	
  4.0000e+00	  7.6907e+00	  3.3967e-07	  7.2172e-06	  2.7377e-06	  7.8714e-06	  1.6336e-03	  7.2417e+02	  4.4984e-01	  8.4390e-01	  9.4202e-01	  9.9956e-01	  3.9029e+00	  1.8087e+01	  1.8855e-04	  4.4298e-03	  5.3570e-01	  5.3767e-02	  5.3767e-02	  3.3670e-01	  2.3043e+01	  4.4463e-02	  9.4523e-03	  1.0000e+00	  1.0000e+00	  2.0636e-02	  8.6947e-06	  1.8047e-04	
  5.0000e+00	  7.8343e+00	  3.0995e-07	  7.5898e-06	  2.8147e-06	  5.5299e-06	  1.5878e-03	  7.9077e+02	  4.3401e-01	  8.3208e-01	  9.3718e-01	  9.9949e-01	  3.7208e+00	  1.8182e+01	  2.1397e-04	  4.1904e-03	  5.4243e-01	  5.4235e-02	  5.4235e-02	  3.9056e-01	  2.2989e+01	  5.7476e-02	  9.9460e-03	  1.0000e+00	  1.0000e+00	  2.1853e-02	  1.4304e-05	  3.7254e-04	
  6.0000e+00	  7.9481e+00	  2.9108e-07	  8.1512e-06	  2.9912e-06	  3.3355e-06	  1.2388e-03	  8.1058e+02	  4.2958e-01	  8.2863e-01	  9.3576e-01	  9.9947e-01	  3.5459e+00	  1.8274e+01	  2.3802e-04	  3.9823e-03	  5.4710e-01	  5.4708e-02	  5.4708e-02	  4.4230e-01	  2.2938e+01	  7.0656e-02	  1.0434e-02	  1.0000e+00	  1.0000e+00	  2.3064e-02	  2.1777e-05	  6.6474e-04	
  7.0000e+00	  8.0634e+00	  2.7835e-07	  8.6322e-06	  3.3340e-06	  1.9749e-06	  9.5471e-04	  8.3775e+02	  4.2369e-01	  8.2394e-01	  9.3381e-01	  9.9944e-01	  3.3779e+00	  1.8362e+01	  2.6084e-04	  3.7995e-03	  5.5000e-01	  5.5185e-02	  5.5185e-02	  4.9203e-01	  2.2888e+01	  8.3891e-02	  1.0918e-02	  1.0000e+00	  1.0000e+00	  2.4269e-02	  3.1247e-05	  1.0731e-03	
  8.0000e+00	  8.1809e+00	  2.6947e-07	  9.0482e-06	  3.9237e-06	  1.1462e-06	  7.2701e-04	  8.7078e+02	  4.1682e-01	  8.1832e-01	  9.3146e-01	  9.9940e-01	  3.2167e+00	  1.8447e+01	  2.8258e-04	  3.6370e-03	  5.5138e-01	  5.5662e-02	  5.5662e-02	  5.3987e-01	  2.2840e+01	  9.7087e-02	  1.1397e-02	  1.0000e+00	  1.0000e+00	  2.5470e-02	  4.2696e-05	  1.6102e-03	
