        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  3.0002e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.7162e+00	  2.7554e-04	  8.4985e-06	  2.7050e-06	  8.6000e-06	  2.5204e-04	  7.4454e+02	  4.4483e-01	  8.4025e-01	  9.4053e-01	  9.9954e-01	  4.4952e+00	  1.7780e+01	  9.6512e-05	  5.6027e-03	  4.8792e-01	  5.2407e-02	  5.2407e-02	  1.4253e-01	  2.3237e+01	  2.2705e-02	  1.0000e-03	  1.0001e+00	  1.0000e+00	
  2.0000e+00	  6.6793e+00	  2.7910e-04	  1.8389e-05	  2.7064e-06	  1.6140e-05	  4.5173e-04	  1.1664e+03	  3.6608e-01	  7.7129e-01	  9.1103e-01	  9.9900e-01	  4.2892e+00	  1.7886e+01	  1.2872e-04	  5.2201e-03	  5.0402e-01	  5.2835e-02	  5.2835e-02	  2.0517e-01	  2.3175e+01	  3.3332e-02	  1.0000e-03	  1.0003e+00	  1.0000e+00	
  3.0000e+00	  6.6766e+00	  2.8263e-04	  5.1942e-05	  2.7077e-06	  2.3695e-05	  6.6733e-04	  1.5321e+03	  3.2124e-01	  7.2021e-01	  8.8716e-01	  9.9838e-01	  4.0914e+00	  1.7988e+01	  1.5872e-04	  4.8875e-03	  5.1723e-01	  5.3276e-02	  5.3276e-02	  2.6613e-01	  2.3114e+01	  4.3964e-02	  1.0000e-03	  1.0005e+00	  1.0000e+00	
  4.0000e+00	  6.6880e+00	  2.8612e-04	  1.0058e-04	  2.7089e-06	  3.0822e-05	  8.9223e-04	  1.8668e+03	  2.9064e-01	  6.7915e-01	  8.6654e-01	  9.9772e-01	  3.9015e+00	  1.8087e+01	  1.8680e-04	  4.5979e-03	  5.2776e-01	  5.3729e-02	  5.3729e-02	  3.2521e-01	  2.3055e+01	  5.4709e-02	  1.0000e-03	  1.0008e+00	  1.0000e+00	
  5.0000e+00	  6.7048e+00	  2.8958e-04	  1.5455e-04	  2.7100e-06	  3.7397e-05	  1.1216e-03	  2.1807e+03	  2.6784e-01	  6.4474e-01	  8.4816e-01	  9.9701e-01	  3.7192e+00	  1.8182e+01	  2.1320e-04	  4.3445e-03	  5.3587e-01	  5.4190e-02	  5.4190e-02	  3.8233e-01	  2.2998e+01	  6.5599e-02	  1.0000e-03	  1.0011e+00	  1.0000e+00	
  6.0000e+00	  6.7235e+00	  2.9301e-04	  2.1152e-04	  2.7110e-06	  4.3397e-05	  1.3525e-03	  2.4792e+03	  2.4988e-01	  6.1514e-01	  8.3146e-01	  9.9626e-01	  3.5442e+00	  1.8273e+01	  2.3812e-04	  4.1213e-03	  5.4183e-01	  5.4657e-02	  5.4657e-02	  4.3746e-01	  2.2943e+01	  7.6625e-02	  1.0000e-03	  1.0015e+00	  1.0000e+00	
  7.0000e+00	  6.7425e+00	  2.9640e-04	  2.7027e-04	  2.7121e-06	  4.8856e-05	  1.5826e-03	  2.7656e+03	  2.3523e-01	  5.8922e-01	  8.1610e-01	  9.9547e-01	  3.3762e+00	  1.8362e+01	  2.6173e-04	  3.9232e-03	  5.4587e-01	  5.5129e-02	  5.5129e-02	  4.9062e-01	  2.2889e+01	  8.7758e-02	  1.0000e-03	  1.0018e+00	  1.0000e+00	
  8.0000e+00	  6.7609e+00	  2.9976e-04	  3.2999e-04	  2.7131e-06	  5.3829e-05	  1.8110e-03	  3.0420e+03	  2.2296e-01	  5.6620e-01	  8.0184e-01	  9.9466e-01	  3.2151e+00	  1.8446e+01	  2.8417e-04	  3.7460e-03	  5.4824e-01	  5.5603e-02	  5.5603e-02	  5.4182e-01	  2.2838e+01	  9.8955e-02	  1.0000e-03	  1.0022e+00	  1.0000e+00	
