        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	         SO4	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0003e-06	
  1.0000e+00	  6.6545e+00	  8.0747e-05	  7.0610e-06	  1.5208e-05	  1.0084e-04	  2.6547e-04	  8.0908e+02	  4.2991e-01	  8.2889e-01	  9.3586e-01	  9.9947e-01	  4.4952e+00	  1.7780e+01	  9.6905e-05	  5.6611e-03	  4.8916e-01	  5.2408e-02	  5.2408e-02	  1.4386e-01	  2.3236e+01	  2.1389e-02	  1.0009e+00	  1.0000e+00	  1.0000e+00	  2.1068e-03	  4.7219e-05	  0.0000e+00	  1.5869e-04	
  2.0000e+00	  6.5625e+00	  8.0696e-05	  9.3788e-06	  1.5213e-05	  1.9513e-04	  4.5256e-04	  1.2814e+03	  3.5030e-01	  7.5445e-01	  9.0336e-01	  9.9882e-01	  4.2893e+00	  1.7886e+01	  1.2942e-04	  5.2657e-03	  5.0671e-01	  5.2837e-02	  5.2837e-02	  2.0763e-01	  2.3172e+01	  3.0692e-02	  1.0021e+00	  1.0000e+00	  1.0000e+00	  5.2116e-03	  1.9039e-04	  0.0000e+00	  2.5421e-04	
  3.0000e+00	  6.5000e+00	  8.0650e-05	  1.1229e-05	  1.5218e-05	  3.0120e-04	  6.4437e-04	  1.6904e+03	  3.0581e-01	  7.0019e-01	  8.7728e-01	  9.9808e-01	  4.0916e+00	  1.7988e+01	  1.5968e-04	  4.9287e-03	  5.2152e-01	  5.3282e-02	  5.3282e-02	  2.6977e-01	  2.3110e+01	  3.9854e-02	  1.0037e+00	  1.0000e+00	  1.0000e+00	  9.0837e-03	  4.4103e-04	  0.0000e+00	  3.3423e-04	
  4.0000e+00	  6.4501e+00	  8.0608e-05	  1.2884e-05	  1.5222e-05	  4.1819e-04	  8.4133e-04	  2.0627e+03	  2.7587e-01	  6.5726e-01	  8.5497e-01	  9.9729e-01	  3.9019e+00	  1.8087e+01	  1.8800e-04	  4.6389e-03	  5.3381e-01	  5.3740e-02	  5.3740e-02	  3.3028e-01	  2.3050e+01	  4.8890e-02	  1.0055e+00	  1.0000e+00	  1.0000e+00	  1.3600e-02	  8.0812e-04	  0.0000e+00	  4.0638e-04	
  5.0000e+00	  6.4075e+00	  8.0568e-05	  1.4436e-05	  1.5226e-05	  5.4526e-04	  1.0430e-03	  2.4099e+03	  2.5378e-01	  6.2177e-01	  8.3527e-01	  9.9644e-01	  3.7199e+00	  1.8182e+01	  2.1465e-04	  4.3873e-03	  5.4380e-01	  5.4207e-02	  5.4207e-02	  3.8918e-01	  2.2991e+01	  5.7790e-02	  1.0075e+00	  1.0000e+00	  1.0000e+00	  1.8660e-02	  1.2973e-03	  0.0000e+00	  4.7356e-04	
  6.0000e+00	  6.3700e+00	  8.0530e-05	  1.5929e-05	  1.5230e-05	  6.8151e-04	  1.2486e-03	  2.7383e+03	  2.3654e-01	  5.9159e-01	  8.1753e-01	  9.9555e-01	  3.5453e+00	  1.8274e+01	  2.3983e-04	  4.1667e-03	  5.5173e-01	  5.4683e-02	  5.4683e-02	  4.4649e-01	  2.2934e+01	  6.6537e-02	  1.0097e+00	  1.0000e+00	  1.0000e+00	  2.4183e-02	  1.9114e-03	  0.0000e+00	  5.3722e-04	
  7.0000e+00	  6.3362e+00	  8.0493e-05	  1.7387e-05	  1.5233e-05	  8.2602e-04	  1.4576e-03	  3.0518e+03	  2.2255e-01	  5.6543e-01	  8.0135e-01	  9.9463e-01	  3.3778e+00	  1.8362e+01	  2.6372e-04	  3.9714e-03	  5.5780e-01	  5.5166e-02	  5.5166e-02	  5.0223e-01	  2.2878e+01	  7.5108e-02	  1.0121e+00	  1.0000e+00	  1.0000e+00	  3.0095e-02	  2.6513e-03	  0.0000e+00	  5.9817e-04	
  8.0000e+00	  6.3054e+00	  8.0458e-05	  1.8822e-05	  1.5237e-05	  9.7789e-04	  1.6693e-03	  3.3529e+03	  2.1090e-01	  5.4241e-01	  7.8644e-01	  9.9367e-01	  3.2171e+00	  1.8447e+01	  2.8645e-04	  3.7971e-03	  5.6221e-01	  5.5652e-02	  5.5652e-02	  5.5645e-01	  2.2824e+01	  8.3478e-02	  1.0146e+00	  1.0000e+00	  1.0000e+00	  3.6338e-02	  3.5160e-03	  0.0000e+00	  6.5694e-04	
