          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
     6.93543	  0.00426482	  1.0000e+00	  6.9354e+00	  2.3136e-04	  5.2218e-05	  6.7325e-04	  3.1791e-04	  9.7102e-05	  9.1949e-05	  8.8496e-04	  7.1173e-05	  6.6697e-05	  4.1445e+02	  5.5128e-01	  9.0380e-01	  9.6539e-01	  9.9984e-01	  4.5659e+00	  1.5974e+01	  1.7580e+00	  2.4339e-01	  6.3804e-01	  5.2529e-02	  5.2529e-02	  1.9623e-01	  2.3288e+01	  0.0000e+00	  0.0000e+00	  5.7503e-04	  1.4089e-03	
     6.87899	  0.00609531	  2.0000e+00	  6.8790e+00	  2.9720e-04	  6.1987e-05	  9.6802e-04	  4.7197e-04	  7.7847e-05	  8.1907e-05	  1.4928e-03	  8.4722e-05	  6.1024e-05	  6.0536e+02	  4.8236e-01	  8.6588e-01	  9.5080e-01	  9.9968e-01	  4.4254e+00	  1.6047e+01	  1.7522e+00	  9.2954e-02	  7.1805e-01	  5.3158e-02	  5.3158e-02	  3.3876e-01	  2.3145e+01	  0.0000e+00	  0.0000e+00	  6.1137e-04	  1.3761e-03	
     6.84385	  0.00761864	  3.0000e+00	  6.8439e+00	  3.5550e-04	  6.8954e-05	  1.2140e-03	  6.0556e-04	  6.8530e-05	  7.6080e-05	  2.0043e-03	  9.4446e-05	  5.7784e-05	  7.5932e+02	  4.4129e-01	  8.3762e-01	  9.3946e-01	  9.9953e-01	  4.2879e+00	  1.6119e+01	  1.7477e+00	  4.6240e-02	  7.5451e-01	  5.3843e-02	  5.3843e-02	  4.1783e-01	  2.3066e+01	  0.0000e+00	  0.0000e+00	  6.2966e-04	  1.3517e-03	
     6.81841	  0.00896078	  4.0000e+00	  6.8184e+00	  4.1060e-04	  7.4473e-05	  1.4306e-03	  7.2644e-04	  6.2808e-05	  7.2082e-05	  2.4613e-03	  1.0219e-04	  5.5577e-05	  8.9224e+02	  4.1251e-01	  8.1471e-01	  9.2994e-01	  9.9937e-01	  4.1530e+00	  1.6190e+01	  1.7436e+00	  3.7838e-02	  7.7456e-01	  5.4554e-02	  5.4554e-02	  4.7315e-01	  2.3011e+01	  0.0000e+00	  0.0000e+00	  6.4114e-04	  1.3316e-03	
     6.79851	    0.010179	  5.0000e+00	  6.7985e+00	  4.6407e-04	  7.9090e-05	  1.6269e-03	  8.3832e-04	  5.8851e-05	  6.9094e-05	  2.8816e-03	  1.0869e-04	  5.3934e-05	  1.0111e+03	  3.9059e-01	  7.9529e-01	  9.2162e-01	  9.9922e-01	  4.0205e+00	  1.6259e+01	  1.7396e+00	  3.6320e-02	  7.9105e-01	  5.5282e-02	  5.5282e-02	  5.2372e-01	  2.2960e+01	  0.0000e+00	  0.0000e+00	  6.4920e-04	  1.3142e-03	
     6.78219	    0.011305	  6.0000e+00	  6.7822e+00	  5.1663e-04	  8.3083e-05	  1.8078e-03	  9.4333e-04	  5.5911e-05	  6.6738e-05	  3.2748e-03	  1.1434e-04	  5.2642e-05	  1.1196e+03	  3.7303e-01	  7.7836e-01	  9.1419e-01	  9.9907e-01	  3.8906e+00	  1.6328e+01	  1.7356e+00	  3.5762e-02	  8.0639e-01	  5.6025e-02	  5.6025e-02	  5.7310e-01	  2.2911e+01	  0.0000e+00	  0.0000e+00	  6.5526e-04	  1.2987e-03	
     6.76838	   0.0123588	  7.0000e+00	  6.7684e+00	  5.6865e-04	  8.6617e-05	  1.9766e-03	  1.0428e-03	  5.3618e-05	  6.4813e-05	  3.6467e-03	  1.1936e-04	  5.1587e-05	  1.2202e+03	  3.5847e-01	  7.6331e-01	  9.0742e-01	  9.9891e-01	  3.7632e+00	  1.6395e+01	  1.7316e+00	  3.5302e-02	  8.2096e-01	  5.6783e-02	  5.6783e-02	  6.2179e-01	  2.2862e+01	  0.0000e+00	  0.0000e+00	  6.6002e-04	  1.2847e-03	
     6.75643	   0.0133538	  8.0000e+00	  6.7564e+00	  6.2035e-04	  8.9796e-05	  2.1355e-03	  1.1377e-03	  5.1768e-05	  6.3199e-05	  4.0014e-03	  1.2388e-04	  5.0704e-05	  1.3144e+03	  3.4609e-01	  7.4975e-01	  9.0119e-01	  9.9876e-01	  3.6384e+00	  1.6460e+01	  1.7276e+00	  3.4831e-02	  8.3479e-01	  5.7553e-02	  5.7553e-02	  6.6987e-01	  2.2814e+01	  0.0000e+00	  0.0000e+00	  6.6389e-04	  1.2718e-03	
     6.74589	   0.0142996	  9.0000e+00	  6.7459e+00	  6.7183e-04	  9.2690e-05	  2.2862e-03	  1.2288e-03	  5.0235e-05	  6.1818e-05	  4.3416e-03	  1.2801e-04	  4.9949e-05	  1.4033e+03	  3.3536e-01	  7.3740e-01	  8.9540e-01	  9.9861e-01	  3.5160e+00	  1.6525e+01	  1.7236e+00	  3.4344e-02	  8.4791e-01	  5.8337e-02	  5.8337e-02	  7.1731e-01	  2.2767e+01	  0.0000e+00	  0.0000e+00	  6.6711e-04	  1.2599e-03	
     6.73648	   0.0152034	  1.0000e+01	  6.7365e+00	  7.2317e-04	  9.5352e-05	  2.4297e-03	  1.3164e-03	  4.8940e-05	  6.0619e-05	  4.6694e-03	  1.3182e-04	  4.9293e-05	  1.4877e+03	  3.2593e-01	  7.2605e-01	  8.8998e-01	  9.9847e-01	  3.3962e+00	  1.6589e+01	  1.7197e+00	  3.3845e-02	  8.6032e-01	  5.9132e-02	  5.9132e-02	  7.6411e-01	  2.2720e+01	  0.0000e+00	  0.0000e+00	  6.6986e-04	  1.2487e-03	
     6.72799	   0.0160705	  1.1000e+01	  6.7280e+00	  7.7441e-04	  9.7819e-05	  2.5670e-03	  1.4011e-03	  4.7827e-05	  5.9565e-05	  4.9862e-03	  1.3537e-04	  4.8716e-05	  1.5682e+03	  3.1754e-01	  7.1555e-01	  8.8489e-01	  9.9832e-01	  3.2790e+00	  1.6651e+01	  1.7158e+00	  3.3339e-02	  8.7202e-01	  5.9939e-02	  5.9939e-02	  8.1026e-01	  2.2674e+01	  0.0000e+00	  0.0000e+00	  6.7222e-04	  1.2382e-03	
