          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
     6.93466	  0.00307012	  1.0000e+00	  6.9347e+00	  1.9931e-04	  4.9068e-05	  5.8727e-04	  2.5706e-04	  1.1165e-04	  1.3763e-03	  2.6145e-06	  6.6569e-05	  6.7863e-05	  3.5544e+02	  5.7881e-01	  9.1623e-01	  9.7003e-01	  9.9987e-01	  4.5659e+00	  1.5974e+01	  1.7582e+00	  2.2243e-01	  6.4629e-01	  5.2532e-02	  5.2532e-02	  2.0872e-01	  2.3275e+01	  0.0000e+00	  0.0000e+00	  5.2949e-04	  1.4873e-03	
     6.86897	  0.00429613	  2.0000e+00	  6.8690e+00	  2.3931e-04	  5.8989e-05	  8.6761e-04	  3.7711e-04	  8.7813e-05	  2.3422e-03	  2.1886e-06	  8.0049e-05	  6.1597e-05	  5.3961e+02	  5.0333e-01	  8.7856e-01	  9.5576e-01	  9.9974e-01	  4.4255e+00	  1.6047e+01	  1.7527e+00	  6.8344e-02	  7.2740e-01	  5.3172e-02	  5.3172e-02	  3.5324e-01	  2.3131e+01	  0.0000e+00	  0.0000e+00	  5.7229e-04	  1.4874e-03	
      6.8265	  0.00542348	  3.0000e+00	  6.8265e+00	  2.6989e-04	  6.6599e-05	  1.1250e-03	  4.8702e-04	  7.5454e-05	  3.1855e-03	  1.9398e-06	  9.0405e-05	  5.7917e-05	  7.0163e+02	  4.5555e-01	  8.4798e-01	  9.4367e-01	  9.9959e-01	  4.2880e+00	  1.6119e+01	  1.7485e+00	  3.4025e-02	  7.5865e-01	  5.3864e-02	  5.3864e-02	  4.2471e-01	  2.3059e+01	  0.0000e+00	  0.0000e+00	  5.9719e-04	  1.4874e-03	
     6.79519	  0.00648043	  4.0000e+00	  6.7952e+00	  2.9506e-04	  7.2878e-05	  1.3664e-03	  5.8985e-04	  6.7715e-05	  3.9551e-03	  1.7728e-06	  9.8963e-05	  5.5399e-05	  8.4949e+02	  4.2121e-01	  8.2194e-01	  9.3297e-01	  9.9942e-01	  4.1530e+00	  1.6190e+01	  1.7445e+00	  2.9392e-02	  7.7705e-01	  5.4578e-02	  5.4578e-02	  4.7766e-01	  2.3006e+01	  0.0000e+00	  0.0000e+00	  6.1404e-04	  1.4875e-03	
     6.77041	  0.00748354	  5.0000e+00	  6.7704e+00	  3.1665e-04	  7.8277e-05	  1.5958e-03	  6.8731e-04	  6.2340e-05	  4.6735e-03	  1.6513e-06	  1.0633e-04	  5.3528e-05	  9.8717e+02	  3.9475e-01	  7.9912e-01	  9.2328e-01	  9.9925e-01	  4.0206e+00	  1.6260e+01	  1.7406e+00	  2.8019e-02	  7.9335e-01	  5.5308e-02	  5.5308e-02	  5.2802e-01	  2.2956e+01	  0.0000e+00	  0.0000e+00	  6.2646e-04	  1.4875e-03	
     6.74991	  0.00844345	  6.0000e+00	  6.7499e+00	  3.3566e-04	  8.3042e-05	  1.8155e-03	  7.8046e-04	  5.8352e-05	  5.3532e-03	  1.5580e-06	  1.1284e-04	  5.2063e-05	  1.1170e+03	  3.7343e-01	  7.7876e-01	  9.1437e-01	  9.9907e-01	  3.8906e+00	  1.6328e+01	  1.7367e+00	  2.6995e-02	  8.0875e-01	  5.6053e-02	  5.6053e-02	  5.7755e-01	  2.2906e+01	  0.0000e+00	  0.0000e+00	  6.3612e-04	  1.4875e-03	
     6.73243	  0.00936744	  7.0000e+00	  6.7324e+00	  3.5271e-04	  8.7325e-05	  2.0273e-03	  8.7004e-04	  5.5255e-05	  6.0022e-03	  1.4837e-06	  1.1869e-04	  5.0874e-05	  1.2405e+03	  3.5571e-01	  7.6035e-01	  9.0607e-01	  9.9888e-01	  3.7632e+00	  1.6395e+01	  1.7329e+00	  2.6061e-02	  8.2335e-01	  5.6813e-02	  5.6813e-02	  6.2640e-01	  2.2858e+01	  0.0000e+00	  0.0000e+00	  6.4392e-04	  1.4874e-03	
     6.71721	   0.0102608	  8.0000e+00	  6.7172e+00	  3.6821e-04	  9.1227e-05	  2.2323e-03	  9.5657e-04	  5.2770e-05	  6.6257e-03	  1.4229e-06	  1.2404e-04	  4.9884e-05	  1.3587e+03	  3.4064e-01	  7.4355e-01	  8.9830e-01	  9.9869e-01	  3.6383e+00	  1.6462e+01	  1.7290e+00	  2.5191e-02	  8.3719e-01	  5.7586e-02	  5.7586e-02	  6.7456e-01	  2.2809e+01	  0.0000e+00	  0.0000e+00	  6.5042e-04	  1.4874e-03	
     6.70372	   0.0111274	  9.0000e+00	  6.7037e+00	  3.8246e-04	  9.4819e-05	  2.4315e-03	  1.0404e-03	  5.0722e-05	  7.2278e-03	  1.3720e-06	  1.2896e-04	  4.9042e-05	  1.4724e+03	  3.2760e-01	  7.2808e-01	  8.9096e-01	  9.9849e-01	  3.5159e+00	  1.6526e+01	  1.7252e+00	  2.4375e-02	  8.5028e-01	  5.8372e-02	  5.8372e-02	  7.2204e-01	  2.2762e+01	  0.0000e+00	  0.0000e+00	  6.5593e-04	  1.4874e-03	
     6.69162	   0.0119704	  1.0000e+01	  6.6916e+00	  3.9565e-04	  9.8153e-05	  2.6254e-03	  1.1219e-03	  4.9002e-05	  7.8111e-03	  1.3287e-06	  1.3353e-04	  4.8315e-05	  1.5821e+03	  3.1615e-01	  7.1376e-01	  8.8401e-01	  9.9829e-01	  3.3961e+00	  1.6590e+01	  1.7214e+00	  2.3607e-02	  8.6263e-01	  5.9170e-02	  5.9170e-02	  7.6883e-01	  2.2715e+01	  0.0000e+00	  0.0000e+00	  6.6070e-04	  1.4874e-03	
     6.68065	   0.0127921	  1.1000e+01	  6.6806e+00	  4.0796e-04	  1.0127e-04	  2.8146e-03	  1.2013e-03	  4.7533e-05	  8.3779e-03	  1.2913e-06	  1.3781e-04	  4.7680e-05	  1.6884e+03	  3.0598e-01	  7.0043e-01	  8.7740e-01	  9.9809e-01	  3.2788e+00	  1.6653e+01	  1.7176e+00	  2.2882e-02	  8.7425e-01	  5.9979e-02	  5.9979e-02	  8.1492e-01	  2.2669e+01	  0.0000e+00	  0.0000e+00	  6.6488e-04	  1.4874e-03	
