          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	          DO	       O2(g)	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
     7.07721	  0.00169999	  1.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3636e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.5659e+00	  1.5974e+01	  1.7582e+00	  2.2244e-01	  6.4629e-01	  5.2532e-02	  5.2532e-02	  2.0873e-01	  2.3275e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  2.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.4255e+00	  1.6047e+01	  1.7527e+00	  6.8372e-02	  7.2741e-01	  5.3172e-02	  5.3172e-02	  3.5326e-01	  2.3131e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  3.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.2880e+00	  1.6119e+01	  1.7485e+00	  3.4055e-02	  7.5869e-01	  5.3864e-02	  5.3864e-02	  4.2477e-01	  2.3059e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  4.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.1530e+00	  1.6190e+01	  1.7445e+00	  2.9425e-02	  7.7712e-01	  5.4578e-02	  5.4578e-02	  4.7777e-01	  2.3006e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  5.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.0206e+00	  1.6259e+01	  1.7406e+00	  2.8057e-02	  7.9346e-01	  5.5308e-02	  5.5308e-02	  5.2820e-01	  2.2956e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  6.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.8906e+00	  1.6328e+01	  1.7367e+00	  2.7036e-02	  8.0890e-01	  5.6054e-02	  5.6054e-02	  5.7780e-01	  2.2906e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  7.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.7632e+00	  1.6395e+01	  1.7329e+00	  2.6106e-02	  8.2356e-01	  5.6814e-02	  5.6814e-02	  6.2673e-01	  2.2857e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
     7.07721	  0.00169999	  8.0000e+00	  7.0772e+00	  1.3729e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.6383e+00	  1.6461e+01	  1.7290e+00	  2.5238e-02	  8.3746e-01	  5.7587e-02	  5.7587e-02	  6.7498e-01	  2.2809e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0417e-04	  5.6622e-03	
