          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	          DO	       O2(g)	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
     7.07721	  0.00169999	  1.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3636e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.5659e+00	  1.5974e+01	  1.7581e+00	  2.3210e-01	  6.4250e-01	  5.2530e-02	  5.2530e-02	  2.0298e-01	  2.3281e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0366e-04	  5.6482e-03	
     7.07721	  0.00169999	  2.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.4255e+00	  1.6047e+01	  1.7525e+00	  7.5710e-02	  7.2469e-01	  5.3166e-02	  5.3166e-02	  3.4898e-01	  2.3135e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0316e-04	  5.6343e-03	
     7.07721	  0.00169999	  3.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.2880e+00	  1.6119e+01	  1.7482e+00	  3.6411e-02	  7.5801e-01	  5.3856e-02	  5.3856e-02	  4.2351e-01	  2.3060e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0267e-04	  5.6206e-03	
     7.07721	  0.00169999	  4.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6905e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.1530e+00	  1.6190e+01	  1.7442e+00	  3.0682e-02	  7.7690e-01	  5.4570e-02	  5.4570e-02	  4.7719e-01	  2.3007e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0218e-04	  5.6070e-03	
     7.07721	  0.00169999	  5.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  4.0206e+00	  1.6259e+01	  1.7403e+00	  2.9135e-02	  7.9333e-01	  5.5300e-02	  5.5300e-02	  5.2774e-01	  2.2956e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0169e-04	  5.5935e-03	
     7.07721	  0.00169999	  6.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.8907e+00	  1.6328e+01	  1.7364e+00	  2.8058e-02	  8.0881e-01	  5.6046e-02	  5.6046e-02	  5.7739e-01	  2.2907e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0121e-04	  5.5802e-03	
     7.07721	  0.00169999	  7.0000e+00	  7.0772e+00	  1.3728e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.7632e+00	  1.6395e+01	  1.7325e+00	  2.7086e-02	  8.2349e-01	  5.6806e-02	  5.6806e-02	  6.2636e-01	  2.2858e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0073e-04	  5.5669e-03	
     7.07721	  0.00169999	  8.0000e+00	  7.0772e+00	  1.3729e-04	  3.3744e-05	  2.6906e-04	  1.2033e-04	  1.8479e-04	  1.2055e-04	  3.6074e-06	  4.5785e-05	  8.3635e-05	  1.2678e+02	  7.4461e-01	  9.6811e-01	  9.8874e-01	  9.9998e-01	  3.6383e+00	  1.6461e+01	  1.7287e+00	  2.6181e-02	  8.3742e-01	  5.7579e-02	  5.7579e-02	  6.7465e-01	  2.2809e+01	  0.0000e+00	  0.0000e+00	  4.2517e-04	  1.4870e-03	  2.0026e-04	  5.5539e-03	
