          pH	          mu	        Time	          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	         FeS	     Calcite	      Ca-PO4	      Pyrite	          DO	       O2(g)	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
      7.1237	  0.00125528	  0.0000e+00	  7.1237e+00	  1.1401e-04	  2.8002e-05	  1.8276e-04	  7.9005e-05	  5.0003e-06	  1.3301e-04	  4.0002e-06	  3.8002e-05	  9.0005e-06	  8.2287e+01	  7.9986e-01	  9.7898e-01	  9.9257e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e-99	  0.0000e+00	
     7.87974	   0.0065453	  1.0000e+00	  7.8797e+00	  3.1062e-04	  7.0096e-05	  1.2453e-03	  5.7200e-04	  1.3200e-06	  1.0633e-03	  6.4245e-04	  9.7015e-05	  1.6748e-03	  7.1164e+02	  4.5299e-01	  8.4617e-01	  9.4293e-01	  9.9958e-01	  4.5659e+00	  1.5974e+01	  1.7579e+00	  2.6084e-01	  6.3119e-01	  5.2525e-02	  5.2525e-02	  1.8582e-01	  2.3298e+01	  0.0000e+00	  7.2893e-02	  1.0003e-01	  1.5000e-01	  2.0280e-04	  5.6305e-03	
     7.83588	  0.00882995	  2.0000e+00	  7.8359e+00	  3.8492e-04	  8.0308e-05	  1.6710e-03	  7.8383e-04	  1.1234e-06	  1.8675e-03	  1.1186e-03	  1.1120e-04	  1.4715e-03	  9.7994e+02	  3.9603e-01	  8.0028e-01	  9.2379e-01	  9.9926e-01	  4.4253e+00	  1.6047e+01	  1.7517e+00	  1.1227e-01	  7.1070e-01	  5.3147e-02	  5.3147e-02	  3.2736e-01	  2.3157e+01	  0.0000e+00	  7.4047e-02	  1.0003e-01	  1.4999e-01	  2.0150e-04	  5.5974e-03	
     7.79436	   0.0108802	  3.0000e+00	  7.7944e+00	  4.5549e-04	  8.8421e-05	  2.0606e-03	  9.8004e-04	  1.0445e-06	  2.5857e-03	  1.5215e-03	  1.2246e-04	  1.3798e-03	  1.2154e+03	  3.5913e-01	  7.6402e-01	  9.0774e-01	  9.9892e-01	  4.2878e+00	  1.6119e+01	  1.7470e+00	  5.6392e-02	  7.5100e-01	  5.3826e-02	  5.3826e-02	  4.1201e-01	  2.3072e+01	  2.4212e-03	  7.4151e-02	  1.0003e-01	  1.4878e-01	  2.0022e-04	  5.5644e-03	
     7.74589	   0.0127976	  4.0000e+00	  7.7459e+00	  5.2487e-04	  9.5326e-05	  2.4300e-03	  1.1674e-03	  1.0432e-06	  3.2495e-03	  1.8808e-03	  1.3202e-04	  1.3649e-03	  1.4318e+03	  3.3211e-01	  7.3353e-01	  8.9357e-01	  9.9857e-01	  4.1529e+00	  1.6190e+01	  1.7428e+00	  4.3907e-02	  7.7277e-01	  5.4535e-02	  5.4535e-02	  4.6982e-01	  2.3014e+01	  8.0263e-03	  7.3207e-02	  1.0003e-01	  1.4598e-01	  1.9895e-04	  5.5317e-03	
     7.70634	   0.0145807	  5.0000e+00	  7.7063e+00	  5.9297e-04	  1.0124e-04	  2.7749e-03	  1.3436e-03	  1.0482e-06	  3.8774e-03	  2.2140e-03	  1.4024e-04	  1.3574e-03	  1.6310e+03	  3.1137e-01	  7.0757e-01	  8.8096e-01	  9.9820e-01	  4.0205e+00	  1.6259e+01	  1.7387e+00	  4.1697e-02	  7.8958e-01	  5.5261e-02	  5.5261e-02	  5.2083e-01	  2.2963e+01	  1.2699e-02	  7.2365e-02	  1.0003e-01	  1.4364e-01	  1.9770e-04	  5.4992e-03	
     7.67306	   0.0162622	  6.0000e+00	  7.6731e+00	  6.6044e-04	  1.0645e-04	  3.1009e-03	  1.5113e-03	  1.0558e-06	  4.4781e-03	  2.5283e-03	  1.4751e-04	  1.3535e-03	  1.8174e+03	  2.9470e-01	  6.8492e-01	  8.6952e-01	  9.9782e-01	  3.8906e+00	  1.6327e+01	  1.7346e+00	  4.1353e-02	  8.0489e-01	  5.6003e-02	  5.6003e-02	  5.7010e-01	  2.2914e+01	  1.6675e-02	  7.1615e-02	  1.0003e-01	  1.4165e-01	  1.9647e-04	  5.4670e-03	
     7.64443	    0.017863	  7.0000e+00	  7.6444e+00	  7.2762e-04	  1.1113e-04	  3.4118e-03	  1.6720e-03	  1.0645e-06	  5.0568e-03	  2.8278e-03	  1.5406e-04	  1.3517e-03	  1.9935e+03	  2.8087e-01	  6.6482e-01	  8.5902e-01	  9.9744e-01	  3.7633e+00	  1.6394e+01	  1.7305e+00	  4.1280e-02	  8.1934e-01	  5.6759e-02	  5.6759e-02	  6.1859e-01	  2.2865e+01	  2.0111e-02	  7.0945e-02	  1.0003e-01	  1.3993e-01	  1.9525e-04	  5.4350e-03	
     7.61937	   0.0193973	  8.0000e+00	  7.6194e+00	  7.9468e-04	  1.1539e-04	  3.7101e-03	  1.8268e-03	  1.0735e-06	  5.6173e-03	  3.1156e-03	  1.6004e-04	  1.3510e-03	  2.1614e+03	  2.6911e-01	  6.4675e-01	  8.4926e-01	  9.9705e-01	  3.6385e+00	  1.6460e+01	  1.7265e+00	  4.1196e-02	  8.3308e-01	  5.7528e-02	  5.7528e-02	  6.6645e-01	  2.2818e+01	  2.3121e-02	  7.0343e-02	  1.0003e-01	  1.3843e-01	  1.9404e-04	  5.4033e-03	
