        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6532e-06	  1.4319e-05	  6.7137e-05	  2.0846e-04	  7.7753e+02	  4.3704e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.6284e+00	  1.5942e+01	  1.7645e+00	  2.3811e-01	  6.2317e-01	  5.2521e-02	  5.2521e-02	  1.7369e-01	  2.3310e+01	  4.7342e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.3525e-06	  0.0000e+00	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6795e-04	  4.2566e-04	  8.5621e-05	  2.1197e-03	  9.5996e-05	  8.3876e-05	  2.0846e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6241e+00	  8.0704e-05	  8.4922e-06	  1.4324e-05	  1.1419e-04	  3.2579e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.5708e+00	  1.5973e+01	  1.7626e+00	  7.0587e-02	  6.8978e-01	  5.3129e-02	  5.3129e-02	  2.9555e-01	  2.3188e+01	  8.6663e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.3233e-05	  0.0000e+00	  0.0000e+00	  4.7599e-04	  8.0846e-05	  1.5261e-03	  6.7095e-04	  6.4011e-05	  3.5842e-03	  1.5324e-04	  1.0353e-04	  3.2579e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5926e+00	  8.0660e-05	  9.7349e-06	  1.4328e-05	  1.5917e-04	  4.3717e-04	  1.6265e+03	  3.1180e-01	  7.0813e-01	  8.8124e-01	  9.9821e-01	  4.5233e+00	  1.5999e+01	  1.7611e+00	  2.0454e-02	  7.0653e-01	  5.3776e-02	  5.3776e-02	  3.4399e-01	  2.3139e+01	  1.2689e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.1682e-05	  0.0000e+00	  0.0000e+00	  6.3338e-04	  9.4425e-05	  2.0210e-03	  8.8928e-04	  5.2773e-05	  4.8722e-03	  2.0114e-04	  1.1770e-04	  4.3717e-04	  0.0000e+00	  1.3730e-03	
  4.0000e+00	  6.5744e+00	  8.0620e-05	  1.0673e-05	  1.4332e-05	  2.0217e-04	  5.4475e-04	  1.9860e+03	  2.8143e-01	  6.6566e-01	  8.5946e-01	  9.9746e-01	  4.4817e+00	  1.6022e+01	  1.7596e+00	  1.2421e-02	  7.0513e-01	  5.4429e-02	  5.4429e-02	  3.6545e-01	  2.3118e+01	  1.6670e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  9.1045e-05	  0.0000e+00	  0.0000e+00	  7.9419e-04	  1.0626e-04	  2.4766e-03	  1.0910e-03	  4.5360e-05	  6.0601e-03	  2.4430e-04	  1.2906e-04	  5.4475e-04	  0.0000e+00	  1.3583e-03	
  5.0000e+00	  6.5635e+00	  8.0583e-05	  1.1418e-05	  1.4336e-05	  2.4331e-04	  6.4951e-04	  2.3216e+03	  2.5897e-01	  6.3042e-01	  8.4018e-01	  9.9666e-01	  4.4442e+00	  1.6043e+01	  1.7581e+00	  1.0832e-02	  7.0042e-01	  5.5077e-02	  5.5077e-02	  3.8190e-01	  2.3101e+01	  2.0581e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.4070e-04	  0.0000e+00	  0.0000e+00	  9.5883e-04	  1.1705e-04	  2.9043e-03	  1.2810e-03	  3.9913e-05	  7.1804e-03	  2.8449e-04	  1.3864e-04	  6.4951e-04	  0.0000e+00	  1.3464e-03	
  6.0000e+00	  6.5570e+00	  8.0546e-05	  1.2029e-05	  1.4339e-05	  2.8267e-04	  7.5205e-04	  2.6394e+03	  2.4142e-01	  6.0036e-01	  8.2279e-01	  9.9583e-01	  4.4097e+00	  1.6063e+01	  1.7566e+00	  1.0157e-02	  6.9485e-01	  5.5719e-02	  5.5719e-02	  3.9696e-01	  2.3086e+01	  2.4425e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.0019e-04	  0.0000e+00	  0.0000e+00	  1.1271e-03	  1.2716e-04	  3.3107e-03	  1.4622e-03	  3.5665e-05	  8.2506e-03	  3.2258e-04	  1.4701e-04	  7.5205e-04	  0.0000e+00	  1.3367e-03	
  7.0000e+00	  6.5535e+00	  8.0511e-05	  1.2541e-05	  1.4342e-05	  3.2038e-04	  8.5269e-04	  2.9430e+03	  2.2717e-01	  5.7423e-01	  8.0688e-01	  9.9495e-01	  4.3777e+00	  1.6081e+01	  1.7551e+00	  9.7036e-03	  6.8885e-01	  5.6355e-02	  5.6355e-02	  4.1123e-01	  2.3072e+01	  2.8206e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.6913e-04	  0.0000e+00	  0.0000e+00	  1.2988e-03	  1.3678e-04	  3.7000e-03	  1.6361e-03	  3.2228e-05	  9.2812e-03	  3.5907e-04	  1.5446e-04	  8.5269e-04	  0.0000e+00	  1.3284e-03	
  8.0000e+00	  6.5520e+00	  8.0478e-05	  1.2977e-05	  1.4346e-05	  3.5654e-04	  9.5169e-04	  3.2351e+03	  2.1527e-01	  5.5118e-01	  7.9220e-01	  9.9405e-01	  4.3475e+00	  1.6098e+01	  1.7536e+00	  9.3574e-03	  6.8255e-01	  5.6984e-02	  5.6984e-02	  4.2492e-01	  2.3058e+01	  3.1927e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.4715e-04	  0.0000e+00	  0.0000e+00	  1.4735e-03	  1.4603e-04	  4.0748e-03	  1.8042e-03	  2.9376e-05	  1.0279e-02	  3.9430e-04	  1.6121e-04	  9.5169e-04	  0.0000e+00	  1.3214e-03	
