        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6531e-06	  1.4319e-05	  6.7145e-05	  2.0848e-04	  7.7753e+02	  4.3704e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.5527e+00	  1.5980e+01	  1.7659e+00	  2.6829e-01	  6.2566e-01	  5.2521e-02	  5.2521e-02	  1.7747e-01	  2.3306e+01	  5.4919e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.1434e-06	  0.0000e+00	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6795e-04	  4.2566e-04	  8.5622e-05	  2.1197e-03	  9.5996e-05	  8.3876e-05	  2.0848e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6241e+00	  8.0704e-05	  8.4923e-06	  1.4324e-05	  1.1423e-04	  3.2591e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.3997e+00	  1.6059e+01	  1.7648e+00	  1.1056e-01	  7.0695e-01	  5.3138e-02	  5.3138e-02	  3.2165e-01	  2.3162e+01	  1.0421e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.7440e-05	  0.0000e+00	  0.0000e+00	  4.7600e-04	  8.0847e-05	  1.5262e-03	  6.7096e-04	  6.4015e-05	  3.5842e-03	  1.5324e-04	  1.0353e-04	  3.2591e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5926e+00	  8.0660e-05	  9.7352e-06	  1.4328e-05	  1.5929e-04	  4.3747e-04	  1.6266e+03	  3.1180e-01	  7.0813e-01	  8.8123e-01	  9.9821e-01	  4.2504e+00	  1.6136e+01	  1.7637e+00	  4.9319e-02	  7.4771e-01	  5.3815e-02	  5.3815e-02	  4.0714e-01	  2.3076e+01	  1.5608e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.3544e-05	  0.0000e+00	  0.0000e+00	  6.3339e-04	  9.4426e-05	  2.0210e-03	  8.8930e-04	  5.2783e-05	  4.8722e-03	  2.0114e-04	  1.1771e-04	  4.3747e-04	  0.0000e+00	  1.3730e-03	
  4.0000e+00	  6.5743e+00	  8.0620e-05	  1.0674e-05	  1.4332e-05	  2.0243e-04	  5.4535e-04	  1.9860e+03	  2.8142e-01	  6.6565e-01	  8.5946e-01	  9.9746e-01	  4.1043e+00	  1.6211e+01	  1.7627e+00	  3.5988e-02	  7.6808e-01	  5.4519e-02	  5.4519e-02	  4.6313e-01	  2.3020e+01	  2.0895e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1608e-04	  0.0000e+00	  0.0000e+00	  7.9420e-04	  1.0626e-04	  2.4767e-03	  1.0910e-03	  4.5378e-05	  6.0601e-03	  2.4430e-04	  1.2906e-04	  5.4535e-04	  0.0000e+00	  1.3582e-03	
  5.0000e+00	  6.5633e+00	  8.0583e-05	  1.1420e-05	  1.4336e-05	  2.4377e-04	  6.5057e-04	  2.3217e+03	  2.5897e-01	  6.3041e-01	  8.4018e-01	  9.9666e-01	  3.9614e+00	  1.6285e+01	  1.7616e+00	  3.2831e-02	  7.8342e-01	  5.5240e-02	  5.5240e-02	  5.1227e-01	  2.2971e+01	  2.6225e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.8537e-04	  0.0000e+00	  0.0000e+00	  9.5885e-04	  1.1706e-04	  2.9045e-03	  1.2811e-03	  3.9943e-05	  7.1803e-03	  2.8448e-04	  1.3865e-04	  6.5057e-04	  0.0000e+00	  1.3464e-03	
  6.0000e+00	  6.5567e+00	  8.0546e-05	  1.2033e-05	  1.4339e-05	  2.8342e-04	  7.5370e-04	  2.6395e+03	  2.4141e-01	  6.0035e-01	  8.2278e-01	  9.9583e-01	  3.8216e+00	  1.6358e+01	  1.7606e+00	  3.1269e-02	  7.9723e-01	  5.5975e-02	  5.5975e-02	  5.5970e-01	  2.2923e+01	  3.1584e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.7187e-04	  0.0000e+00	  0.0000e+00	  1.1272e-03	  1.2717e-04	  3.3110e-03	  1.4623e-03	  3.5708e-05	  8.2504e-03	  3.2257e-04	  1.4701e-04	  7.5370e-04	  0.0000e+00	  1.3366e-03	
  7.0000e+00	  6.5531e+00	  8.0511e-05	  1.2547e-05	  1.4342e-05	  3.2150e-04	  8.5512e-04	  2.9432e+03	  2.2716e-01	  5.7422e-01	  8.0687e-01	  9.9495e-01	  3.6849e+00	  1.6429e+01	  1.7596e+00	  3.0001e-02	  8.1003e-01	  5.6722e-02	  5.6722e-02	  6.0622e-01	  2.2877e+01	  3.6965e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  3.7606e-04	  0.0000e+00	  0.0000e+00	  1.2989e-03	  1.3678e-04	  3.7003e-03	  1.6363e-03	  3.2286e-05	  9.2810e-03	  3.5906e-04	  1.5447e-04	  8.5512e-04	  0.0000e+00	  1.3283e-03	
  8.0000e+00	  6.5514e+00	  8.0478e-05	  1.2985e-05	  1.4346e-05	  3.5813e-04	  9.5507e-04	  3.2354e+03	  2.1527e-01	  5.5116e-01	  7.9219e-01	  9.9405e-01	  3.5513e+00	  1.6498e+01	  1.7585e+00	  2.8843e-02	  8.2193e-01	  5.7481e-02	  5.7481e-02	  6.5193e-01	  2.2831e+01	  4.2364e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.9836e-04	  0.0000e+00	  0.0000e+00	  1.4735e-03	  1.4603e-04	  4.0753e-03	  1.8044e-03	  2.9452e-05	  1.0279e-02	  3.9429e-04	  1.6122e-04	  9.5507e-04	  0.0000e+00	  1.3212e-03	
