        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7868e-06	  1.4320e-05	  6.6811e-05	  2.0838e-04	  7.8963e+02	  4.3426e-01	  8.3228e-01	  9.3726e-01	  9.9949e-01	  4.5349e+00	  1.5989e+01	  1.7646e+00	  1.7660e-01	  6.6597e-01	  5.2544e-02	  5.2544e-02	  2.3867e-01	  2.3245e+01	  5.7826e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.7809e-06	  0.0000e+00	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8574e-04	  4.5054e-04	  8.4354e-05	  1.5316e-03	  4.7065e-04	  8.4674e-05	  2.0838e-04	  0.0000e+00	  1.3939e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1222e-05	  1.4325e-05	  1.1354e-04	  3.2682e-04	  1.2270e+03	  3.5755e-01	  7.6233e-01	  9.0697e-01	  9.9890e-01	  4.3651e+00	  1.6076e+01	  1.7629e+00	  4.3601e-02	  7.4019e-01	  5.3201e-02	  5.3201e-02	  3.7358e-01	  2.3110e+01	  1.1081e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  3.0589e-05	  0.0000e+00	  0.0000e+00	  4.7590e-04	  8.0887e-05	  1.5269e-03	  7.0784e-04	  6.3817e-05	  2.5813e-03	  7.6365e-04	  1.0380e-04	  3.2682e-04	  0.0000e+00	  1.3575e-03	
  3.0000e+00	  6.5992e+00	  8.0651e-05	  1.2854e-05	  1.4329e-05	  1.5823e-04	  4.3952e-04	  1.5991e+03	  3.1446e-01	  7.1159e-01	  8.8295e-01	  9.9826e-01	  4.1997e+00	  1.6162e+01	  1.7613e+00	  2.7476e-02	  7.6586e-01	  5.3902e-02	  5.3902e-02	  4.3723e-01	  2.3046e+01	  1.6544e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.0166e-05	  0.0000e+00	  0.0000e+00	  6.3017e-04	  9.4005e-05	  1.9969e-03	  9.3505e-04	  5.2995e-05	  3.5089e-03	  1.0097e-03	  1.1747e-04	  4.3952e-04	  0.0000e+00	  1.3324e-03	
  4.0000e+00	  6.5824e+00	  8.0611e-05	  1.4081e-05	  1.4333e-05	  2.0099e-04	  5.4853e-04	  1.9346e+03	  2.8531e-01	  6.7141e-01	  8.6250e-01	  9.9757e-01	  4.0383e+00	  1.6245e+01	  1.7598e+00	  2.5314e-02	  7.8471e-01	  5.4623e-02	  5.4623e-02	  4.9148e-01	  2.2992e+01	  2.2057e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.2694e-04	  0.0000e+00	  0.0000e+00	  7.8742e-04	  1.0541e-04	  2.4246e-03	  1.1442e-03	  4.5777e-05	  4.3660e-03	  1.2314e-03	  1.2838e-04	  5.4853e-04	  0.0000e+00	  1.3133e-03	
  5.0000e+00	  6.5724e+00	  8.0573e-05	  1.5053e-05	  1.4337e-05	  2.4195e-04	  6.5488e-04	  2.2455e+03	  2.6366e-01	  6.3807e-01	  8.4447e-01	  9.9685e-01	  3.8810e+00	  1.6326e+01	  1.7583e+00	  2.4058e-02	  8.0206e-01	  5.5361e-02	  5.5361e-02	  5.4416e-01	  2.2939e+01	  2.7603e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.0160e-04	  0.0000e+00	  0.0000e+00	  9.4818e-04	  1.1581e-04	  2.8227e-03	  1.3409e-03	  4.0432e-05	  5.1749e-03	  1.4376e-03	  1.3758e-04	  6.5488e-04	  0.0000e+00	  1.2980e-03	
  6.0000e+00	  6.5666e+00	  8.0538e-05	  1.5849e-05	  1.4340e-05	  2.8124e-04	  7.5914e-04	  2.5382e+03	  2.4668e-01	  6.0961e-01	  8.2824e-01	  9.9610e-01	  3.7278e+00	  1.6405e+01	  1.7567e+00	  2.2943e-02	  8.1823e-01	  5.6116e-02	  5.6116e-02	  5.9577e-01	  2.2887e+01	  3.3175e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.9481e-04	  0.0000e+00	  0.0000e+00	  1.1123e-03	  1.2555e-04	  3.1986e-03	  1.5281e-03	  3.6244e-05	  5.9479e-03	  1.6328e-03	  1.4560e-04	  7.5914e-04	  0.0000e+00	  1.2853e-03	
  7.0000e+00	  6.5636e+00	  8.0504e-05	  1.6517e-05	  1.4344e-05	  3.1897e-04	  8.6167e-04	  2.8167e+03	  2.3283e-01	  5.8482e-01	  8.1342e-01	  9.9533e-01	  3.5785e+00	  1.6483e+01	  1.7552e+00	  2.1918e-02	  8.3328e-01	  5.6885e-02	  5.6885e-02	  6.4632e-01	  2.2836e+01	  3.8768e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.0714e-04	  0.0000e+00	  0.0000e+00	  1.2796e-03	  1.3481e-04	  3.5568e-03	  1.7077e-03	  3.2844e-05	  6.6923e-03	  1.8196e-03	  1.5274e-04	  8.6167e-04	  0.0000e+00	  1.2746e-03	
  8.0000e+00	  6.5624e+00	  8.0471e-05	  1.7087e-05	  1.4347e-05	  3.5528e-04	  9.6274e-04	  3.0837e+03	  2.2124e-01	  5.6290e-01	  7.9974e-01	  9.9453e-01	  3.4333e+00	  1.6558e+01	  1.7537e+00	  2.0970e-02	  8.4723e-01	  5.7668e-02	  5.7668e-02	  6.9583e-01	  2.2787e+01	  4.4375e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  5.3910e-04	  0.0000e+00	  0.0000e+00	  1.4497e-03	  1.4371e-04	  3.9003e-03	  1.8812e-03	  3.0017e-05	  7.4132e-03	  1.9997e-03	  1.5921e-04	  9.6274e-04	  0.0000e+00	  1.2654e-03	
