        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7868e-06	  1.4320e-05	  6.6798e-05	  2.0834e-04	  7.8963e+02	  4.3426e-01	  8.3228e-01	  9.3726e-01	  9.9949e-01	  4.5673e+00	  1.5973e+01	  1.7643e+00	  3.9825e-01	  5.7195e-01	  5.2494e-02	  5.2494e-02	  9.5982e-02	  2.3388e+01	  5.2045e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.4726e-06	  0.0000e+00	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8574e-04	  4.5053e-04	  8.4352e-05	  1.5316e-03	  4.7065e-04	  8.4674e-05	  2.0834e-04	  0.0000e+00	  1.3939e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1222e-05	  1.4325e-05	  1.1347e-04	  3.2663e-04	  1.2269e+03	  3.5755e-01	  7.6233e-01	  9.0697e-01	  9.9890e-01	  4.4279e+00	  1.6044e+01	  1.7618e+00	  3.1361e-01	  6.2329e-01	  5.3039e-02	  5.3039e-02	  1.9283e-01	  2.3291e+01	  9.6310e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.3355e-05	  0.0000e+00	  0.0000e+00	  4.7590e-04	  8.0886e-05	  1.5268e-03	  7.0783e-04	  6.3810e-05	  2.5814e-03	  7.6366e-04	  1.0380e-04	  3.2663e-04	  0.0000e+00	  1.3575e-03	
  3.0000e+00	  6.5993e+00	  8.0651e-05	  1.2853e-05	  1.4329e-05	  1.5805e-04	  4.3907e-04	  1.5991e+03	  3.1447e-01	  7.1160e-01	  8.8295e-01	  9.9826e-01	  4.2915e+00	  1.6114e+01	  1.7596e+00	  2.3364e-01	  6.7108e-01	  5.3633e-02	  5.3633e-02	  2.8607e-01	  2.3197e+01	  1.4269e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.2769e-05	  0.0000e+00	  0.0000e+00	  6.3016e-04	  9.4004e-05	  1.9969e-03	  9.3502e-04	  5.2980e-05	  3.5089e-03	  1.0097e-03	  1.1747e-04	  4.3907e-04	  0.0000e+00	  1.3324e-03	
  4.0000e+00	  6.5825e+00	  8.0611e-05	  1.4079e-05	  1.4333e-05	  2.0068e-04	  5.4779e-04	  1.9346e+03	  2.8531e-01	  6.7141e-01	  8.6250e-01	  9.9757e-01	  4.1581e+00	  1.6183e+01	  1.7576e+00	  1.6672e-01	  7.1210e-01	  5.4271e-02	  5.4271e-02	  3.7074e-01	  2.3113e+01	  1.9091e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  9.6599e-05	  0.0000e+00	  0.0000e+00	  7.8740e-04	  1.0541e-04	  2.4245e-03	  1.1442e-03	  4.5754e-05	  4.3661e-03	  1.2314e-03	  1.2838e-04	  5.4779e-04	  0.0000e+00	  1.3133e-03	
  5.0000e+00	  6.5726e+00	  8.0573e-05	  1.5050e-05	  1.4337e-05	  2.4149e-04	  6.5380e-04	  2.2454e+03	  2.6367e-01	  6.3808e-01	  8.4447e-01	  9.9685e-01	  4.0274e+00	  1.6251e+01	  1.7557e+00	  1.1853e-01	  7.4431e-01	  5.4946e-02	  5.4946e-02	  4.4348e-01	  2.3040e+01	  2.4056e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.5623e-04	  0.0000e+00	  0.0000e+00	  9.4816e-04	  1.1581e-04	  2.8226e-03	  1.3408e-03	  4.0402e-05	  5.1750e-03	  1.4377e-03	  1.3758e-04	  6.5380e-04	  0.0000e+00	  1.2980e-03	
  6.0000e+00	  6.5669e+00	  8.0538e-05	  1.5845e-05	  1.4340e-05	  2.8059e-04	  7.5769e-04	  2.5381e+03	  2.4668e-01	  6.0962e-01	  8.2824e-01	  9.9610e-01	  3.8993e+00	  1.6317e+01	  1.7540e+00	  8.8757e-02	  7.6804e-01	  5.5647e-02	  5.5647e-02	  5.0455e-01	  2.2978e+01	  2.9122e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.3244e-04	  0.0000e+00	  0.0000e+00	  1.1123e-03	  1.2554e-04	  3.1984e-03	  1.5280e-03	  3.6205e-05	  5.9480e-03	  1.6329e-03	  1.4559e-04	  7.5769e-04	  0.0000e+00	  1.2854e-03	
  7.0000e+00	  6.5639e+00	  8.0504e-05	  1.6511e-05	  1.4344e-05	  3.1812e-04	  8.5981e-04	  2.8166e+03	  2.3284e-01	  5.8483e-01	  8.1342e-01	  9.9533e-01	  3.7738e+00	  1.6383e+01	  1.7523e+00	  7.2334e-02	  7.8551e-01	  5.6368e-02	  5.6368e-02	  5.5701e-01	  2.2926e+01	  3.4249e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.2561e-04	  0.0000e+00	  0.0000e+00	  1.2796e-03	  1.3480e-04	  3.5566e-03	  1.7076e-03	  3.2798e-05	  6.6924e-03	  1.8196e-03	  1.5274e-04	  8.5981e-04	  0.0000e+00	  1.2747e-03	
  8.0000e+00	  6.5628e+00	  8.0471e-05	  1.7079e-05	  1.4347e-05	  3.5420e-04	  9.6042e-04	  3.0835e+03	  2.2125e-01	  5.6291e-01	  7.9975e-01	  9.9453e-01	  3.6508e+00	  1.6447e+01	  1.7506e+00	  6.3587e-02	  7.9911e-01	  5.7104e-02	  5.7104e-02	  6.0428e-01	  2.2878e+01	  3.9412e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.3595e-04	  0.0000e+00	  0.0000e+00	  1.4496e-03	  1.4371e-04	  3.9000e-03	  1.8811e-03	  2.9964e-05	  7.4133e-03	  1.9997e-03	  1.5921e-04	  9.6042e-04	  0.0000e+00	  1.2656e-03	
