        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  4.0468e-05	  8.7876e-06	  1.4320e-05	  6.6774e-05	  2.0827e-04	  7.8962e+02	  4.3427e-01	  8.3228e-01	  9.3727e-01	  9.9949e-01	  4.5527e+00	  1.5980e+01	  1.7645e+00	  2.7076e-01	  6.2589e-01	  5.2521e-02	  5.2521e-02	  1.7778e-01	  2.3306e+01	  3.8642e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  3.2302e-06	  5.1805e-07	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8572e-04	  4.5052e-04	  8.4349e-05	  1.5317e-03	  4.7064e-04	  8.4673e-05	  2.0827e-04	  0.0000e+00	  1.3940e-03	
  2.0000e+00	  6.6288e+00	  4.0443e-05	  1.1227e-05	  1.4325e-05	  1.1339e-04	  3.2644e-04	  1.2269e+03	  3.5755e-01	  7.6234e-01	  9.0698e-01	  9.9890e-01	  4.3997e+00	  1.6059e+01	  1.7625e+00	  1.1311e-01	  7.0814e-01	  5.3139e-02	  5.3139e-02	  3.2336e-01	  2.3160e+01	  7.2050e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.1182e-05	  3.1653e-06	  0.0000e+00	  4.7589e-04	  8.0884e-05	  1.5267e-03	  7.0779e-04	  6.3799e-05	  2.5814e-03	  7.6357e-04	  1.0379e-04	  3.2644e-04	  0.0000e+00	  1.3582e-03	
  3.0000e+00	  6.5994e+00	  4.0421e-05	  1.2870e-05	  1.4329e-05	  1.5790e-04	  4.3873e-04	  1.5990e+03	  3.1448e-01	  7.1161e-01	  8.8295e-01	  9.9826e-01	  4.2504e+00	  1.6136e+01	  1.7608e+00	  5.0751e-02	  7.5018e-01	  5.3817e-02	  5.3817e-02	  4.1073e-01	  2.3073e+01	  1.0845e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.4887e-05	  9.1487e-06	  0.0000e+00	  6.3014e-04	  9.4000e-05	  1.9967e-03	  9.3493e-04	  5.2957e-05	  3.5090e-03	  1.0095e-03	  1.1746e-04	  4.3873e-04	  0.0000e+00	  1.3343e-03	
  4.0000e+00	  6.5827e+00	  4.0401e-05	  1.4115e-05	  1.4333e-05	  2.0042e-04	  5.4726e-04	  1.9344e+03	  2.8532e-01	  6.7143e-01	  8.6251e-01	  9.9757e-01	  4.1043e+00	  1.6211e+01	  1.7592e+00	  3.6919e-02	  7.7154e-01	  5.4525e-02	  5.4525e-02	  4.6813e-01	  2.3015e+01	  1.4624e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  4.4601e-05	  1.9189e-05	  0.0000e+00	  7.8736e-04	  1.0541e-04	  2.4242e-03	  1.1440e-03	  4.5715e-05	  4.3662e-03	  1.2309e-03	  1.2837e-04	  5.4726e-04	  0.0000e+00	  1.3172e-03	
  5.0000e+00	  6.5730e+00	  4.0382e-05	  1.5116e-05	  1.4337e-05	  2.4108e-04	  6.5304e-04	  2.2452e+03	  2.6369e-01	  6.3811e-01	  8.4449e-01	  9.9685e-01	  3.9614e+00	  1.6285e+01	  1.7577e+00	  3.3607e-02	  7.8769e-01	  5.5250e-02	  5.5250e-02	  5.1842e-01	  2.2965e+01	  1.8483e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.0458e-05	  3.3791e-05	  0.0000e+00	  9.4810e-04	  1.1580e-04	  2.8222e-03	  1.3405e-03	  4.0344e-05	  5.1752e-03	  1.4368e-03	  1.3757e-04	  6.5304e-04	  0.0000e+00	  1.3047e-03	
  6.0000e+00	  6.5674e+00	  4.0365e-05	  1.5953e-05	  1.4340e-05	  2.7999e-04	  7.5664e-04	  2.5377e+03	  2.4670e-01	  6.0965e-01	  8.2827e-01	  9.9610e-01	  3.8216e+00	  1.6358e+01	  1.7561e+00	  3.1967e-02	  8.0225e-01	  5.5989e-02	  5.5989e-02	  5.6691e-01	  2.2916e+01	  2.2407e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0265e-04	  5.3406e-05	  0.0000e+00	  1.1122e-03	  1.2553e-04	  3.1978e-03	  1.5276e-03	  3.6126e-05	  5.9483e-03	  1.6316e-03	  1.4558e-04	  7.5664e-04	  0.0000e+00	  1.2960e-03	
  7.0000e+00	  6.5647e+00	  4.0348e-05	  1.6673e-05	  1.4344e-05	  3.1727e-04	  8.5846e-04	  2.8161e+03	  2.3286e-01	  5.8487e-01	  8.1345e-01	  9.9533e-01	  3.6848e+00	  1.6429e+01	  1.7545e+00	  3.0638e-02	  8.1578e-01	  5.6742e-02	  5.6742e-02	  6.1443e-01	  2.2868e+01	  2.6390e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.4140e-04	  7.8444e-05	  0.0000e+00	  1.2795e-03	  1.3479e-04	  3.5557e-03	  1.7071e-03	  3.2696e-05	  6.6928e-03	  1.8179e-03	  1.5272e-04	  8.5846e-04	  0.0000e+00	  1.2902e-03	
  8.0000e+00	  6.5638e+00	  4.0331e-05	  1.7310e-05	  1.4347e-05	  3.5304e-04	  9.5874e-04	  3.0828e+03	  2.2128e-01	  5.6296e-01	  7.9978e-01	  9.9453e-01	  3.5512e+00	  1.6498e+01	  1.7530e+00	  2.9428e-02	  8.2839e-01	  5.7507e-02	  5.7507e-02	  6.6110e-01	  2.2822e+01	  3.0425e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.8688e-04	  1.0927e-04	  0.0000e+00	  1.4495e-03	  1.4369e-04	  3.8989e-03	  1.8803e-03	  2.9839e-05	  7.4139e-03	  1.9973e-03	  1.5919e-04	  9.5874e-04	  0.0000e+00	  1.2870e-03	
