        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6874e+00	  8.0744e-05	  8.7867e-06	  1.4320e-05	  6.8332e-05	  2.1289e-04	  7.9003e+02	  4.3417e-01	  8.3221e-01	  9.3724e-01	  9.9949e-01	  4.5910e+00	  1.5962e+01	  1.7659e+00	  2.4565e-01	  5.7404e-01	  5.2496e-02	  5.2496e-02	  1.3771e-01	  2.3346e+01	  7.4546e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.6085e-04	  0.0000e+00	  0.0000e+00	  3.2143e-04	  6.4222e-05	  9.8648e-04	  4.5087e-04	  8.4523e-05	  1.5313e-03	  4.7049e-04	  8.4703e-05	  2.1289e-04	  0.0000e+00	  1.3938e-03	
  2.0000e+00	  6.6267e+00	  8.0694e-05	  1.1237e-05	  1.4325e-05	  1.1877e-04	  3.4077e-04	  1.2281e+03	  3.5740e-01	  7.6216e-01	  9.0690e-01	  9.9890e-01	  4.4741e+00	  1.6022e+01	  1.7648e+00	  1.1205e-01	  6.0847e-01	  5.3036e-02	  5.3036e-02	  2.3833e-01	  2.3245e+01	  1.1122e-01	  1.0002e+00	  1.0000e+00	  1.0000e+00	  5.5086e-04	  0.0000e+00	  0.0000e+00	  4.7621e-04	  8.0939e-05	  1.5290e-03	  7.0885e-04	  6.4319e-05	  2.5802e-03	  7.6316e-04	  1.0386e-04	  3.4077e-04	  0.0000e+00	  1.3572e-03	
  3.0000e+00	  6.5952e+00	  8.0650e-05	  1.2899e-05	  1.4329e-05	  1.6835e-04	  4.6479e-04	  1.6010e+03	  3.1428e-01	  7.1135e-01	  8.8283e-01	  9.9826e-01	  4.3591e+00	  1.6082e+01	  1.7637e+00	  5.9242e-02	  6.2399e-01	  5.3600e-02	  5.3600e-02	  3.0172e-01	  2.3182e+01	  1.2995e-01	  1.0004e+00	  1.0000e+00	  1.0000e+00	  1.0670e-03	  0.0000e+00	  0.0000e+00	  6.3069e-04	  9.4084e-05	  2.0007e-03	  9.3683e-04	  5.3843e-05	  3.5069e-03	  1.0089e-03	  1.1756e-04	  4.6479e-04	  0.0000e+00	  1.3316e-03	
  4.0000e+00	  6.5763e+00	  8.0610e-05	  1.4166e-05	  1.4333e-05	  2.1665e-04	  5.8582e-04	  1.9373e+03	  2.8510e-01	  6.7111e-01	  8.6234e-01	  9.9757e-01	  4.2459e+00	  1.6141e+01	  1.7627e+00	  4.3492e-02	  6.3016e-01	  5.4174e-02	  5.4174e-02	  3.4667e-01	  2.3137e+01	  1.4244e-01	  1.0007e+00	  1.0000e+00	  1.0000e+00	  1.6552e-03	  0.0000e+00	  0.0000e+00	  7.8818e-04	  1.0552e-04	  2.4300e-03	  1.1468e-03	  4.6938e-05	  4.3632e-03	  1.2303e-03	  1.2850e-04	  5.8582e-04	  0.0000e+00	  1.3119e-03	
  5.0000e+00	  6.5640e+00	  8.0573e-05	  1.5187e-05	  1.4337e-05	  2.6360e-04	  7.0454e-04	  2.2489e+03	  2.6345e-01	  6.3772e-01	  8.4427e-01	  9.9684e-01	  4.1343e+00	  1.6200e+01	  1.7616e+00	  3.9050e-02	  6.3328e-01	  5.4751e-02	  5.4751e-02	  3.8581e-01	  2.3097e+01	  1.5312e-01	  1.0009e+00	  1.0000e+00	  1.0000e+00	  2.2959e-03	  0.0000e+00	  0.0000e+00	  9.4919e-04	  1.1594e-04	  2.8298e-03	  1.3442e-03	  4.1870e-05	  5.1714e-03	  1.4362e-03	  1.3772e-04	  7.0454e-04	  0.0000e+00	  1.2957e-03	
  6.0000e+00	  6.5559e+00	  8.0537e-05	  1.6038e-05	  1.4340e-05	  3.0929e-04	  8.2146e-04	  2.5424e+03	  2.4645e-01	  6.0922e-01	  8.2801e-01	  9.9609e-01	  4.0243e+00	  1.6257e+01	  1.7606e+00	  3.7500e-02	  6.3545e-01	  5.5331e-02	  5.5331e-02	  4.2341e-01	  2.3060e+01	  1.6324e-01	  1.0012e+00	  1.0000e+00	  1.0000e+00	  2.9834e-03	  0.0000e+00	  0.0000e+00	  1.1136e-03	  1.2569e-04	  3.2073e-03	  1.5322e-03	  3.7924e-05	  5.9436e-03	  1.6311e-03	  1.4576e-04	  8.2146e-04	  0.0000e+00	  1.2822e-03	
  7.0000e+00	  6.5503e+00	  8.0503e-05	  1.6766e-05	  1.4344e-05	  3.5382e-04	  9.3697e-04	  2.8217e+03	  2.3261e-01	  5.8439e-01	  8.1316e-01	  9.9531e-01	  3.9161e+00	  1.6314e+01	  1.7596e+00	  3.6651e-02	  6.3722e-01	  5.5912e-02	  5.5912e-02	  4.6057e-01	  2.3022e+01	  1.7309e-01	  1.0015e+00	  1.0000e+00	  1.0000e+00	  3.7156e-03	  0.0000e+00	  0.0000e+00	  1.2812e-03	  1.3497e-04	  3.5671e-03	  1.7127e-03	  3.4737e-05	  6.6873e-03	  1.8177e-03	  1.5293e-04	  9.3697e-04	  0.0000e+00	  1.2706e-03	
  8.0000e+00	  6.5466e+00	  8.0470e-05	  1.7401e-05	  1.4347e-05	  3.9729e-04	  1.0513e-03	  3.0894e+03	  2.2101e-01	  5.6245e-01	  7.9945e-01	  9.9451e-01	  3.8096e+00	  1.6370e+01	  1.7585e+00	  3.5974e-02	  6.3875e-01	  5.6493e-02	  5.6493e-02	  4.9754e-01	  2.2985e+01	  1.8276e-01	  1.0018e+00	  1.0000e+00	  1.0000e+00	  4.4913e-03	  0.0000e+00	  0.0000e+00	  1.4515e-03	  1.4390e-04	  3.9121e-03	  1.8869e-03	  3.2099e-05	  7.4076e-03	  1.9975e-03	  1.5941e-04	  1.0513e-03	  0.0000e+00	  1.2604e-03	
