        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6863e+00	  8.0752e-05	  6.6522e-06	  1.4319e-05	  6.7551e-05	  2.0969e-04	  7.7764e+02	  4.3701e-01	  8.3438e-01	  9.3813e-01	  9.9951e-01	  4.5550e+00	  1.5980e+01	  1.7645e+00	  2.6264e-01	  5.6002e-01	  5.2491e-02	  5.2491e-02	  2.0950e-01	  2.3274e+01	  4.1492e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  4.7846e-05	  0.0000e+00	  0.0000e+00	  3.1901e-04	  6.3695e-05	  9.6815e-04	  4.2575e-04	  8.5666e-05	  2.1196e-03	  9.5986e-05	  8.3884e-05	  2.0969e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6235e+00	  8.0704e-05	  8.4933e-06	  1.4324e-05	  1.1561e-04	  3.2956e-04	  1.2324e+03	  3.5680e-01	  7.6152e-01	  9.0661e-01	  9.9890e-01	  4.4045e+00	  1.6059e+01	  1.7625e+00	  1.2957e-01	  5.7184e-01	  5.3006e-02	  5.3006e-02	  3.7664e-01	  2.3107e+01	  6.4793e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.6408e-04	  0.0000e+00	  0.0000e+00	  4.7608e-04	  8.0861e-05	  1.5268e-03	  6.7123e-04	  6.4144e-05	  3.5838e-03	  1.5321e-04	  1.0355e-04	  3.2956e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5915e+00	  8.0660e-05	  9.7413e-06	  1.4328e-05	  1.6189e-04	  4.4395e-04	  1.6271e+03	  3.1175e-01	  7.0806e-01	  8.8120e-01	  9.9821e-01	  4.2578e+00	  1.6136e+01	  1.7608e+00	  7.3620e-02	  5.6874e-01	  5.3524e-02	  5.3524e-02	  4.8836e-01	  2.2995e+01	  7.9072e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.1962e-04	  0.0000e+00	  0.0000e+00	  6.3353e-04	  9.4447e-05	  2.0220e-03	  8.8977e-04	  5.2995e-05	  4.8715e-03	  2.0110e-04	  1.1773e-04	  4.4395e-04	  0.0000e+00	  1.3729e-03	
  4.0000e+00	  6.5728e+00	  8.0620e-05	  1.0687e-05	  1.4332e-05	  2.0636e-04	  5.5467e-04	  1.9867e+03	  2.8137e-01	  6.6557e-01	  8.5942e-01	  9.9746e-01	  4.1145e+00	  1.6211e+01	  1.7591e+00	  5.6168e-02	  5.5917e-01	  5.4034e-02	  5.4034e-02	  5.6969e-01	  2.2914e+01	  9.0012e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.9903e-04	  0.0000e+00	  0.0000e+00	  7.9439e-04	  1.0629e-04	  2.4781e-03	  1.0917e-03	  4.5661e-05	  6.0591e-03	  2.4424e-04	  1.2909e-04	  5.5467e-04	  0.0000e+00	  1.3580e-03	
  5.0000e+00	  6.5613e+00	  8.0582e-05	  1.1442e-05	  1.4336e-05	  2.4904e-04	  6.6264e-04	  2.3226e+03	  2.5891e-01	  6.3032e-01	  8.4013e-01	  9.9666e-01	  3.9746e+00	  1.6284e+01	  1.7575e+00	  5.1375e-02	  5.4729e-01	  5.4533e-02	  5.4533e-02	  6.4018e-01	  2.2843e+01	  9.9929e-02	  1.0003e+00	  1.0000e+00	  1.0000e+00	  6.9608e-04	  0.0000e+00	  0.0000e+00	  9.5910e-04	  1.1709e-04	  2.9063e-03	  1.2820e-03	  4.0282e-05	  7.1791e-03	  2.8442e-04	  1.3868e-04	  6.6264e-04	  0.0000e+00	  1.3460e-03	
  6.0000e+00	  6.5542e+00	  8.0546e-05	  1.2063e-05	  1.4339e-05	  2.9004e-04	  7.6840e-04	  2.6405e+03	  2.4136e-01	  6.0026e-01	  8.2273e-01	  9.9582e-01	  3.8380e+00	  1.6356e+01	  1.7559e+00	  5.0094e-02	  5.3455e-01	  5.5020e-02	  5.5020e-02	  7.0696e-01	  2.2776e+01	  1.0951e-01	  1.0004e+00	  1.0000e+00	  1.0000e+00	  9.0809e-04	  0.0000e+00	  0.0000e+00	  1.1275e-03	  1.2720e-04	  3.3131e-03	  1.4633e-03	  3.6091e-05	  8.2490e-03	  3.2249e-04	  1.4705e-04	  7.6840e-04	  0.0000e+00	  1.3361e-03	
  7.0000e+00	  6.5500e+00	  8.0511e-05	  1.2587e-05	  1.4342e-05	  3.2945e-04	  8.7230e-04	  2.9444e+03	  2.2711e-01	  5.7412e-01	  8.0681e-01	  9.9495e-01	  3.7047e+00	  1.6426e+01	  1.7543e+00	  4.9762e-02	  5.2141e-01	  5.5492e-02	  5.5492e-02	  7.7195e-01	  2.2711e+01	  1.1894e-01	  1.0005e+00	  1.0000e+00	  1.0000e+00	  1.1334e-03	  0.0000e+00	  0.0000e+00	  1.2992e-03	  1.3682e-04	  3.7028e-03	  1.6375e-03	  3.2702e-05	  9.2794e-03	  3.5898e-04	  1.5451e-04	  8.7230e-04	  0.0000e+00	  1.3277e-03	
  8.0000e+00	  6.5479e+00	  8.0477e-05	  1.3035e-05	  1.4346e-05	  3.6735e-04	  9.7456e-04	  3.2367e+03	  2.1522e-01	  5.5106e-01	  7.9212e-01	  9.9405e-01	  3.5748e+00	  1.6494e+01	  1.7527e+00	  4.9693e-02	  5.0810e-01	  5.5951e-02	  5.5951e-02	  8.3561e-01	  2.2647e+01	  1.2825e-01	  1.0006e+00	  1.0000e+00	  1.0000e+00	  1.3708e-03	  0.0000e+00	  0.0000e+00	  1.4739e-03	  1.4607e-04	  4.0780e-03	  1.8057e-03	  2.9891e-05	  1.0277e-02	  3.9420e-04	  1.6126e-04	  9.7456e-04	  0.0000e+00	  1.3204e-03	
