        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7868e-06	  1.4320e-05	  6.6804e-05	  2.0835e-04	  7.8963e+02	  4.3426e-01	  8.3228e-01	  9.3726e-01	  9.9949e-01	  4.5527e+00	  1.5980e+01	  1.7686e+00	  2.6855e-01	  6.1140e-01	  5.2515e-02	  5.2515e-02	  1.8887e-01	  2.3295e+01	  5.4618e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.0316e-06	  0.0000e+00	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8574e-04	  4.5053e-04	  8.4353e-05	  1.5316e-03	  4.7065e-04	  8.4674e-05	  2.0835e-04	  0.0000e+00	  1.3939e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1222e-05	  1.4325e-05	  1.1350e-04	  3.2671e-04	  1.2269e+03	  3.5755e-01	  7.6233e-01	  9.0697e-01	  9.9890e-01	  4.3995e+00	  1.6059e+01	  1.7695e+00	  1.1522e-01	  6.7174e-01	  5.3107e-02	  5.3107e-02	  3.4816e-01	  2.3135e+01	  1.0263e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.6332e-05	  0.0000e+00	  0.0000e+00	  4.7590e-04	  8.0886e-05	  1.5268e-03	  7.0783e-04	  6.3813e-05	  2.5813e-03	  7.6366e-04	  1.0380e-04	  3.2671e-04	  0.0000e+00	  1.3575e-03	
  3.0000e+00	  6.5993e+00	  8.0651e-05	  1.2854e-05	  1.4329e-05	  1.5812e-04	  4.3925e-04	  1.5991e+03	  3.1447e-01	  7.1160e-01	  8.8295e-01	  9.9826e-01	  4.2499e+00	  1.6136e+01	  1.7699e+00	  5.3740e-02	  6.9820e-01	  5.3741e-02	  5.3741e-02	  4.4767e-01	  2.3036e+01	  1.5230e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.9608e-05	  0.0000e+00	  0.0000e+00	  6.3016e-04	  9.4004e-05	  1.9969e-03	  9.3503e-04	  5.2986e-05	  3.5089e-03	  1.0097e-03	  1.1747e-04	  4.3925e-04	  0.0000e+00	  1.3324e-03	
  4.0000e+00	  6.5825e+00	  8.0611e-05	  1.4079e-05	  1.4333e-05	  2.0079e-04	  5.4804e-04	  1.9346e+03	  2.8531e-01	  6.7141e-01	  8.6250e-01	  9.9757e-01	  4.1035e+00	  1.6211e+01	  1.7701e+00	  3.9109e-02	  7.0834e-01	  5.4391e-02	  5.4391e-02	  5.1508e-01	  2.2968e+01	  2.0237e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0697e-04	  0.0000e+00	  0.0000e+00	  7.8741e-04	  1.0541e-04	  2.4245e-03	  1.1442e-03	  4.5762e-05	  4.3660e-03	  1.2314e-03	  1.2838e-04	  5.4804e-04	  0.0000e+00	  1.3133e-03	
  5.0000e+00	  6.5726e+00	  8.0573e-05	  1.5051e-05	  1.4337e-05	  2.4161e-04	  6.5408e-04	  2.2455e+03	  2.6367e-01	  6.3808e-01	  8.4447e-01	  9.9685e-01	  3.9604e+00	  1.6285e+01	  1.7703e+00	  3.5695e-02	  7.1362e-01	  5.5047e-02	  5.5047e-02	  5.7463e-01	  2.2909e+01	  2.5235e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.6826e-04	  0.0000e+00	  0.0000e+00	  9.4816e-04	  1.1581e-04	  2.8226e-03	  1.3408e-03	  4.0410e-05	  5.1750e-03	  1.4376e-03	  1.3758e-04	  6.5408e-04	  0.0000e+00	  1.2980e-03	
  6.0000e+00	  6.5669e+00	  8.0538e-05	  1.5846e-05	  1.4340e-05	  2.8071e-04	  7.5794e-04	  2.5381e+03	  2.4668e-01	  6.0962e-01	  8.2824e-01	  9.9610e-01	  3.8204e+00	  1.6357e+01	  1.7704e+00	  3.4307e-02	  7.1694e-01	  5.5707e-02	  5.5707e-02	  6.3264e-01	  2.2850e+01	  3.0209e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.4335e-04	  0.0000e+00	  0.0000e+00	  1.1123e-03	  1.2554e-04	  3.1985e-03	  1.5280e-03	  3.6212e-05	  5.9479e-03	  1.6328e-03	  1.4560e-04	  7.5794e-04	  0.0000e+00	  1.2854e-03	
  7.0000e+00	  6.5639e+00	  8.0504e-05	  1.6511e-05	  1.4344e-05	  3.1819e-04	  8.5996e-04	  2.8166e+03	  2.3284e-01	  5.8483e-01	  8.1342e-01	  9.9533e-01	  3.6837e+00	  1.6428e+01	  1.7706e+00	  3.3308e-02	  7.1892e-01	  5.6369e-02	  5.6369e-02	  6.9015e-01	  2.2793e+01	  3.5151e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.3212e-04	  0.0000e+00	  0.0000e+00	  1.2796e-03	  1.3480e-04	  3.5566e-03	  1.7076e-03	  3.2801e-05	  6.6924e-03	  1.8196e-03	  1.5274e-04	  8.5996e-04	  0.0000e+00	  1.2747e-03	
  8.0000e+00	  6.5628e+00	  8.0471e-05	  1.7079e-05	  1.4347e-05	  3.5418e-04	  9.6038e-04	  3.0835e+03	  2.2125e-01	  5.6291e-01	  7.9975e-01	  9.9453e-01	  3.5501e+00	  1.6497e+01	  1.7707e+00	  3.2424e-02	  7.1981e-01	  5.7032e-02	  5.7032e-02	  7.4720e-01	  2.2735e+01	  4.0054e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.3437e-04	  0.0000e+00	  0.0000e+00	  1.4496e-03	  1.4371e-04	  3.9000e-03	  1.8810e-03	  2.9963e-05	  7.4133e-03	  1.9997e-03	  1.5921e-04	  9.6038e-04	  0.0000e+00	  1.2656e-03	
