        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6861e+00	  8.0752e-05	  6.6510e-06	  1.4319e-05	  6.8074e-05	  2.1123e-04	  7.7779e+02	  4.3698e-01	  8.3436e-01	  9.3812e-01	  9.9951e-01	  4.5527e+00	  1.5980e+01	  1.7645e+00	  2.3788e-01	  6.1048e-01	  5.2515e-02	  5.2515e-02	  1.5507e-01	  2.3329e+01	  7.4009e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0028e-04	  0.0000e+00	  0.0000e+00	  3.1905e-04	  6.3703e-05	  9.6842e-04	  4.2587e-04	  8.5723e-05	  2.1194e-03	  9.5974e-05	  8.3894e-05	  2.1123e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6228e+00	  8.0704e-05	  8.4948e-06	  1.4324e-05	  1.1750e-04	  3.3457e-04	  1.2329e+03	  3.5674e-01	  7.6146e-01	  9.0658e-01	  9.9890e-01	  4.3995e+00	  1.6059e+01	  1.7626e+00	  1.0226e-01	  6.7116e-01	  5.3106e-02	  5.3106e-02	  2.6897e-01	  2.3215e+01	  1.0912e-01	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.5114e-04	  0.0000e+00	  0.0000e+00	  4.7619e-04	  8.0880e-05	  1.5276e-03	  6.7160e-04	  6.4321e-05	  3.5832e-03	  1.5318e-04	  1.0357e-04	  3.3457e-04	  0.0000e+00	  1.3921e-03	
  3.0000e+00	  6.5901e+00	  8.0660e-05	  9.7501e-06	  1.4328e-05	  1.6566e-04	  4.5328e-04	  1.6278e+03	  3.1168e-01	  7.0797e-01	  8.8116e-01	  9.9820e-01	  4.2499e+00	  1.6136e+01	  1.7609e+00	  5.5419e-02	  7.0164e-01	  5.3740e-02	  5.3740e-02	  3.3959e-01	  2.3144e+01	  1.2700e-01	  1.0003e+00	  1.0000e+00	  1.0000e+00	  6.8900e-04	  0.0000e+00	  0.0000e+00	  6.3373e-04	  9.4478e-05	  2.0235e-03	  8.9044e-04	  5.3302e-05	  4.8704e-03	  2.0103e-04	  1.1777e-04	  4.5328e-04	  0.0000e+00	  1.3727e-03	
  4.0000e+00	  6.5705e+00	  8.0620e-05	  1.0707e-05	  1.4332e-05	  2.1234e-04	  5.6880e-04	  1.9878e+03	  2.8129e-01	  6.6545e-01	  8.5935e-01	  9.9745e-01	  4.1036e+00	  1.6211e+01	  1.7593e+00	  4.3460e-02	  7.1914e-01	  5.4397e-02	  5.4397e-02	  3.9183e-01	  2.3091e+01	  1.3979e-01	  1.0004e+00	  1.0000e+00	  1.0000e+00	  1.0806e-03	  0.0000e+00	  0.0000e+00	  7.9469e-04	  1.0633e-04	  2.4802e-03	  1.0927e-03	  4.6092e-05	  6.0576e-03	  2.4416e-04	  1.2914e-04	  5.6880e-04	  0.0000e+00	  1.3577e-03	
  5.0000e+00	  6.5581e+00	  8.0582e-05	  1.1476e-05	  1.4336e-05	  2.5755e-04	  6.8198e-04	  2.3240e+03	  2.5883e-01	  6.3018e-01	  8.4005e-01	  9.9666e-01	  3.9606e+00	  1.6285e+01	  1.7578e+00	  3.9890e-02	  7.3290e-01	  5.5069e-02	  5.5069e-02	  4.3924e-01	  2.3044e+01	  1.5126e-01	  1.0006e+00	  1.0000e+00	  1.0000e+00	  1.5158e-03	  0.0000e+00	  0.0000e+00	  9.5950e-04	  1.1714e-04	  2.9091e-03	  1.2833e-03	  4.0829e-05	  7.1772e-03	  2.8431e-04	  1.3874e-04	  6.8198e-04	  0.0000e+00	  1.3455e-03	
  6.0000e+00	  6.5499e+00	  8.0546e-05	  1.2116e-05	  1.4339e-05	  3.0140e-04	  7.9341e-04	  2.6423e+03	  2.4127e-01	  6.0010e-01	  8.2263e-01	  9.9582e-01	  3.8208e+00	  1.6357e+01	  1.7562e+00	  3.8032e-02	  7.4531e-01	  5.5753e-02	  5.5753e-02	  4.8533e-01	  2.2998e+01	  1.6226e-01	  1.0008e+00	  1.0000e+00	  1.0000e+00	  1.9922e-03	  0.0000e+00	  0.0000e+00	  1.1280e-03	  1.2726e-04	  3.3167e-03	  1.4650e-03	  3.6749e-05	  8.2467e-03	  3.2236e-04	  1.4712e-04	  7.9341e-04	  0.0000e+00	  1.3352e-03	
  7.0000e+00	  6.5446e+00	  8.0511e-05	  1.2659e-05	  1.4342e-05	  3.4399e-04	  9.0345e-04	  2.9466e+03	  2.2701e-01	  5.7394e-01	  8.0670e-01	  9.9494e-01	  3.6842e+00	  1.6428e+01	  1.7546e+00	  3.6558e-02	  7.5685e-01	  5.6448e-02	  5.6448e-02	  5.3078e-01	  2.2952e+01	  1.7296e-01	  1.0010e+00	  1.0000e+00	  1.0000e+00	  2.5092e-03	  0.0000e+00	  0.0000e+00	  1.2999e-03	  1.3689e-04	  3.7072e-03	  1.6396e-03	  3.3465e-05	  9.2767e-03	  3.5883e-04	  1.5459e-04	  9.0345e-04	  0.0000e+00	  1.3265e-03	
  8.0000e+00	  6.5412e+00	  8.0477e-05	  1.3131e-05	  1.4346e-05	  3.8543e-04	  1.0123e-03	  3.2393e+03	  2.1512e-01	  5.5087e-01	  7.9200e-01	  9.9404e-01	  3.5508e+00	  1.6497e+01	  1.7531e+00	  3.5219e-02	  7.6763e-01	  5.7153e-02	  5.7153e-02	  5.7571e-01	  2.2907e+01	  1.8339e-01	  1.0013e+00	  1.0000e+00	  1.0000e+00	  3.0661e-03	  0.0000e+00	  0.0000e+00	  1.4747e-03	  1.4615e-04	  4.0833e-03	  1.8083e-03	  3.0755e-05	  1.0274e-02	  3.9403e-04	  1.6135e-04	  1.0123e-03	  0.0000e+00	  1.3189e-03	
