        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6863e+00	  8.0752e-05	  6.6523e-06	  1.4319e-05	  6.7530e-05	  2.0962e-04	  7.7764e+02	  4.3701e-01	  8.3439e-01	  9.3813e-01	  9.9951e-01	  4.6281e+00	  1.5942e+01	  1.7659e+00	  2.3033e-01	  5.6407e-01	  5.2493e-02	  5.2493e-02	  2.0520e-01	  2.3279e+01	  3.8620e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  4.5776e-05	  0.0000e+00	  0.0000e+00	  3.1901e-04	  6.3695e-05	  9.6814e-04	  4.2575e-04	  8.5664e-05	  2.1196e-03	  9.5987e-05	  8.3883e-05	  2.0962e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6236e+00	  8.0704e-05	  8.4932e-06	  1.4324e-05	  1.1548e-04	  3.2921e-04	  1.2324e+03	  3.5680e-01	  7.6153e-01	  9.0661e-01	  9.9890e-01	  4.5697e+00	  1.5973e+01	  1.7648e+00	  8.1906e-02	  5.7821e-01	  5.3013e-02	  5.3013e-02	  3.4764e-01	  2.3136e+01	  5.6008e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.5092e-04	  0.0000e+00	  0.0000e+00	  4.7607e-04	  8.0859e-05	  1.5267e-03	  6.7120e-04	  6.4132e-05	  3.5838e-03	  1.5322e-04	  1.0355e-04	  3.2921e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5917e+00	  8.0660e-05	  9.7404e-06	  1.4328e-05	  1.6152e-04	  4.4301e-04	  1.6270e+03	  3.1175e-01	  7.0807e-01	  8.8121e-01	  9.9821e-01	  4.5212e+00	  1.5999e+01	  1.7638e+00	  3.0134e-02	  5.7582e-01	  5.3538e-02	  5.3538e-02	  4.1476e-01	  2.3069e+01	  6.3812e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.8234e-04	  0.0000e+00	  0.0000e+00	  6.3351e-04	  9.4444e-05	  2.0219e-03	  8.8970e-04	  5.2964e-05	  4.8716e-03	  2.0110e-04	  1.1773e-04	  4.4301e-04	  0.0000e+00	  1.3729e-03	
  4.0000e+00	  6.5731e+00	  8.0620e-05	  1.0684e-05	  1.4332e-05	  2.0560e-04	  5.5288e-04	  1.9866e+03	  2.8138e-01	  6.6559e-01	  8.5942e-01	  9.9746e-01	  4.4786e+00	  1.6022e+01	  1.7627e+00	  1.7592e-02	  5.6770e-01	  5.4056e-02	  5.4056e-02	  4.4843e-01	  2.3035e+01	  6.8767e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.2533e-04	  0.0000e+00	  0.0000e+00	  7.9436e-04	  1.0628e-04	  2.4778e-03	  1.0916e-03	  4.5606e-05	  6.0593e-03	  2.4425e-04	  1.2908e-04	  5.5288e-04	  0.0000e+00	  1.3581e-03	
  5.0000e+00	  6.5618e+00	  8.0582e-05	  1.1437e-05	  1.4336e-05	  2.4780e-04	  6.5979e-04	  2.3223e+03	  2.5893e-01	  6.3034e-01	  8.4014e-01	  9.9666e-01	  4.4401e+00	  1.6043e+01	  1.7617e+00	  1.4463e-02	  5.5821e-01	  5.4565e-02	  5.4565e-02	  4.7289e-01	  2.3010e+01	  7.3004e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  5.7552e-04	  0.0000e+00	  0.0000e+00	  9.5904e-04	  1.1708e-04	  2.9058e-03	  1.2818e-03	  4.0201e-05	  7.1794e-03	  2.8443e-04	  1.3868e-04	  6.5979e-04	  0.0000e+00	  1.3461e-03	
  6.0000e+00	  6.5549e+00	  8.0546e-05	  1.2055e-05	  1.4339e-05	  2.8820e-04	  7.6432e-04	  2.6402e+03	  2.4137e-01	  6.0029e-01	  8.2274e-01	  9.9582e-01	  4.4047e+00	  1.6062e+01	  1.7606e+00	  1.3345e-02	  5.4838e-01	  5.5063e-02	  5.5063e-02	  4.9454e-01	  2.2988e+01	  7.6998e-02	  1.0003e+00	  1.0000e+00	  1.0000e+00	  7.3154e-04	  0.0000e+00	  0.0000e+00	  1.1274e-03	  1.2719e-04	  3.3125e-03	  1.4630e-03	  3.5985e-05	  8.2494e-03	  3.2251e-04	  1.4704e-04	  7.6432e-04	  0.0000e+00	  1.3362e-03	
  7.0000e+00	  6.5510e+00	  8.0511e-05	  1.2574e-05	  1.4342e-05	  3.2692e-04	  8.6684e-04	  2.9440e+03	  2.2712e-01	  5.7415e-01	  8.0683e-01	  9.9495e-01	  4.3717e+00	  1.6080e+01	  1.7596e+00	  1.2737e-02	  5.3847e-01	  5.5552e-02	  5.5552e-02	  5.1487e-01	  2.2968e+01	  8.0856e-02	  1.0004e+00	  1.0000e+00	  1.0000e+00	  8.9267e-04	  0.0000e+00	  0.0000e+00	  1.2991e-03	  1.3681e-04	  3.7020e-03	  1.6371e-03	  3.2570e-05	  9.2799e-03	  3.5901e-04	  1.5450e-04	  8.6684e-04	  0.0000e+00	  1.3279e-03	
  8.0000e+00	  6.5491e+00	  8.0478e-05	  1.3017e-05	  1.4346e-05	  3.6405e-04	  9.6758e-04	  3.2362e+03	  2.1523e-01	  5.5110e-01	  7.9215e-01	  9.9405e-01	  4.3406e+00	  1.6097e+01	  1.7586e+00	  1.2317e-02	  5.2857e-01	  5.6029e-02	  5.6029e-02	  5.3429e-01	  2.2948e+01	  8.4609e-02	  1.0004e+00	  1.0000e+00	  1.0000e+00	  1.0584e-03	  0.0000e+00	  0.0000e+00	  1.4738e-03	  1.4606e-04	  4.0771e-03	  1.8053e-03	  2.9733e-05	  1.0278e-02	  3.9423e-04	  1.6125e-04	  9.6758e-04	  0.0000e+00	  1.3207e-03	
