        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6859e+00	  8.0752e-05	  6.6513e-06	  1.4319e-05	  6.8553e-05	  2.1266e-04	  7.7790e+02	  4.3695e-01	  8.3434e-01	  9.3811e-01	  9.9951e-01	  4.6487e+00	  1.5933e+01	  1.7659e+00	  2.2780e-01	  5.4245e-01	  5.2481e-02	  5.2481e-02	  1.8538e-01	  2.3298e+01	  7.2560e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.4654e-04	  1.1249e-06	  0.0000e+00	  3.1909e-04	  6.3710e-05	  9.6864e-04	  4.2597e-04	  8.5774e-05	  2.1192e-03	  9.5916e-05	  8.3903e-05	  2.1266e-04	  0.0000e+00	  1.4201e-03	
  2.0000e+00	  6.6223e+00	  8.0703e-05	  8.5062e-06	  1.4324e-05	  1.1879e-04	  3.3799e-04	  1.2331e+03	  3.5671e-01	  7.6143e-01	  9.0656e-01	  9.9889e-01	  4.6052e+00	  1.5957e+01	  1.7648e+00	  8.8005e-02	  5.4632e-01	  5.2974e-02	  5.2974e-02	  3.0871e-01	  2.3175e+01	  1.0470e-01	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.6739e-04	  7.2747e-06	  0.0000e+00	  4.7625e-04	  8.0891e-05	  1.5280e-03	  6.7180e-04	  6.4432e-05	  3.5829e-03	  1.5290e-04	  1.0359e-04	  3.3799e-04	  0.0000e+00	  1.3936e-03	
  3.0000e+00	  6.5894e+00	  8.0660e-05	  9.7844e-06	  1.4328e-05	  1.6764e-04	  4.5825e-04	  1.6280e+03	  3.1165e-01	  7.0794e-01	  8.8114e-01	  9.9820e-01	  4.5690e+00	  1.5977e+01	  1.7638e+00	  3.4657e-02	  5.4086e-01	  5.3465e-02	  5.3465e-02	  3.7033e-01	  2.3113e+01	  1.1829e-01	  1.0004e+00	  1.0000e+00	  1.0000e+00	  8.5507e-04	  1.9109e-05	  0.0000e+00	  6.3380e-04	  9.4489e-05	  2.0240e-03	  8.9066e-04	  5.3441e-05	  4.8701e-03	  2.0042e-04	  1.1778e-04	  4.5825e-04	  0.0000e+00	  1.3765e-03	
  4.0000e+00	  6.5698e+00	  8.0620e-05	  1.0774e-05	  1.4332e-05	  2.1476e-04	  5.7467e-04	  1.9880e+03	  2.8128e-01	  6.6543e-01	  8.5934e-01	  9.9745e-01	  4.5372e+00	  1.5995e+01	  1.7627e+00	  1.8884e-02	  5.3196e-01	  5.3948e-02	  5.3948e-02	  4.0222e-01	  2.3081e+01	  1.2557e-01	  1.0005e+00	  1.0000e+00	  1.0000e+00	  1.2651e-03	  3.5861e-05	  0.0000e+00	  7.9476e-04	  1.0634e-04	  2.4807e-03	  1.0929e-03	  4.6230e-05	  6.0573e-03	  2.4313e-04	  1.2915e-04	  5.7467e-04	  0.0000e+00	  1.3648e-03	
  5.0000e+00	  6.5574e+00	  8.0582e-05	  1.1585e-05	  1.4336e-05	  2.6012e-04	  6.8809e-04	  2.3240e+03	  2.5882e-01	  6.3017e-01	  8.4005e-01	  9.9666e-01	  4.5086e+00	  1.6011e+01	  1.7617e+00	  1.4349e-02	  5.2217e-01	  5.4421e-02	  5.4421e-02	  4.2431e-01	  2.3059e+01	  1.3100e-01	  1.0007e+00	  1.0000e+00	  1.0000e+00	  1.6838e-03	  5.6927e-05	  0.0000e+00	  9.5955e-04	  1.1714e-04	  2.9095e-03	  1.2834e-03	  4.0943e-05	  7.1770e-03	  2.8279e-04	  1.3875e-04	  6.8809e-04	  0.0000e+00	  1.3568e-03	
  6.0000e+00	  6.5495e+00	  8.0546e-05	  1.2273e-05	  1.4339e-05	  3.0375e-04	  7.9907e-04	  2.6422e+03	  2.4127e-01	  6.0011e-01	  8.2264e-01	  9.9582e-01	  4.4822e+00	  1.6026e+01	  1.7606e+00	  1.2801e-02	  5.1221e-01	  5.4883e-02	  5.4883e-02	  4.4322e-01	  2.3040e+01	  1.3582e-01	  1.0009e+00	  1.0000e+00	  1.0000e+00	  2.1070e-03	  8.1942e-05	  0.0000e+00	  1.1280e-03	  1.2726e-04	  3.3168e-03	  1.4649e-03	  3.6821e-05	  8.2466e-03	  3.2031e-04	  1.4712e-04	  7.9907e-04	  0.0000e+00	  1.3515e-03	
  7.0000e+00	  6.5445e+00	  8.0511e-05	  1.2872e-05	  1.4342e-05	  3.4577e-04	  9.0799e-04	  2.9463e+03	  2.2703e-01	  5.7397e-01	  8.0672e-01	  9.9494e-01	  4.4576e+00	  1.6040e+01	  1.7596e+00	  1.2090e-02	  5.0228e-01	  5.5335e-02	  5.5335e-02	  4.6082e-01	  2.3022e+01	  1.4038e-01	  1.0010e+00	  1.0000e+00	  1.0000e+00	  2.5332e-03	  1.1064e-04	  0.0000e+00	  1.2998e-03	  1.3689e-04	  3.7069e-03	  1.6393e-03	  3.3481e-05	  9.2769e-03	  3.5618e-04	  1.5458e-04	  9.0799e-04	  0.0000e+00	  1.3485e-03	
  8.0000e+00	  6.5416e+00	  8.0477e-05	  1.3406e-05	  1.4346e-05	  3.8626e-04	  1.0151e-03	  3.2387e+03	  2.1514e-01	  5.5091e-01	  7.9202e-01	  9.9404e-01	  4.4345e+00	  1.6054e+01	  1.7586e+00	  1.1660e-02	  4.9246e-01	  5.5777e-02	  5.5777e-02	  4.7765e-01	  2.3005e+01	  1.4477e-01	  1.0012e+00	  1.0000e+00	  1.0000e+00	  2.9616e-03	  1.4282e-04	  0.0000e+00	  1.4746e-03	  1.4614e-04	  4.0826e-03	  1.8077e-03	  3.0705e-05	  1.0275e-02	  3.9073e-04	  1.6134e-04	  1.0151e-03	  0.0000e+00	  1.3472e-03	
