        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6863e+00	  8.0752e-05	  6.6522e-06	  1.4319e-05	  6.7566e-05	  2.0973e-04	  7.7765e+02	  4.3701e-01	  8.3438e-01	  9.3813e-01	  9.9951e-01	  4.6310e+00	  1.5942e+01	  1.7645e+00	  2.2320e-01	  6.1005e-01	  5.2515e-02	  5.2515e-02	  1.6213e-01	  2.3322e+01	  3.9830e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  4.9399e-05	  0.0000e+00	  0.0000e+00	  3.1901e-04	  6.3695e-05	  9.6816e-04	  4.2576e-04	  8.5668e-05	  2.1196e-03	  9.5986e-05	  8.3884e-05	  2.0973e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6235e+00	  8.0704e-05	  8.4934e-06	  1.4324e-05	  1.1568e-04	  3.2975e-04	  1.2325e+03	  3.5680e-01	  7.6152e-01	  9.0661e-01	  9.9890e-01	  4.5770e+00	  1.5973e+01	  1.7627e+00	  6.8850e-02	  6.5881e-01	  5.3101e-02	  5.3101e-02	  2.6880e-01	  2.3215e+01	  5.8327e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.7105e-04	  0.0000e+00	  0.0000e+00	  4.7608e-04	  8.0861e-05	  1.5268e-03	  6.7124e-04	  6.4151e-05	  3.5838e-03	  1.5321e-04	  1.0355e-04	  3.2975e-04	  0.0000e+00	  1.3921e-03	
  3.0000e+00	  6.5915e+00	  8.0660e-05	  9.7415e-06	  1.4328e-05	  1.6200e-04	  4.4420e-04	  1.6271e+03	  3.1175e-01	  7.0806e-01	  8.8120e-01	  9.9821e-01	  4.5335e+00	  1.5999e+01	  1.7611e+00	  2.3115e-02	  6.6426e-01	  5.3711e-02	  5.3711e-02	  3.1320e-01	  2.3170e+01	  6.7724e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.2961e-04	  0.0000e+00	  0.0000e+00	  6.3353e-04	  9.4448e-05	  2.0221e-03	  8.8979e-04	  5.3003e-05	  4.8715e-03	  2.0109e-04	  1.1773e-04	  4.4420e-04	  0.0000e+00	  1.3728e-03	
  4.0000e+00	  6.5728e+00	  8.0620e-05	  1.0687e-05	  1.4332e-05	  2.0644e-04	  5.5486e-04	  1.9868e+03	  2.8137e-01	  6.6557e-01	  8.5941e-01	  9.9746e-01	  4.4961e+00	  1.6022e+01	  1.7596e+00	  1.4507e-02	  6.5424e-01	  5.4317e-02	  5.4317e-02	  3.3502e-01	  2.3148e+01	  7.4934e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  5.0683e-04	  0.0000e+00	  0.0000e+00	  7.9440e-04	  1.0629e-04	  2.4781e-03	  1.0917e-03	  4.5667e-05	  6.0591e-03	  2.4424e-04	  1.2909e-04	  5.5486e-04	  0.0000e+00	  1.3580e-03	
  5.0000e+00	  6.5613e+00	  8.0582e-05	  1.1442e-05	  1.4336e-05	  2.4906e-04	  6.6267e-04	  2.3226e+03	  2.5891e-01	  6.3032e-01	  8.4013e-01	  9.9666e-01	  4.4627e+00	  1.6043e+01	  1.7581e+00	  1.2650e-02	  6.4097e-01	  5.4910e-02	  5.4910e-02	  3.5192e-01	  2.3131e+01	  8.1687e-02	  1.0003e+00	  1.0000e+00	  1.0000e+00	  6.9747e-04	  0.0000e+00	  0.0000e+00	  9.5910e-04	  1.1709e-04	  2.9063e-03	  1.2820e-03	  4.0283e-05	  7.1791e-03	  2.8442e-04	  1.3868e-04	  6.6267e-04	  0.0000e+00	  1.3460e-03	
  6.0000e+00	  6.5542e+00	  8.0546e-05	  1.2063e-05	  1.4339e-05	  2.8995e-04	  7.6821e-04	  2.6405e+03	  2.4136e-01	  6.0026e-01	  8.2273e-01	  9.9582e-01	  4.4324e+00	  1.6063e+01	  1.7566e+00	  1.1962e-02	  6.2692e-01	  5.5489e-02	  5.5489e-02	  3.6735e-01	  2.3116e+01	  8.8260e-02	  1.0004e+00	  1.0000e+00	  1.0000e+00	  8.9968e-04	  0.0000e+00	  0.0000e+00	  1.1275e-03	  1.2720e-04	  3.3131e-03	  1.4633e-03	  3.6086e-05	  8.2490e-03	  3.2249e-04	  1.4705e-04	  7.6821e-04	  0.0000e+00	  1.3361e-03	
  7.0000e+00	  6.5501e+00	  8.0511e-05	  1.2586e-05	  1.4342e-05	  3.2922e-04	  8.7182e-04	  2.9444e+03	  2.2711e-01	  5.7412e-01	  8.0681e-01	  9.9495e-01	  4.4043e+00	  1.6081e+01	  1.7551e+00	  1.1566e-02	  6.1264e-01	  5.6053e-02	  5.6053e-02	  3.8199e-01	  2.3101e+01	  9.4695e-02	  1.0005e+00	  1.0000e+00	  1.0000e+00	  1.1123e-03	  0.0000e+00	  0.0000e+00	  1.2992e-03	  1.3682e-04	  3.7027e-03	  1.6374e-03	  3.2691e-05	  9.2795e-03	  3.5898e-04	  1.5451e-04	  8.7182e-04	  0.0000e+00	  1.3277e-03	
  8.0000e+00	  6.5480e+00	  8.0477e-05	  1.3033e-05	  1.4346e-05	  3.6697e-04	  9.7374e-04	  3.2366e+03	  2.1522e-01	  5.5107e-01	  7.9213e-01	  9.9405e-01	  4.3781e+00	  1.6098e+01	  1.7536e+00	  1.1297e-02	  5.9830e-01	  5.6602e-02	  5.6602e-02	  3.9604e-01	  2.3087e+01	  1.0100e-01	  1.0005e+00	  1.0000e+00	  1.0000e+00	  1.3341e-03	  0.0000e+00	  0.0000e+00	  1.4739e-03	  1.4607e-04	  4.0779e-03	  1.8057e-03	  2.9872e-05	  1.0278e-02	  3.9420e-04	  1.6126e-04	  9.7374e-04	  0.0000e+00	  1.3205e-03	
