        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6531e-06	  1.4319e-05	  6.7143e-05	  2.0848e-04	  7.7753e+02	  4.3704e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.5706e+00	  1.5971e+01	  1.7686e+00	  2.5855e-01	  6.2492e-01	  5.2521e-02	  5.2521e-02	  1.7634e-01	  2.3307e+01	  5.3120e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.9739e-06	  0.0000e+00	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6795e-04	  4.2566e-04	  8.5622e-05	  2.1197e-03	  9.5996e-05	  8.3876e-05	  2.0848e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6241e+00	  8.0704e-05	  8.4923e-06	  1.4324e-05	  1.1422e-04	  3.2588e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.4493e+00	  1.6034e+01	  1.7694e+00	  9.5443e-02	  7.0131e-01	  5.3135e-02	  5.3135e-02	  3.1307e-01	  2.3171e+01	  9.9071e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.6323e-05	  0.0000e+00	  0.0000e+00	  4.7599e-04	  8.0846e-05	  1.5262e-03	  6.7096e-04	  6.4014e-05	  3.5842e-03	  1.5324e-04	  1.0353e-04	  3.2588e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5926e+00	  8.0660e-05	  9.7351e-06	  1.4328e-05	  1.5925e-04	  4.3738e-04	  1.6265e+03	  3.1180e-01	  7.0813e-01	  8.8123e-01	  9.9821e-01	  4.3399e+00	  1.6091e+01	  1.7697e+00	  3.6765e-02	  7.3275e-01	  5.3802e-02	  5.3802e-02	  3.8420e-01	  2.3099e+01	  1.4640e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.9912e-05	  0.0000e+00	  0.0000e+00	  6.3339e-04	  9.4426e-05	  2.0210e-03	  8.8929e-04	  5.2780e-05	  4.8722e-03	  2.0114e-04	  1.1771e-04	  4.3738e-04	  0.0000e+00	  1.3730e-03	
  4.0000e+00	  6.5744e+00	  8.0620e-05	  1.0674e-05	  1.4332e-05	  2.0234e-04	  5.4515e-04	  1.9860e+03	  2.8142e-01	  6.6565e-01	  8.5946e-01	  9.9746e-01	  4.2393e+00	  1.6144e+01	  1.7698e+00	  2.4866e-02	  7.4341e-01	  5.4486e-02	  5.4486e-02	  4.2489e-01	  2.3058e+01	  1.9367e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0759e-04	  0.0000e+00	  0.0000e+00	  7.9419e-04	  1.0626e-04	  2.4766e-03	  1.0910e-03	  4.5372e-05	  6.0601e-03	  2.4430e-04	  1.2906e-04	  5.4515e-04	  0.0000e+00	  1.3582e-03	
  5.0000e+00	  6.5634e+00	  8.0583e-05	  1.1420e-05	  1.4336e-05	  2.4360e-04	  6.5018e-04	  2.3216e+03	  2.5897e-01	  6.3041e-01	  8.4018e-01	  9.9666e-01	  4.1457e+00	  1.6193e+01	  1.7699e+00	  2.1851e-02	  7.4900e-01	  5.5178e-02	  5.5178e-02	  4.5830e-01	  2.3025e+01	  2.4050e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.6903e-04	  0.0000e+00	  0.0000e+00	  9.5884e-04	  1.1706e-04	  2.9044e-03	  1.2811e-03	  3.9932e-05	  7.1804e-03	  2.8449e-04	  1.3865e-04	  6.5018e-04	  0.0000e+00	  1.3464e-03	
  6.0000e+00	  6.5569e+00	  8.0546e-05	  1.2031e-05	  1.4339e-05	  2.8313e-04	  7.5306e-04	  2.6394e+03	  2.4141e-01	  6.0036e-01	  8.2278e-01	  9.9583e-01	  4.0579e+00	  1.6239e+01	  1.7699e+00	  2.0277e-02	  7.5278e-01	  5.5873e-02	  5.5873e-02	  4.8923e-01	  2.2994e+01	  2.8684e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.4403e-04	  0.0000e+00	  0.0000e+00	  1.1272e-03	  1.2716e-04	  3.3109e-03	  1.4622e-03	  3.5692e-05	  8.2505e-03	  3.2257e-04	  1.4701e-04	  7.5306e-04	  0.0000e+00	  1.3366e-03	
  7.0000e+00	  6.5532e+00	  8.0511e-05	  1.2544e-05	  1.4342e-05	  3.2104e-04	  8.5413e-04	  2.9431e+03	  2.2716e-01	  5.7422e-01	  8.0688e-01	  9.9495e-01	  3.9751e+00	  1.6283e+01	  1.7700e+00	  1.9086e-02	  7.5535e-01	  5.6571e-02	  5.6571e-02	  5.1855e-01	  2.2964e+01	  3.3270e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.3244e-04	  0.0000e+00	  0.0000e+00	  1.2988e-03	  1.3678e-04	  3.7002e-03	  1.6362e-03	  3.2263e-05	  9.2811e-03	  3.5907e-04	  1.5447e-04	  8.5413e-04	  0.0000e+00	  1.3284e-03	
  8.0000e+00	  6.5516e+00	  8.0478e-05	  1.2982e-05	  1.4346e-05	  3.5746e-04	  9.5363e-04	  3.2353e+03	  2.1527e-01	  5.5117e-01	  7.9219e-01	  9.9405e-01	  3.8967e+00	  1.6325e+01	  1.7701e+00	  1.8096e-02	  7.5696e-01	  5.7271e-02	  5.7271e-02	  5.4658e-01	  2.2936e+01	  3.7809e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.3405e-04	  0.0000e+00	  0.0000e+00	  1.4735e-03	  1.4603e-04	  4.0751e-03	  1.8043e-03	  2.9420e-05	  1.0279e-02	  3.9429e-04	  1.6122e-04	  9.5363e-04	  0.0000e+00	  1.3213e-03	
