        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7876e-06	  1.4320e-05	  6.6804e-05	  2.0835e-04	  7.8963e+02	  4.3427e-01	  8.3228e-01	  9.3727e-01	  9.9949e-01	  4.5594e+00	  1.5977e+01	  1.7645e+00	  2.6660e-01	  6.2557e-01	  5.2521e-02	  5.2521e-02	  1.7733e-01	  2.3307e+01	  5.4252e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.2082e-06	  5.3883e-07	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8573e-04	  4.5053e-04	  8.4352e-05	  1.5317e-03	  4.7063e-04	  8.4674e-05	  2.0835e-04	  0.0000e+00	  1.3940e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1228e-05	  1.4325e-05	  1.1351e-04	  3.2676e-04	  1.2269e+03	  3.5755e-01	  7.6233e-01	  9.0697e-01	  9.9890e-01	  4.4186e+00	  1.6049e+01	  1.7625e+00	  1.0648e-01	  7.0576e-01	  5.3138e-02	  5.3138e-02	  3.1983e-01	  2.3164e+01	  1.0228e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.2754e-05	  3.4305e-06	  0.0000e+00	  4.7590e-04	  8.0885e-05	  1.5268e-03	  7.0781e-04	  6.3810e-05	  2.5814e-03	  7.6355e-04	  1.0380e-04	  3.2676e-04	  0.0000e+00	  1.3582e-03	
  3.0000e+00	  6.5993e+00	  8.0651e-05	  1.2872e-05	  1.4329e-05	  1.5818e-04	  4.3944e-04	  1.5991e+03	  3.1447e-01	  7.1160e-01	  8.8295e-01	  9.9826e-01	  4.2849e+00	  1.6119e+01	  1.7608e+00	  4.5084e-02	  7.4375e-01	  5.3812e-02	  5.3812e-02	  4.0108e-01	  2.3082e+01	  1.5242e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.1236e-05	  9.9548e-06	  0.0000e+00	  6.3015e-04	  9.4002e-05	  1.9968e-03	  9.3498e-04	  5.2979e-05	  3.5090e-03	  1.0094e-03	  1.1746e-04	  4.3944e-04	  0.0000e+00	  1.3344e-03	
  4.0000e+00	  6.5825e+00	  8.0611e-05	  1.4121e-05	  1.4333e-05	  2.0093e-04	  5.4847e-04	  1.9345e+03	  2.8532e-01	  6.7142e-01	  8.6251e-01	  9.9757e-01	  4.1571e+00	  1.6185e+01	  1.7593e+00	  3.1905e-02	  7.6076e-01	  5.4511e-02	  5.4511e-02	  4.5182e-01	  2.3031e+01	  2.0310e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  9.1702e-05	  2.0767e-05	  0.0000e+00	  7.8739e-04	  1.0541e-04	  2.4244e-03	  1.1441e-03	  4.5750e-05	  4.3661e-03	  1.2309e-03	  1.2837e-04	  5.4847e-04	  0.0000e+00	  1.3174e-03	
  5.0000e+00	  6.5727e+00	  8.0573e-05	  1.5126e-05	  1.4337e-05	  2.4187e-04	  6.5488e-04	  2.2453e+03	  2.6368e-01	  6.3810e-01	  8.4448e-01	  9.9685e-01	  4.0343e+00	  1.6249e+01	  1.7577e+00	  2.8676e-02	  7.7251e-01	  5.5223e-02	  5.5223e-02	  4.9527e-01	  2.2988e+01	  2.5382e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.4404e-04	  3.6274e-05	  0.0000e+00	  9.4813e-04	  1.1581e-04	  2.8224e-03	  1.3406e-03	  4.0394e-05	  5.1751e-03	  1.4367e-03	  1.3757e-04	  6.5488e-04	  0.0000e+00	  1.3052e-03	
  6.0000e+00	  6.5670e+00	  8.0538e-05	  1.5968e-05	  1.4340e-05	  2.8112e-04	  7.5923e-04	  2.5379e+03	  2.4670e-01	  6.0964e-01	  8.2826e-01	  9.9610e-01	  3.9161e+00	  1.6310e+01	  1.7562e+00	  2.7038e-02	  7.8252e-01	  5.5945e-02	  5.5945e-02	  5.3657e-01	  2.2946e+01	  3.0447e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.0829e-04	  5.6812e-05	  0.0000e+00	  1.1123e-03	  1.2554e-04	  3.1982e-03	  1.5277e-03	  3.6192e-05	  5.9481e-03	  1.6315e-03	  1.4559e-04	  7.5923e-04	  0.0000e+00	  1.2965e-03	
  7.0000e+00	  6.5641e+00	  8.0504e-05	  1.6694e-05	  1.4344e-05	  3.1881e-04	  8.6188e-04	  2.8163e+03	  2.3286e-01	  5.8485e-01	  8.1344e-01	  9.9533e-01	  3.8021e+00	  1.6370e+01	  1.7546e+00	  2.5750e-02	  7.9138e-01	  5.6675e-02	  5.6675e-02	  5.7660e-01	  2.2906e+01	  3.5498e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.8453e-04	  8.2664e-05	  0.0000e+00	  1.2795e-03	  1.3480e-04	  3.5562e-03	  1.7073e-03	  3.2776e-05	  6.6926e-03	  1.8177e-03	  1.5273e-04	  8.6188e-04	  0.0000e+00	  1.2908e-03	
  8.0000e+00	  6.5631e+00	  8.0471e-05	  1.7336e-05	  1.4347e-05	  3.5505e-04	  9.6309e-04	  3.0831e+03	  2.2127e-01	  5.6294e-01	  7.9977e-01	  9.9453e-01	  3.6921e+00	  1.6428e+01	  1.7531e+00	  2.4624e-02	  7.9924e-01	  5.7414e-02	  5.7414e-02	  6.1555e-01	  2.2867e+01	  4.0537e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  3.7281e-04	  1.1406e-04	  0.0000e+00	  1.4496e-03	  1.4370e-04	  3.8995e-03	  1.8806e-03	  2.9935e-05	  7.4136e-03	  1.9971e-03	  1.5920e-04	  9.6309e-04	  0.0000e+00	  1.2877e-03	
