        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6531e-06	  1.4319e-05	  6.7157e-05	  2.0852e-04	  7.7753e+02	  4.3703e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.5554e+00	  1.5980e+01	  1.7688e+00	  2.6702e-01	  6.1969e-01	  5.2519e-02	  5.2519e-02	  1.7651e-01	  2.3307e+01	  6.8229e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  8.4285e-06	  0.0000e+00	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6796e-04	  4.2566e-04	  8.5623e-05	  2.1197e-03	  9.5995e-05	  8.3876e-05	  2.0852e-04	  0.0000e+00	  1.4198e-03	
  2.0000e+00	  6.6240e+00	  8.0704e-05	  8.4923e-06	  1.4324e-05	  1.1430e-04	  3.2609e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.4061e+00	  1.6059e+01	  1.7697e+00	  1.1118e-01	  6.9166e-01	  5.3125e-02	  5.3125e-02	  3.1842e-01	  2.3165e+01	  1.3697e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  3.4111e-05	  0.0000e+00	  0.0000e+00	  4.7600e-04	  8.0847e-05	  1.5262e-03	  6.7097e-04	  6.4022e-05	  3.5842e-03	  1.5324e-04	  1.0353e-04	  3.2609e-04	  0.0000e+00	  1.3922e-03	
  3.0000e+00	  6.5925e+00	  8.0660e-05	  9.7356e-06	  1.4328e-05	  1.5947e-04	  4.3792e-04	  1.6266e+03	  3.1179e-01	  7.0812e-01	  8.8123e-01	  9.9821e-01	  4.2611e+00	  1.6136e+01	  1.7701e+00	  5.0705e-02	  7.2257e-01	  5.3781e-02	  5.3781e-02	  4.0273e-01	  2.3081e+01	  2.1138e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  8.1013e-05	  0.0000e+00	  0.0000e+00	  6.3340e-04	  9.4428e-05	  2.0211e-03	  8.8933e-04	  5.2797e-05	  4.8721e-03	  2.0114e-04	  1.1771e-04	  4.3792e-04	  0.0000e+00	  1.3730e-03	
  4.0000e+00	  6.5742e+00	  8.0620e-05	  1.0675e-05	  1.4332e-05	  2.0278e-04	  5.4618e-04	  1.9861e+03	  2.8142e-01	  6.6565e-01	  8.5945e-01	  9.9746e-01	  4.1195e+00	  1.6212e+01	  1.7703e+00	  3.7375e-02	  7.3295e-01	  5.4456e-02	  5.4456e-02	  4.5818e-01	  2.3025e+01	  2.8818e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.4996e-04	  0.0000e+00	  0.0000e+00	  7.9422e-04	  1.0626e-04	  2.4768e-03	  1.0911e-03	  4.5403e-05	  6.0600e-03	  2.4430e-04	  1.2906e-04	  5.4618e-04	  0.0000e+00	  1.3582e-03	
  5.0000e+00	  6.5631e+00	  8.0583e-05	  1.1423e-05	  1.4336e-05	  2.4434e-04	  6.5189e-04	  2.3218e+03	  2.5896e-01	  6.3040e-01	  8.4017e-01	  9.9666e-01	  3.9812e+00	  1.6286e+01	  1.7705e+00	  3.4464e-02	  7.3799e-01	  5.5137e-02	  5.5137e-02	  5.0672e-01	  2.2976e+01	  3.6603e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.4101e-04	  0.0000e+00	  0.0000e+00	  9.5888e-04	  1.1706e-04	  2.9047e-03	  1.2812e-03	  3.9979e-05	  7.1802e-03	  2.8448e-04	  1.3865e-04	  6.5189e-04	  0.0000e+00	  1.3464e-03	
  6.0000e+00	  6.5564e+00	  8.0546e-05	  1.2037e-05	  1.4339e-05	  2.8427e-04	  7.5561e-04	  2.6396e+03	  2.4141e-01	  6.0034e-01	  8.2278e-01	  9.9583e-01	  3.8459e+00	  1.6359e+01	  1.7707e+00	  3.3276e-02	  7.4134e-01	  5.5821e-02	  5.5821e-02	  5.5354e-01	  2.2929e+01	  4.4447e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.5429e-04	  0.0000e+00	  0.0000e+00	  1.1272e-03	  1.2717e-04	  3.3113e-03	  1.4624e-03	  3.5758e-05	  8.2502e-03	  3.2256e-04	  1.4702e-04	  7.5561e-04	  0.0000e+00	  1.3366e-03	
  7.0000e+00	  6.5526e+00	  8.0511e-05	  1.2553e-05	  1.4342e-05	  3.2269e-04	  8.5770e-04	  2.9434e+03	  2.2715e-01	  5.7420e-01	  8.0687e-01	  9.9495e-01	  3.7138e+00	  1.6430e+01	  1.7708e+00	  3.2389e-02	  7.4367e-01	  5.6508e-02	  5.6508e-02	  5.9948e-01	  2.2883e+01	  5.2321e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.8987e-04	  0.0000e+00	  0.0000e+00	  1.2989e-03	  1.3679e-04	  3.7007e-03	  1.6365e-03	  3.2349e-05	  9.2808e-03	  3.5905e-04	  1.5448e-04	  8.5770e-04	  0.0000e+00	  1.3283e-03	
  8.0000e+00	  6.5508e+00	  8.0478e-05	  1.2994e-05	  1.4346e-05	  3.5971e-04	  9.5841e-04	  3.2356e+03	  2.1526e-01	  5.5115e-01	  7.9218e-01	  9.9405e-01	  3.5848e+00	  1.6500e+01	  1.7710e+00	  3.1585e-02	  7.4514e-01	  5.7195e-02	  5.7195e-02	  6.4468e-01	  2.2838e+01	  6.0209e-02	  1.0003e+00	  1.0000e+00	  1.0000e+00	  6.4773e-04	  0.0000e+00	  0.0000e+00	  1.4736e-03	  1.4604e-04	  4.0758e-03	  1.8047e-03	  2.9527e-05	  1.0279e-02	  3.9427e-04	  1.6123e-04	  9.5841e-04	  0.0000e+00	  1.3211e-03	
