        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7877e-06	  1.4320e-05	  6.6806e-05	  2.0836e-04	  7.8962e+02	  4.3427e-01	  8.3228e-01	  9.3727e-01	  9.9949e-01	  4.5530e+00	  1.5980e+01	  1.7659e+00	  2.6837e-01	  6.2515e-01	  5.2521e-02	  5.2521e-02	  1.7742e-01	  2.3306e+01	  5.6114e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.3122e-06	  6.0787e-07	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8573e-04	  4.5053e-04	  8.4352e-05	  1.5317e-03	  4.7063e-04	  8.4674e-05	  2.0836e-04	  0.0000e+00	  1.3940e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1229e-05	  1.4325e-05	  1.1353e-04	  3.2681e-04	  1.2269e+03	  3.5755e-01	  7.6233e-01	  9.0698e-01	  9.9890e-01	  4.4005e+00	  1.6059e+01	  1.7648e+00	  1.1084e-01	  7.0534e-01	  5.3137e-02	  5.3137e-02	  3.2150e-01	  2.3162e+01	  1.0796e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.3379e-05	  4.0976e-06	  0.0000e+00	  4.7590e-04	  8.0885e-05	  1.5268e-03	  7.0781e-04	  6.3810e-05	  2.5814e-03	  7.6352e-04	  1.0380e-04	  3.2681e-04	  0.0000e+00	  1.3583e-03	
  3.0000e+00	  6.5993e+00	  8.0651e-05	  1.2877e-05	  1.4329e-05	  1.5824e-04	  4.3958e-04	  1.5990e+03	  3.1447e-01	  7.1161e-01	  8.8295e-01	  9.9826e-01	  4.2518e+00	  1.6136e+01	  1.7637e+00	  4.9602e-02	  7.4464e-01	  5.3811e-02	  5.3811e-02	  4.0705e-01	  2.3076e+01	  1.6349e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.3112e-05	  1.2441e-05	  0.0000e+00	  6.3015e-04	  9.4002e-05	  1.9968e-03	  9.3497e-04	  5.2981e-05	  3.5090e-03	  1.0093e-03	  1.1746e-04	  4.3958e-04	  0.0000e+00	  1.3349e-03	
  4.0000e+00	  6.5825e+00	  8.0611e-05	  1.4134e-05	  1.4333e-05	  2.0106e-04	  5.4882e-04	  1.9345e+03	  2.8532e-01	  6.7143e-01	  8.6251e-01	  9.9757e-01	  4.1066e+00	  1.6211e+01	  1.7627e+00	  3.6256e-02	  7.6322e-01	  5.4512e-02	  5.4512e-02	  4.6315e-01	  2.3020e+01	  2.2085e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  9.5812e-05	  2.6967e-05	  0.0000e+00	  7.8738e-04	  1.0541e-04	  2.4243e-03	  1.1441e-03	  4.5754e-05	  4.3661e-03	  1.2307e-03	  1.2837e-04	  5.4882e-04	  0.0000e+00	  1.3187e-03	
  5.0000e+00	  6.5726e+00	  8.0573e-05	  1.5153e-05	  1.4337e-05	  2.4212e-04	  6.5553e-04	  2.2452e+03	  2.6368e-01	  6.3810e-01	  8.4449e-01	  9.9685e-01	  3.9647e+00	  1.6285e+01	  1.7616e+00	  3.3152e-02	  7.7647e-01	  5.5227e-02	  5.5227e-02	  5.1242e-01	  2.2971e+01	  2.7931e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.5157e-04	  4.8712e-05	  0.0000e+00	  9.4813e-04	  1.1581e-04	  2.8224e-03	  1.3406e-03	  4.0399e-05	  5.1751e-03	  1.4364e-03	  1.3757e-04	  6.5553e-04	  0.0000e+00	  1.3076e-03	
  6.0000e+00	  6.5670e+00	  8.0538e-05	  1.6017e-05	  1.4340e-05	  2.8155e-04	  7.6032e-04	  2.5378e+03	  2.4670e-01	  6.0965e-01	  8.2826e-01	  9.9610e-01	  3.8259e+00	  1.6358e+01	  1.7606e+00	  3.1674e-02	  7.8793e-01	  5.5954e-02	  5.5954e-02	  5.6004e-01	  2.2923e+01	  3.3863e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.2059e-04	  7.8622e-05	  0.0000e+00	  1.1123e-03	  1.2554e-04	  3.1981e-03	  1.5277e-03	  3.6199e-05	  5.9481e-03	  1.6309e-03	  1.4559e-04	  7.6032e-04	  0.0000e+00	  1.3007e-03	
  7.0000e+00	  6.5640e+00	  8.0504e-05	  1.6775e-05	  1.4344e-05	  3.1948e-04	  8.6357e-04	  2.8162e+03	  2.3286e-01	  5.8486e-01	  8.1344e-01	  9.9533e-01	  3.6904e+00	  1.6429e+01	  1.7596e+00	  3.0495e-02	  7.9819e-01	  5.6691e-02	  5.6691e-02	  6.0681e-01	  2.2876e+01	  3.9867e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.0312e-04	  1.1757e-04	  0.0000e+00	  1.2795e-03	  1.3479e-04	  3.5561e-03	  1.7072e-03	  3.2788e-05	  6.6927e-03	  1.8168e-03	  1.5273e-04	  8.6357e-04	  0.0000e+00	  1.2975e-03	
  8.0000e+00	  6.5630e+00	  8.0471e-05	  1.7462e-05	  1.4347e-05	  3.5602e-04	  9.6555e-04	  3.0830e+03	  2.2127e-01	  5.6295e-01	  7.9978e-01	  9.9453e-01	  3.5581e+00	  1.6499e+01	  1.7585e+00	  2.9427e-02	  8.0736e-01	  5.7436e-02	  5.7436e-02	  6.5286e-01	  2.2830e+01	  4.5933e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  3.9934e-04	  1.6635e-04	  0.0000e+00	  1.4496e-03	  1.4370e-04	  3.8994e-03	  1.8805e-03	  2.9950e-05	  7.4136e-03	  1.9959e-03	  1.5919e-04	  9.6555e-04	  0.0000e+00	  1.2977e-03	
