        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6881e+00	  8.0744e-05	  8.7897e-06	  1.4320e-05	  6.6818e-05	  2.0840e-04	  7.8961e+02	  4.3427e-01	  8.3228e-01	  9.3727e-01	  9.9949e-01	  4.5528e+00	  1.5980e+01	  1.7645e+00	  2.6941e-01	  6.2577e-01	  5.2521e-02	  5.2521e-02	  1.7764e-01	  2.3306e+01	  5.4902e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.5824e-06	  1.9177e-06	  0.0000e+00	  3.2131e-04	  6.4199e-05	  9.8571e-04	  4.5052e-04	  8.4352e-05	  1.5317e-03	  4.7058e-04	  8.4673e-05	  2.0840e-04	  0.0000e+00	  1.3943e-03	
  2.0000e+00	  6.6288e+00	  8.0694e-05	  1.1243e-05	  1.4325e-05	  1.1361e-04	  3.2704e-04	  1.2268e+03	  3.5756e-01	  7.6234e-01	  9.0698e-01	  9.9890e-01	  4.3999e+00	  1.6059e+01	  1.7625e+00	  1.1152e-01	  7.0747e-01	  5.3138e-02	  5.3138e-02	  3.2249e-01	  2.3161e+01	  1.0412e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.9955e-05	  1.1944e-05	  0.0000e+00	  4.7589e-04	  8.0884e-05	  1.5267e-03	  7.0776e-04	  6.3808e-05	  2.5814e-03	  7.6326e-04	  1.0379e-04	  3.2704e-04	  0.0000e+00	  1.3599e-03	
  3.0000e+00	  6.5994e+00	  8.0651e-05	  1.2919e-05	  1.4329e-05	  1.5846e-04	  4.4024e-04	  1.5989e+03	  3.1449e-01	  7.1162e-01	  8.8296e-01	  9.9826e-01	  4.2508e+00	  1.6136e+01	  1.7608e+00	  4.9703e-02	  7.4867e-01	  5.3816e-02	  5.3816e-02	  4.0881e-01	  2.3075e+01	  1.5585e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  4.4479e-05	  3.4353e-05	  0.0000e+00	  6.3013e-04	  9.3999e-05	  1.9966e-03	  9.3486e-04	  5.2974e-05	  3.5091e-03	  1.0087e-03	  1.1746e-04	  4.4024e-04	  0.0000e+00	  1.3393e-03	
  4.0000e+00	  6.5826e+00	  8.0611e-05	  1.4225e-05	  1.4333e-05	  2.0151e-04	  5.5013e-04	  1.9342e+03	  2.8534e-01	  6.7145e-01	  8.6252e-01	  9.9757e-01	  4.1050e+00	  1.6211e+01	  1.7592e+00	  3.6157e-02	  7.6929e-01	  5.4521e-02	  5.4521e-02	  4.6544e-01	  2.3018e+01	  2.0846e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  7.9262e-05	  7.1393e-05	  0.0000e+00	  7.8735e-04	  1.0540e-04	  2.4241e-03	  1.1439e-03	  4.5741e-05	  4.3663e-03	  1.2295e-03	  1.2837e-04	  5.5013e-04	  0.0000e+00	  1.3275e-03	
  5.0000e+00	  6.5728e+00	  8.0573e-05	  1.5316e-05	  1.4337e-05	  2.4289e-04	  6.5773e-04	  2.2449e+03	  2.6370e-01	  6.3813e-01	  8.4450e-01	  9.9685e-01	  3.9624e+00	  1.6285e+01	  1.7577e+00	  3.2939e-02	  7.8482e-01	  5.5244e-02	  5.5244e-02	  5.1523e-01	  2.2968e+01	  2.6139e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.2430e-04	  1.2452e-04	  0.0000e+00	  9.4807e-04	  1.1580e-04	  2.8220e-03	  1.3403e-03	  4.0381e-05	  5.1753e-03	  1.4344e-03	  1.3756e-04	  6.5773e-04	  0.0000e+00	  1.3225e-03	
  6.0000e+00	  6.5671e+00	  8.0538e-05	  1.6279e-05	  1.4340e-05	  2.8271e-04	  7.6366e-04	  2.5374e+03	  2.4672e-01	  6.0969e-01	  8.2829e-01	  9.9610e-01	  3.8231e+00	  1.6357e+01	  1.7561e+00	  3.1350e-02	  7.9878e-01	  5.5980e-02	  5.5980e-02	  5.6341e-01	  2.2920e+01	  3.1445e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.7975e-04	  1.9501e-04	  0.0000e+00	  1.1122e-03	  1.2553e-04	  3.1976e-03	  1.5272e-03	  3.6176e-05	  5.9484e-03	  1.6280e-03	  1.4557e-04	  7.6366e-04	  0.0000e+00	  1.3234e-03	
  7.0000e+00	  6.5643e+00	  8.0504e-05	  1.7167e-05	  1.4344e-05	  3.2111e-04	  8.6830e-04	  2.8156e+03	  2.3289e-01	  5.8491e-01	  8.1348e-01	  9.9533e-01	  3.6869e+00	  1.6428e+01	  1.7546e+00	  3.0060e-02	  8.1174e-01	  5.6729e-02	  5.6729e-02	  6.1081e-01	  2.2872e+01	  3.6759e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.4578e-04	  2.8395e-04	  0.0000e+00	  1.2794e-03	  1.3478e-04	  3.5554e-03	  1.7066e-03	  3.2758e-05	  6.6930e-03	  1.8129e-03	  1.5271e-04	  8.6830e-04	  0.0000e+00	  1.3296e-03	
  8.0000e+00	  6.5633e+00	  8.0471e-05	  1.8018e-05	  1.4347e-05	  3.5821e-04	  9.7191e-04	  3.0822e+03	  2.2130e-01	  5.6301e-01	  7.9981e-01	  9.9453e-01	  3.5539e+00	  1.6497e+01	  1.7530e+00	  2.8883e-02	  8.2379e-01	  5.7490e-02	  5.7490e-02	  6.5753e-01	  2.2825e+01	  4.2076e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.2254e-04	  3.9229e-04	  0.0000e+00	  1.4494e-03	  1.4368e-04	  3.8986e-03	  1.8797e-03	  2.9915e-05	  7.4141e-03	  1.9907e-03	  1.5918e-04	  9.7191e-04	  0.0000e+00	  1.3409e-03	
