        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6865e+00	  8.0752e-05	  6.6535e-06	  1.4319e-05	  6.7145e-05	  2.0849e-04	  7.7753e+02	  4.3704e-01	  8.3440e-01	  9.3814e-01	  9.9951e-01	  4.5534e+00	  1.5980e+01	  1.7659e+00	  2.6852e-01	  6.2429e-01	  5.2521e-02	  5.2521e-02	  1.7733e-01	  2.3306e+01	  5.8120e-03	  1.0000e+00	  1.0000e+00	  1.0000e+00	  6.7750e-06	  2.7777e-07	  0.0000e+00	  3.1898e-04	  6.3689e-05	  9.6794e-04	  4.2566e-04	  8.5622e-05	  2.1197e-03	  9.5984e-05	  8.3876e-05	  2.0849e-04	  0.0000e+00	  1.4199e-03	
  2.0000e+00	  6.6241e+00	  8.0704e-05	  8.4959e-06	  1.4324e-05	  1.1425e-04	  3.2596e-04	  1.2321e+03	  3.5684e-01	  7.6157e-01	  9.0663e-01	  9.9890e-01	  4.4017e+00	  1.6059e+01	  1.7648e+00	  1.1131e-01	  7.0272e-01	  5.3135e-02	  5.3135e-02	  3.2123e-01	  2.3162e+01	  1.1408e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  2.5406e-05	  2.5371e-06	  0.0000e+00	  4.7599e-04	  8.0846e-05	  1.5261e-03	  6.7094e-04	  6.4014e-05	  3.5842e-03	  1.5315e-04	  1.0353e-04	  3.2596e-04	  0.0000e+00	  1.3927e-03	
  3.0000e+00	  6.5926e+00	  8.0660e-05	  9.7499e-06	  1.4328e-05	  1.5937e-04	  4.3771e-04	  1.6265e+03	  3.1180e-01	  7.0814e-01	  8.8124e-01	  9.9821e-01	  4.2541e+00	  1.6136e+01	  1.7637e+00	  5.0060e-02	  7.3978e-01	  5.3805e-02	  5.3805e-02	  4.0679e-01	  2.3077e+01	  1.7522e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  5.7831e-05	  9.3302e-06	  0.0000e+00	  6.3338e-04	  9.4425e-05	  2.0209e-03	  8.8925e-04	  5.2778e-05	  4.8723e-03	  2.0085e-04	  1.1770e-04	  4.3771e-04	  0.0000e+00	  1.3749e-03	
  4.0000e+00	  6.5744e+00	  8.0620e-05	  1.0713e-05	  1.4332e-05	  2.0264e-04	  5.4596e-04	  1.9859e+03	  2.8143e-01	  6.6567e-01	  8.5946e-01	  9.9746e-01	  4.1101e+00	  1.6212e+01	  1.7627e+00	  3.6677e-02	  7.5576e-01	  5.4500e-02	  5.4500e-02	  4.6296e-01	  2.3020e+01	  2.3919e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  1.0412e-04	  2.3185e-05	  0.0000e+00	  7.9418e-04	  1.0626e-04	  2.4765e-03	  1.0909e-03	  4.5370e-05	  6.0602e-03	  2.4365e-04	  1.2905e-04	  5.4596e-04	  0.0000e+00	  1.3629e-03	
  5.0000e+00	  6.5634e+00	  8.0583e-05	  1.1502e-05	  1.4336e-05	  2.4420e-04	  6.5181e-04	  2.3214e+03	  2.5898e-01	  6.3043e-01	  8.4019e-01	  9.9666e-01	  3.9696e+00	  1.6286e+01	  1.7616e+00	  3.3644e-02	  7.6610e-01	  5.5206e-02	  5.5206e-02	  5.1227e-01	  2.2971e+01	  3.0492e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  1.6407e-04	  4.6500e-05	  0.0000e+00	  9.5881e-04	  1.1705e-04	  2.9042e-03	  1.2809e-03	  3.9929e-05	  7.1805e-03	  2.8327e-04	  1.3864e-04	  6.5181e-04	  0.0000e+00	  1.3558e-03	
  6.0000e+00	  6.5569e+00	  8.0546e-05	  1.2182e-05	  1.4339e-05	  2.8419e-04	  7.5591e-04	  2.6391e+03	  2.4143e-01	  6.0038e-01	  8.2280e-01	  9.9583e-01	  3.8323e+00	  1.6358e+01	  1.7606e+00	  3.2279e-02	  7.7444e-01	  5.5921e-02	  5.5921e-02	  5.5995e-01	  2.2923e+01	  3.7199e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  2.3760e-04	  8.1601e-05	  0.0000e+00	  1.1271e-03	  1.2716e-04	  3.3106e-03	  1.4619e-03	  3.5690e-05	  8.2507e-03	  3.2054e-04	  1.4700e-04	  7.5591e-04	  0.0000e+00	  1.3530e-03	
  7.0000e+00	  6.5533e+00	  8.0512e-05	  1.2794e-05	  1.4342e-05	  3.2274e-04	  8.5867e-04	  2.9427e+03	  2.2718e-01	  5.7426e-01	  8.0690e-01	  9.9496e-01	  3.6982e+00	  1.6429e+01	  1.7596e+00	  3.1221e-02	  7.8144e-01	  5.6643e-02	  5.6643e-02	  6.0685e-01	  2.2876e+01	  4.4010e-02	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.2466e-04	  1.3072e-04	  0.0000e+00	  1.2988e-03	  1.3677e-04	  3.6998e-03	  1.6358e-03	  3.2262e-05	  9.2814e-03	  3.5593e-04	  1.5446e-04	  8.5867e-04	  0.0000e+00	  1.3544e-03	
  8.0000e+00	  6.5516e+00	  8.0478e-05	  1.3369e-05	  1.4346e-05	  3.5999e-04	  9.6040e-04	  3.2347e+03	  2.1529e-01	  5.5121e-01	  7.9222e-01	  9.9405e-01	  3.5674e+00	  1.6499e+01	  1.7585e+00	  3.0269e-02	  7.8725e-01	  5.7370e-02	  5.7370e-02	  6.5310e-01	  2.2830e+01	  5.0903e-02	  1.0002e+00	  1.0000e+00	  1.0000e+00	  4.2515e-04	  1.9594e-04	  0.0000e+00	  1.4734e-03	  1.4602e-04	  4.0746e-03	  1.8037e-03	  2.9421e-05	  1.0280e-02	  3.8975e-04	  1.6120e-04	  9.6040e-04	  0.0000e+00	  1.3600e-03	
