        Time	          pH	       Ozero	          HS	         CH4	        CO2g	         CO2	          SC	        fsl1	        fsl2	        fsl3	        fsl4	         POM	         MOM	         QOM	         DOM	          BA	          EP	          EM	          IC	       Total	     OrgAcid	        Aero	        SulR	        Meth	       Caero	       Csulr	       Cmeth	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	         FeS	      Pyrite	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  6.9509e+00	  2.5557e-04	  1.0001e-07	  0.0000e+00	  0.0000e+00	  9.0006e-06	  1.0504e+02	  7.6982e-01	  9.7338e-01	  9.9060e-01	  9.9999e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1401e-04	  2.8002e-05	  1.8275e-04	  7.9006e-05	  5.0003e-06	  1.3301e-04	  4.0003e-06	  3.8003e-05	  9.0006e-06	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  6.6861e+00	  8.0752e-05	  6.6536e-06	  1.4319e-05	  6.8039e-05	  2.1114e-04	  7.7775e+02	  4.3698e-01	  8.3437e-01	  9.3812e-01	  9.9951e-01	  4.5527e+00	  1.5980e+01	  1.7645e+00	  2.3787e-01	  6.1050e-01	  5.2515e-02	  5.2515e-02	  1.5505e-01	  2.3329e+01	  7.4007e-02	  1.0000e+00	  1.0000e+00	  1.0000e+00	  9.3689e-05	  2.0207e-06	  0.0000e+00	  3.1905e-04	  6.3701e-05	  9.6837e-04	  4.2585e-04	  8.5717e-05	  2.1194e-03	  9.5890e-05	  8.3892e-05	  2.1114e-04	  0.0000e+00	  1.4203e-03	
  2.0000e+00	  6.6229e+00	  8.0704e-05	  8.5149e-06	  1.4324e-05	  1.1738e-04	  3.3430e-04	  1.2327e+03	  3.5676e-01	  7.6149e-01	  9.0659e-01	  9.9890e-01	  4.3994e+00	  1.6059e+01	  1.7626e+00	  1.0224e-01	  6.7120e-01	  5.3106e-02	  5.3106e-02	  2.6889e-01	  2.3215e+01	  1.0912e-01	  1.0001e+00	  1.0000e+00	  1.0000e+00	  3.1894e-04	  1.4062e-05	  0.0000e+00	  4.7616e-04	  8.0874e-05	  1.5273e-03	  6.7147e-04	  6.4292e-05	  3.5834e-03	  1.5270e-04	  1.0357e-04	  3.3430e-04	  0.0000e+00	  1.3950e-03	
  3.0000e+00	  6.5904e+00	  8.0660e-05	  9.8108e-06	  1.4328e-05	  1.6547e-04	  4.5297e-04	  1.6275e+03	  3.1171e-01	  7.0801e-01	  8.8118e-01	  9.9821e-01	  4.2498e+00	  1.6136e+01	  1.7609e+00	  5.5403e-02	  7.0169e-01	  5.3741e-02	  5.3741e-02	  3.3947e-01	  2.3144e+01	  1.2701e-01	  1.0003e+00	  1.0000e+00	  1.0000e+00	  6.1440e-04	  3.9110e-05	  0.0000e+00	  6.3366e-04	  9.4467e-05	  2.0230e-03	  8.9014e-04	  5.3241e-05	  4.8708e-03	  1.9985e-04	  1.1776e-04	  4.5297e-04	  0.0000e+00	  1.3807e-03	
  4.0000e+00	  6.5710e+00	  8.0620e-05	  1.0835e-05	  1.4332e-05	  2.1211e-04	  5.6861e-04	  1.9872e+03	  2.8133e-01	  6.6552e-01	  8.5939e-01	  9.9746e-01	  4.1036e+00	  1.6211e+01	  1.7593e+00	  4.3446e-02	  7.1918e-01	  5.4397e-02	  5.4397e-02	  3.9172e-01	  2.3092e+01	  1.3980e-01	  1.0004e+00	  1.0000e+00	  1.0000e+00	  9.5026e-04	  7.7114e-05	  0.0000e+00	  7.9457e-04	  1.0631e-04	  2.4794e-03	  1.0922e-03	  4.5997e-05	  6.0582e-03	  2.4202e-04	  1.2912e-04	  5.6861e-04	  0.0000e+00	  1.3733e-03	
  5.0000e+00	  6.5589e+00	  8.0582e-05	  1.1699e-05	  1.4508e-05	  2.5729e-04	  6.8208e-04	  2.3231e+03	  2.5888e-01	  6.3026e-01	  8.4010e-01	  9.9666e-01	  3.9605e+00	  1.6285e+01	  1.7578e+00	  3.9877e-02	  7.3294e-01	  5.5069e-02	  5.5069e-02	  4.3918e-01	  2.3044e+01	  1.5129e-01	  1.0005e+00	  1.0000e+00	  1.0000e+00	  1.3167e-03	  1.2807e-04	  7.6188e-07	  9.5933e-04	  1.1712e-04	  2.9079e-03	  1.2825e-03	  4.0697e-05	  7.1780e-03	  2.8097e-04	  1.3872e-04	  6.8208e-04	  0.0000e+00	  1.3713e-03	
  6.0000e+00	  6.5511e+00	  8.0546e-05	  1.2463e-05	  1.6113e-05	  3.0096e-04	  7.9363e-04	  2.6412e+03	  2.4133e-01	  6.0020e-01	  8.2269e-01	  9.9582e-01	  3.8207e+00	  1.6357e+01	  1.7562e+00	  3.8019e-02	  7.4534e-01	  5.5753e-02	  5.5753e-02	  4.8527e-01	  2.2998e+01	  1.6230e-01	  1.0007e+00	  1.0000e+00	  1.0000e+00	  1.7035e-03	  1.9114e-04	  7.8378e-06	  1.1278e-03	  1.2723e-04	  3.3151e-03	  1.4639e-03	  3.6573e-05	  8.2478e-03	  3.1763e-04	  1.4709e-04	  7.9363e-04	  0.0000e+00	  1.3735e-03	
  7.0000e+00	  6.5462e+00	  8.0511e-05	  1.3167e-05	  1.7841e-05	  3.4339e-04	  9.0400e-04	  2.9451e+03	  2.2708e-01	  5.7406e-01	  8.0678e-01	  9.9495e-01	  3.6841e+00	  1.6428e+01	  1.7546e+00	  3.6547e-02	  7.5688e-01	  5.6448e-02	  5.6448e-02	  5.3077e-01	  2.2952e+01	  1.7300e-01	  1.0009e+00	  1.0000e+00	  1.0000e+00	  2.1186e-03	  2.6812e-04	  1.5448e-05	  1.2995e-03	  1.3686e-04	  3.7051e-03	  1.6381e-03	  3.3246e-05	  9.2781e-03	  3.5245e-04	  1.5455e-04	  9.0400e-04	  0.0000e+00	  1.3799e-03	
  8.0000e+00	  6.5432e+00	  8.0477e-05	  1.3839e-05	  1.9688e-05	  3.8470e-04	  1.0135e-03	  3.2375e+03	  2.1519e-01	  5.5100e-01	  7.9209e-01	  9.9404e-01	  3.5507e+00	  1.6497e+01	  1.7531e+00	  3.5210e-02	  7.6764e-01	  5.7153e-02	  5.7153e-02	  5.7582e-01	  2.2907e+01	  1.8344e-01	  1.0011e+00	  1.0000e+00	  1.0000e+00	  2.5617e-03	  3.5955e-04	  2.3587e-05	  1.4743e-03	  1.4611e-04	  4.0807e-03	  1.8063e-03	  3.0494e-05	  1.0276e-02	  3.8576e-04	  1.6130e-04	  1.0135e-03	  0.0000e+00	  1.3900e-03	
