"","pH","Na","K","Ca","Mg","PO4","Cl","SO4","NH4","HCO3","sc","exchanger"
"3",0.0444013976046935,1.73037145699317,2.42727228427531,-0.257686238404348,-0.16888619587059,-0.496355988003964,1.22276912148946,1.68543045452448,-0.752825406865093,2.21101872553287,0.983853386497432,"no_Buffer"
"4",0.0397462971935543,1.90442958204261,2.60830698632009,-0.422676989762215,-0.251178968577356,-0.764383589705696,1.22652410289402,1.53472716177053,-1.20192166664037,1.87935333236624,1.0349134716899,"no_Buffer"
"5",0.0360255519124759,1.94388300642719,2.64161996544525,-0.547375750651335,-0.301245699447827,-0.938396272756998,1.15865874131201,1.38723785242548,-1.52619958316698,1.64914989062237,1.00393964273551,"no_Buffer"
"6",0.0335948169131031,1.94371143143925,2.6324717706474,-0.648576933366439,-0.334891091444114,-1.06217900995262,1.08477623934461,1.26570034337649,-1.78009042157798,1.47804201017692,0.957340369506262,"no_Buffer"
"7",0.0323576956180278,1.92808532864452,2.60708533608945,-0.73373007760909,-0.358662193081592,-1.15502346254913,1.01603317885604,1.1656168313113,-1.98857159600606,1.34428112668217,0.909491268740306,"no_Buffer"
"8",0.0321067455864268,1.90571247931562,2.57492552572057,-0.807049172461678,-0.375843095093996,-1.22748834611693,0.954319140039078,1.08170722053461,-2.16513646165338,1.23599974641255,0.864318049408354,"no_Buffer"
"9",0.0326467148176766,1.8803624227256,2.53997010977379,-0.871191713075636,-0.388431559080566,-1.28582447363656,0.899390951996931,1.0102926278857,-2.3180079312797,1.14597487382151,0.822726552008792,"no_Buffer"
"10",0.0338468386769115,1.85385832779289,2.50418968405322,-0.928007205995166,-0.397648206216553,-1.33425349837956,0.850438685921116,0.94862452624658,-2.4525723953856,1.06963668771092,0.784739606975048,"no_Buffer"
"11",0.0355953308900037,1.82715577100298,2.4685208989392,-0.978877157021006,-0.404363601806805,-1.37558432404821,0.806552657063377,0.894701179783836,-2.5725739924232,1.00383813484708,0.750267200051537,"no_Buffer"
"12",0.0377972709022028,1.80074164135732,2.4334786494478,-1.02472292863135,-0.409243464731646,-1.41195756947374,0.767137418617578,0.847033356770779,-2.68073553126434,0.946412320112713,0.718801977478069,"no_Buffer"
