time,pH,Na,K,Ca,Mg,PO4,Cl,NH4,SO4
6,7.06,2.28,0.28,3.83,0.79,0.05,1.33,0.38,0.07
19,7.45,3.47,0.27,3.92,0.76,0.07,1.81,0.43,0.15
33,7.16,3.46,0.31,4.4,0.94,0.06,2.79,0.44,0.31
47,7.39,3.44,0.33,4.45,1,0.05,2.77,0.43,0.35
62,7.11,3.78,0.33,4.39,1.03,0.07,3.49,0.43,0.34
75,7.3,4.28,0.3,3.95,0.88,0.06,4.71,0.42,0.21
89,6.92,4.61,0.28,4,0.88,0.07,4.94,0.41,0.21
103,7.34,4.94,0.27,3.46,0.76,0.05,4.92,0.42,0.12
117,7.32,4.93,0.27,3.36,0.76,0.07,4.9,0.39,0.12
131,7.34,4.92,0.26,3.07,0.68,0.06,3.63,0.37,0.1
145,7.16,4.9,0.25,3.11,0.65,0.06,3.87,0.36,0.1
159,7.37,5.23,0.25,2.96,0.62,0.05,4.84,0.37,0.07
173,7.15,5.74,0.25,2.71,0.62,0.06,5.31,0.37,0.1
187,6.97,5.55,0.23,2.81,0.56,0.05,4.79,0.38,0.09
200,6.99,5.88,0.24,2.76,0.56,0.06,5.52,0.38,0.09
