          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7028e+00	  2.3225e-03	  2.8502e-04	  3.8615e-03	  8.1944e-04	  3.6454e-05	  1.3778e-03	  3.1424e-05	  3.8684e-04	  8.1077e-05	  1.4834e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1792e-01	  2.3248e-02	  0.0000e+00	
  6.7028e+00	  2.3297e-03	  2.8564e-04	  3.8811e-03	  8.2366e-04	  3.6276e-05	  1.4242e-03	  4.2502e-05	  3.8767e-04	  1.0459e-04	  1.4986e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1805e-01	  2.3052e-02	  0.0000e+00	
  6.7028e+00	  2.3368e-03	  2.8623e-04	  3.8999e-03	  8.2775e-04	  3.6104e-05	  1.4688e-03	  5.3155e-05	  3.8846e-04	  1.2725e-04	  1.5133e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1818e-01	  2.2863e-02	  0.0000e+00	
  6.7028e+00	  2.3435e-03	  2.8681e-04	  3.9182e-03	  8.3169e-04	  3.5940e-05	  1.5118e-03	  6.3401e-05	  3.8923e-04	  1.4911e-04	  1.5274e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1830e-01	  2.2680e-02	  0.0000e+00	
  6.7028e+00	  2.3501e-03	  2.8736e-04	  3.9358e-03	  8.3550e-04	  3.5783e-05	  1.5531e-03	  7.3258e-05	  3.8996e-04	  1.7018e-04	  1.5410e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1842e-01	  2.2504e-02	  0.0000e+00	
  6.7028e+00	  2.3564e-03	  2.8790e-04	  3.9528e-03	  8.3918e-04	  3.5632e-05	  1.5930e-03	  8.2741e-05	  3.9067e-04	  1.9049e-04	  1.5541e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1853e-01	  2.2334e-02	  0.0000e+00	
  6.7028e+00	  2.3625e-03	  2.8841e-04	  3.9692e-03	  8.4273e-04	  3.5487e-05	  1.6315e-03	  9.1866e-05	  3.9136e-04	  2.1008e-04	  1.5667e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1864e-01	  2.2170e-02	  0.0000e+00	
  6.7028e+00	  2.3684e-03	  2.8890e-04	  3.9850e-03	  8.4616e-04	  3.5349e-05	  1.6685e-03	  1.0065e-04	  3.9202e-04	  2.2898e-04	  1.5789e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1875e-01	  2.2011e-02	  0.0000e+00	
  6.7028e+00	  2.3740e-03	  2.8938e-04	  4.0003e-03	  8.4947e-04	  3.5215e-05	  1.7042e-03	  1.0910e-04	  3.9265e-04	  2.4720e-04	  1.5907e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1885e-01	  2.1858e-02	  0.0000e+00	
  6.7029e+00	  2.3795e-03	  2.8984e-04	  4.0151e-03	  8.5267e-04	  3.5088e-05	  1.7386e-03	  1.1724e-04	  3.9327e-04	  2.6477e-04	  1.6020e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1895e-01	  2.1711e-02	  0.0000e+00	
  6.7029e+00	  2.3848e-03	  2.9029e-04	  4.0294e-03	  8.5576e-04	  3.4965e-05	  1.7717e-03	  1.2507e-04	  3.9386e-04	  2.8172e-04	  1.6129e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1905e-01	  2.1568e-02	  0.0000e+00	
  6.7029e+00	  2.3899e-03	  2.9071e-04	  4.0432e-03	  8.5875e-04	  3.4847e-05	  1.8037e-03	  1.3262e-04	  3.9443e-04	  2.9807e-04	  1.6234e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1914e-01	  2.1430e-02	  0.0000e+00	
  6.7029e+00	  2.3949e-03	  2.9113e-04	  4.0565e-03	  8.6163e-04	  3.4734e-05	  1.8345e-03	  1.3988e-04	  3.9498e-04	  3.1384e-04	  1.6335e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1923e-01	  2.1297e-02	  0.0000e+00	
  6.7029e+00	  2.3996e-03	  2.9152e-04	  4.0693e-03	  8.6441e-04	  3.4625e-05	  1.8642e-03	  1.4688e-04	  3.9550e-04	  3.2905e-04	  1.6432e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1931e-01	  2.1169e-02	  0.0000e+00	
  6.7029e+00	  2.4042e-03	  2.9191e-04	  4.0817e-03	  8.6709e-04	  3.4521e-05	  1.8928e-03	  1.5362e-04	  3.9601e-04	  3.4373e-04	  1.6527e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	  3.1940e-01	  2.1045e-02	  0.0000e+00	
