          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8627e+00	  2.2824e-03	  2.8029e-04	  3.8340e-03	  7.9083e-04	  4.9892e-05	  1.3314e-03	  2.0021e-05	  3.8070e-04	  9.0095e-06	  1.4414e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.0010e+00	  2.3232e-03	  2.8475e-04	  3.8273e-03	  8.1438e-04	  1.0948e-05	  1.4256e-03	  4.4896e-05	  3.8724e-04	  1.6963e-04	  1.4930e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6396e-01	  1.0427e-01	  0.0000e+00	
  6.9999e+00	  2.3391e-03	  2.8617e-04	  3.8719e-03	  8.2401e-04	  1.0880e-05	  1.5274e-03	  6.8907e-05	  3.8914e-04	  2.2134e-04	  1.5273e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6409e-01	  1.0407e-01	  0.0000e+00	
  6.9988e+00	  2.3545e-03	  2.8752e-04	  3.9148e-03	  8.3331e-04	  1.0815e-05	  1.6252e-03	  9.1875e-05	  3.9095e-04	  2.7101e-04	  1.5601e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6422e-01	  1.0388e-01	  0.0000e+00	
  6.9978e+00	  2.3692e-03	  2.8883e-04	  3.9563e-03	  8.4228e-04	  1.0753e-05	  1.7190e-03	  1.1386e-04	  3.9269e-04	  3.1875e-04	  1.5916e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6434e-01	  1.0370e-01	  0.0000e+00	
  6.9969e+00	  2.3835e-03	  2.9008e-04	  3.9962e-03	  8.5094e-04	  1.0694e-05	  1.8090e-03	  1.3490e-04	  3.9436e-04	  3.6464e-04	  1.6219e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6446e-01	  1.0352e-01	  0.0000e+00	
  6.9960e+00	  2.3972e-03	  2.9128e-04	  4.0348e-03	  8.5929e-04	  1.0638e-05	  1.8956e-03	  1.5506e-04	  3.9596e-04	  4.0876e-04	  1.6509e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6457e-01	  1.0335e-01	  0.0000e+00	
  6.9951e+00	  2.4104e-03	  2.9243e-04	  4.0720e-03	  8.6735e-04	  1.0585e-05	  1.9787e-03	  1.7438e-04	  3.9750e-04	  4.5118e-04	  1.6788e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6468e-01	  1.0319e-01	  0.0000e+00	
  6.9943e+00	  2.4232e-03	  2.9354e-04	  4.1079e-03	  8.7512e-04	  1.0534e-05	  2.0586e-03	  1.9291e-04	  3.9898e-04	  4.9200e-04	  1.7057e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6479e-01	  1.0303e-01	  0.0000e+00	
  6.9935e+00	  2.4355e-03	  2.9460e-04	  4.1426e-03	  8.8262e-04	  1.0485e-05	  2.1353e-03	  2.1067e-04	  4.0040e-04	  5.3126e-04	  1.7314e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6489e-01	  1.0287e-01	  0.0000e+00	
  6.9928e+00	  2.4473e-03	  2.9562e-04	  4.1760e-03	  8.8986e-04	  1.0438e-05	  2.2092e-03	  2.2771e-04	  4.0176e-04	  5.6904e-04	  1.7562e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6499e-01	  1.0273e-01	  0.0000e+00	
  6.9921e+00	  2.4587e-03	  2.9660e-04	  4.2083e-03	  8.9685e-04	  1.0394e-05	  2.2801e-03	  2.4406e-04	  4.0307e-04	  6.0541e-04	  1.7800e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6508e-01	  1.0258e-01	  0.0000e+00	
  6.9915e+00	  2.4697e-03	  2.9755e-04	  4.2394e-03	  9.0359e-04	  1.0351e-05	  2.3484e-03	  2.5976e-04	  4.0433e-04	  6.4041e-04	  1.8029e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6518e-01	  1.0245e-01	  0.0000e+00	
  6.9908e+00	  2.4804e-03	  2.9845e-04	  4.2694e-03	  9.1010e-04	  1.0310e-05	  2.4141e-03	  2.7483e-04	  4.0554e-04	  6.7410e-04	  1.8249e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6526e-01	  1.0231e-01	  0.0000e+00	
  6.9903e+00	  2.4906e-03	  2.9933e-04	  4.2984e-03	  9.1637e-04	  1.0271e-05	  2.4773e-03	  2.8931e-04	  4.0670e-04	  7.0655e-04	  1.8461e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6535e-01	  1.0219e-01	  0.0000e+00	
  6.9897e+00	  2.5005e-03	  3.0017e-04	  4.3264e-03	  9.2243e-04	  1.0234e-05	  2.5381e-03	  3.0321e-04	  4.0782e-04	  7.3779e-04	  1.8665e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	  2.6543e-01	  1.0206e-01	  0.0000e+00	
