          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7261e+00	  1.2770e-02	  4.8382e-04	  6.6354e-03	  1.4039e-03	  1.0157e-05	  1.5775e-02	  1.1503e-03	  4.2505e-04	  1.5914e-03	  5.3032e+03	  6.7416e-02	  1.1629e-01	  0.0000e+00	  1.9642e-01	  2.0539e-01	  0.0000e+00	
  6.6947e+00	  2.1085e-02	  6.3168e-04	  7.9028e-03	  1.6858e-03	  1.0666e-05	  2.5142e-02	  2.0868e-03	  4.2617e-04	  2.0999e-03	  7.7060e+03	  7.0837e-02	  1.1458e-01	  0.0000e+00	  1.9681e-01	  2.0481e-01	  0.0000e+00	
  6.6668e+00	  2.9128e-02	  7.7471e-04	  9.1136e-03	  1.9584e-03	  1.1150e-05	  3.4187e-02	  2.9912e-03	  4.2704e-04	  2.5876e-03	  9.9668e+03	  7.4105e-02	  1.1295e-01	  0.0000e+00	  1.9717e-01	  2.0426e-01	  0.0000e+00	
  6.6419e+00	  3.6906e-02	  9.1300e-04	  1.0272e-02	  2.2224e-03	  1.1617e-05	  4.2920e-02	  3.8643e-03	  4.2775e-04	  3.0556e-03	  1.2103e+04	  7.7229e-02	  1.1138e-01	  0.0000e+00	  1.9752e-01	  2.0373e-01	  0.0000e+00	
  6.6194e+00	  4.4424e-02	  1.0467e-03	  1.1382e-02	  2.4784e-03	  1.2070e-05	  5.1353e-02	  4.7075e-03	  4.2833e-04	  3.5048e-03	  1.4129e+04	  8.0218e-02	  1.0989e-01	  0.0000e+00	  1.9786e-01	  2.0323e-01	  0.0000e+00	
  6.5989e+00	  5.1689e-02	  1.1758e-03	  1.2447e-02	  2.7267e-03	  1.2510e-05	  5.9495e-02	  5.5216e-03	  4.2882e-04	  3.9362e-03	  1.6053e+04	  8.3078e-02	  1.0846e-01	  0.0000e+00	  1.9818e-01	  2.0275e-01	  0.0000e+00	
  6.5802e+00	  5.8709e-02	  1.3006e-03	  1.3468e-02	  2.9676e-03	  1.2938e-05	  6.7357e-02	  6.3076e-03	  4.2924e-04	  4.3504e-03	  1.7885e+04	  8.5816e-02	  1.0709e-01	  0.0000e+00	  1.9849e-01	  2.0229e-01	  0.0000e+00	
  6.5630e+00	  6.5491e-02	  1.4212e-03	  1.4448e-02	  3.2014e-03	  1.3354e-05	  7.4948e-02	  7.0667e-03	  4.2961e-04	  4.7483e-03	  1.9630e+04	  8.8439e-02	  1.0578e-01	  0.0000e+00	  1.9878e-01	  2.0185e-01	  0.0000e+00	
  6.5470e+00	  7.2043e-02	  1.5377e-03	  1.5390e-02	  3.4282e-03	  1.3760e-05	  8.2278e-02	  7.7996e-03	  4.2992e-04	  5.1306e-03	  2.1296e+04	  9.0952e-02	  1.0452e-01	  0.0000e+00	  1.9906e-01	  2.0142e-01	  0.0000e+00	
  6.5322e+00	  7.8371e-02	  1.6502e-03	  1.6295e-02	  3.6484e-03	  1.4154e-05	  8.9355e-02	  8.5073e-03	  4.3020e-04	  5.4980e-03	  2.2888e+04	  9.3360e-02	  1.0332e-01	  0.0000e+00	  1.9933e-01	  2.0102e-01	  0.0000e+00	
  6.5185e+00	  8.4485e-02	  1.7589e-03	  1.7165e-02	  3.8620e-03	  1.4538e-05	  9.6189e-02	  9.1906e-03	  4.3045e-04	  5.8511e-03	  2.4409e+04	  9.5670e-02	  1.0216e-01	  0.0000e+00	  1.9959e-01	  2.0063e-01	  0.0000e+00	
  6.5056e+00	  9.0389e-02	  1.8639e-03	  1.8001e-02	  4.0692e-03	  1.4910e-05	  1.0279e-01	  9.8504e-03	  4.3068e-04	  6.1906e-03	  2.5865e+04	  9.7886e-02	  1.0106e-01	  0.0000e+00	  1.9984e-01	  2.0025e-01	  0.0000e+00	
  6.4936e+00	  9.6092e-02	  1.9653e-03	  1.8806e-02	  4.2703e-03	  1.5273e-05	  1.0916e-01	  1.0488e-02	  4.3088e-04	  6.5169e-03	  2.7258e+04	  1.0001e-01	  9.9994e-02	  0.0000e+00	  2.0008e-01	  1.9989e-01	  0.0000e+00	
  6.4823e+00	  1.0160e-01	  2.0632e-03	  1.9579e-02	  4.4654e-03	  1.5625e-05	  1.1531e-01	  1.1103e-02	  4.3106e-04	  6.8306e-03	  2.8593e+04	  1.0205e-01	  9.8974e-02	  0.0000e+00	  2.0031e-01	  1.9955e-01	  0.0000e+00	
  6.4717e+00	  1.0692e-01	  2.1578e-03	  2.0324e-02	  4.6545e-03	  1.5968e-05	  1.2125e-01	  1.1697e-02	  4.3123e-04	  7.1323e-03	  2.9872e+04	  1.0401e-01	  9.7995e-02	  0.0000e+00	  2.0053e-01	  1.9922e-01	  0.0000e+00	
  6.4617e+00	  1.1206e-01	  2.2492e-03	  2.1040e-02	  4.8380e-03	  1.6300e-05	  1.2699e-01	  1.2270e-02	  4.3138e-04	  7.4225e-03	  3.1099e+04	  1.0589e-01	  9.7055e-02	  0.0000e+00	  2.0074e-01	  1.9890e-01	  0.0000e+00	
  6.4522e+00	  1.1702e-01	  2.3374e-03	  2.1730e-02	  5.0160e-03	  1.6623e-05	  1.3253e-01	  1.2824e-02	  4.3152e-04	  7.7016e-03	  3.2275e+04	  1.0769e-01	  9.6152e-02	  0.0000e+00	  2.0094e-01	  1.9860e-01	  0.0000e+00	
  6.4433e+00	  1.2181e-01	  2.4226e-03	  2.2393e-02	  5.1885e-03	  1.6937e-05	  1.3788e-01	  1.3359e-02	  4.3164e-04	  7.9700e-03	  3.3404e+04	  1.0943e-01	  9.5285e-02	  0.0000e+00	  2.0114e-01	  1.9831e-01	  0.0000e+00	
  6.4348e+00	  1.2644e-01	  2.5049e-03	  2.3032e-02	  5.3557e-03	  1.7242e-05	  1.4304e-01	  1.3875e-02	  4.3176e-04	  8.2283e-03	  3.4488e+04	  1.1109e-01	  9.4452e-02	  0.0000e+00	  2.0133e-01	  1.9803e-01	  0.0000e+00	
  6.4268e+00	  1.3091e-01	  2.5843e-03	  2.3648e-02	  5.5179e-03	  1.7537e-05	  1.4803e-01	  1.4374e-02	  4.3187e-04	  8.4768e-03	  3.5528e+04	  1.1269e-01	  9.3652e-02	  0.0000e+00	  2.0151e-01	  1.9776e-01	  0.0000e+00	
  6.4193e+00	  1.3522e-01	  2.6611e-03	  2.4240e-02	  5.6750e-03	  1.7824e-05	  1.5284e-01	  1.4855e-02	  4.3197e-04	  8.7159e-03	  3.6528e+04	  1.1423e-01	  9.2882e-02	  0.0000e+00	  2.0168e-01	  1.9750e-01	  0.0000e+00	
  6.4121e+00	  1.3939e-01	  2.7352e-03	  2.4811e-02	  5.8272e-03	  1.8102e-05	  1.5749e-01	  1.5320e-02	  4.3206e-04	  8.9460e-03	  3.7488e+04	  1.1571e-01	  9.2143e-02	  0.0000e+00	  2.0184e-01	  1.9725e-01	  0.0000e+00	
  6.4052e+00	  1.4341e-01	  2.8067e-03	  2.5361e-02	  5.9748e-03	  1.8372e-05	  1.6198e-01	  1.5769e-02	  4.3215e-04	  9.1674e-03	  3.8410e+04	  1.1713e-01	  9.1432e-02	  0.0000e+00	  2.0200e-01	  1.9701e-01	  0.0000e+00	
  6.3987e+00	  1.4730e-01	  2.8758e-03	  2.5890e-02	  6.1177e-03	  1.8634e-05	  1.6632e-01	  1.6203e-02	  4.3223e-04	  9.3806e-03	  3.9297e+04	  1.1850e-01	  9.0748e-02	  0.0000e+00	  2.0216e-01	  1.9678e-01	  0.0000e+00	
  6.3925e+00	  1.5105e-01	  2.9426e-03	  2.6401e-02	  6.2562e-03	  1.8888e-05	  1.7050e-01	  1.6621e-02	  4.3231e-04	  9.5857e-03	  4.0150e+04	  1.1982e-01	  9.0091e-02	  0.0000e+00	  2.0231e-01	  1.9655e-01	  0.0000e+00	
  6.3866e+00	  1.5468e-01	  3.0070e-03	  2.6892e-02	  6.3903e-03	  1.9134e-05	  1.7454e-01	  1.7025e-02	  4.3238e-04	  9.7832e-03	  4.0970e+04	  1.2108e-01	  8.9458e-02	  0.0000e+00	  2.0245e-01	  1.9634e-01	  0.0000e+00	
  6.3810e+00	  1.5818e-01	  3.0693e-03	  2.7366e-02	  6.5202e-03	  1.9373e-05	  1.7845e-01	  1.7416e-02	  4.3245e-04	  9.9733e-03	  4.1758e+04	  1.2230e-01	  8.8850e-02	  0.0000e+00	  2.0258e-01	  1.9614e-01	  0.0000e+00	
