          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8561e+00	  4.3501e-03	  3.4213e-04	  5.1346e-03	  1.1402e-03	  6.8228e-06	  6.9203e-03	  2.8481e-04	  4.3765e-04	  1.5545e-04	  2.8118e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4674e-01	  1.3010e-01	  0.0000e+00	
  6.8447e+00	  4.4806e-03	  3.5033e-04	  5.4091e-03	  1.2019e-03	  6.8019e-06	  7.7753e-03	  3.8372e-04	  4.4774e-04	  2.0074e-04	  3.0247e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4710e-01	  1.2956e-01	  0.0000e+00	
  6.8341e+00	  4.6049e-03	  3.5804e-04	  5.6734e-03	  1.2613e-03	  6.7877e-06	  8.5836e-03	  4.7598e-04	  4.5720e-04	  2.4363e-04	  3.2257e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4744e-01	  1.2905e-01	  0.0000e+00	
  6.8243e+00	  4.7237e-03	  3.6530e-04	  5.9279e-03	  1.3185e-03	  6.7789e-06	  9.3498e-03	  5.6240e-04	  4.6607e-04	  2.8435e-04	  3.4158e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4776e-01	  1.2856e-01	  0.0000e+00	
  6.8152e+00	  4.8372e-03	  3.7216e-04	  6.1730e-03	  1.3736e-03	  6.7746e-06	  1.0078e-02	  6.4365e-04	  4.7443e-04	  3.2309e-04	  3.5961e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4807e-01	  1.2811e-01	  0.0000e+00	
  6.8067e+00	  4.9458e-03	  3.7864e-04	  6.4090e-03	  1.4266e-03	  6.7740e-06	  1.0770e-02	  7.2026e-04	  4.8231e-04	  3.6001e-04	  3.7674e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4835e-01	  1.2767e-01	  0.0000e+00	
  6.7987e+00	  5.0499e-03	  3.8478e-04	  6.6363e-03	  1.4777e-03	  6.7765e-06	  1.1430e-02	  7.9269e-04	  4.8975e-04	  3.9523e-04	  3.9303e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4863e-01	  1.2726e-01	  0.0000e+00	
  6.7912e+00	  5.1497e-03	  3.9061e-04	  6.8553e-03	  1.5270e-03	  6.7814e-06	  1.2060e-02	  8.6132e-04	  4.9678e-04	  4.2888e-04	  4.0855e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4889e-01	  1.2688e-01	  0.0000e+00	
  6.7842e+00	  5.2454e-03	  3.9614e-04	  7.0663e-03	  1.5744e-03	  6.7885e-06	  1.2661e-02	  9.2647e-04	  5.0345e-04	  4.6107e-04	  4.2336e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4913e-01	  1.2651e-01	  0.0000e+00	
  6.7776e+00	  5.3372e-03	  4.0140e-04	  7.2696e-03	  1.6201e-03	  6.7973e-06	  1.3236e-02	  9.8842e-04	  5.0977e-04	  4.9188e-04	  4.3749e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4936e-01	  1.2616e-01	  0.0000e+00	
  6.7713e+00	  5.4255e-03	  4.0641e-04	  7.4655e-03	  1.6641e-03	  6.8075e-06	  1.3787e-02	  1.0474e-03	  5.1577e-04	  5.2140e-04	  4.5099e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4959e-01	  1.2583e-01	  0.0000e+00	
  6.7654e+00	  5.5103e-03	  4.1117e-04	  7.6544e-03	  1.7066e-03	  6.8188e-06	  1.4314e-02	  1.1037e-03	  5.2147e-04	  5.4970e-04	  4.6390e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.4980e-01	  1.2551e-01	  0.0000e+00	
  6.7598e+00	  5.5918e-03	  4.1572e-04	  7.8364e-03	  1.7475e-03	  6.8311e-06	  1.4819e-02	  1.1573e-03	  5.2690e-04	  5.7684e-04	  4.7626e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5000e-01	  1.2521e-01	  0.0000e+00	
  6.7546e+00	  5.6702e-03	  4.2006e-04	  8.0118e-03	  1.7869e-03	  6.8442e-06	  1.5304e-02	  1.2086e-03	  5.3206e-04	  6.0290e-04	  4.8809e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5019e-01	  1.2493e-01	  0.0000e+00	
  6.7495e+00	  5.7457e-03	  4.2420e-04	  8.1809e-03	  1.8250e-03	  6.8578e-06	  1.5768e-02	  1.2577e-03	  5.3698e-04	  6.2792e-04	  4.9943e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5037e-01	  1.2465e-01	  0.0000e+00	
  6.7447e+00	  5.8183e-03	  4.2816e-04	  8.3439e-03	  1.8616e-03	  6.8719e-06	  1.6215e-02	  1.3046e-03	  5.4167e-04	  6.5195e-04	  5.1030e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5054e-01	  1.2440e-01	  0.0000e+00	
  6.7402e+00	  5.8882e-03	  4.3194e-04	  8.5011e-03	  1.8970e-03	  6.8864e-06	  1.6643e-02	  1.3496e-03	  5.4615e-04	  6.7505e-04	  5.2072e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5070e-01	  1.2415e-01	  0.0000e+00	
  6.7359e+00	  5.9555e-03	  4.3556e-04	  8.6527e-03	  1.9311e-03	  6.9011e-06	  1.7055e-02	  1.3926e-03	  5.5042e-04	  6.9726e-04	  5.3073e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5086e-01	  1.2392e-01	  0.0000e+00	
  6.7318e+00	  6.0203e-03	  4.3903e-04	  8.7989e-03	  1.9639e-03	  6.9160e-06	  1.7451e-02	  1.4340e-03	  5.5451e-04	  7.1862e-04	  5.4033e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5101e-01	  1.2369e-01	  0.0000e+00	
  6.7278e+00	  6.0827e-03	  4.4235e-04	  8.9398e-03	  1.9956e-03	  6.9310e-06	  1.7831e-02	  1.4736e-03	  5.5841e-04	  7.3916e-04	  5.4955e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5115e-01	  1.2348e-01	  0.0000e+00	
  6.7241e+00	  6.1429e-03	  4.4552e-04	  9.0758e-03	  2.0262e-03	  6.9460e-06	  1.8197e-02	  1.5116e-03	  5.6214e-04	  7.5893e-04	  5.5840e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5129e-01	  1.2327e-01	  0.0000e+00	
  6.7205e+00	  6.2008e-03	  4.4857e-04	  9.2069e-03	  2.0557e-03	  6.9610e-06	  1.8548e-02	  1.5481e-03	  5.6571e-04	  7.7796e-04	  5.6691e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5142e-01	  1.2308e-01	  0.0000e+00	
  6.7171e+00	  6.2567e-03	  4.5149e-04	  9.3333e-03	  2.0841e-03	  6.9759e-06	  1.8887e-02	  1.5832e-03	  5.6913e-04	  7.9627e-04	  5.7509e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5154e-01	  1.2289e-01	  0.0000e+00	
  6.7138e+00	  6.3106e-03	  4.5429e-04	  9.4553e-03	  2.1116e-03	  6.9907e-06	  1.9213e-02	  1.6169e-03	  5.7240e-04	  8.1391e-04	  5.8295e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5166e-01	  1.2272e-01	  0.0000e+00	
  6.7107e+00	  6.3625e-03	  4.5698e-04	  9.5730e-03	  2.1380e-03	  7.0054e-06	  1.9526e-02	  1.6492e-03	  5.7554e-04	  8.3089e-04	  5.9051e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5177e-01	  1.2255e-01	  0.0000e+00	
  6.7077e+00	  6.4126e-03	  4.5956e-04	  9.6865e-03	  2.1636e-03	  7.0199e-06	  1.9828e-02	  1.6804e-03	  5.7855e-04	  8.4725e-04	  5.9779e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5188e-01	  1.2238e-01	  0.0000e+00	
  6.7049e+00	  6.4608e-03	  4.6204e-04	  9.7960e-03	  2.1882e-03	  7.0342e-06	  2.0119e-02	  1.7103e-03	  5.8143e-04	  8.6300e-04	  6.0478e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	  2.5198e-01	  1.2223e-01	  0.0000e+00	
