          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.4999e+00	  4.3776e-03	  3.4188e-04	  5.2412e-03	  1.1385e-03	  6.2019e-07	  6.9071e-03	  2.7839e-04	  4.4141e-04	  9.7262e-05	  2.8154e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4774e+00	  4.5408e-03	  3.5020e-04	  5.5170e-03	  1.1992e-03	  6.4040e-07	  7.7276e-03	  3.7150e-04	  4.5080e-04	  1.4700e-04	  3.0253e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4560e+00	  4.6985e-03	  3.5806e-04	  5.7833e-03	  1.2578e-03	  6.6154e-07	  8.5090e-03	  4.5908e-04	  4.5962e-04	  1.9421e-04	  3.2249e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4355e+00	  4.8507e-03	  3.6551e-04	  6.0404e-03	  1.3145e-03	  6.8351e-07	  9.2545e-03	  5.4174e-04	  4.6791e-04	  2.3911e-04	  3.4148e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4160e+00	  4.9979e-03	  3.7257e-04	  6.2886e-03	  1.3691e-03	  7.0625e-07	  9.9668e-03	  6.2000e-04	  4.7572e-04	  2.8190e-04	  3.5959e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3973e+00	  5.1400e-03	  3.7929e-04	  6.5281e-03	  1.4219e-03	  7.2969e-07	  1.0648e-02	  6.9426e-04	  4.8309e-04	  3.2274e-04	  3.7687e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3794e+00	  5.2775e-03	  3.8567e-04	  6.7591e-03	  1.4729e-03	  7.5378e-07	  1.1301e-02	  7.6488e-04	  4.9006e-04	  3.6176e-04	  3.9338e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3623e+00	  5.4103e-03	  3.9175e-04	  6.9821e-03	  1.5221e-03	  7.7846e-07	  1.1926e-02	  8.3215e-04	  4.9666e-04	  3.9909e-04	  4.0917e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3458e+00	  5.5387e-03	  3.9754e-04	  7.1972e-03	  1.5695e-03	  8.0367e-07	  1.2526e-02	  8.9633e-04	  5.0291e-04	  4.3483e-04	  4.2429e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3299e+00	  5.6628e-03	  4.0307e-04	  7.4047e-03	  1.6154e-03	  8.2938e-07	  1.3102e-02	  9.5763e-04	  5.0884e-04	  4.6908e-04	  4.3877e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3147e+00	  5.7829e-03	  4.0835e-04	  7.6049e-03	  1.6596e-03	  8.5554e-07	  1.3655e-02	  1.0163e-03	  5.1447e-04	  5.0192e-04	  4.5264e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3000e+00	  5.8989e-03	  4.1339e-04	  7.7980e-03	  1.7022e-03	  8.8209e-07	  1.4186e-02	  1.0724e-03	  5.1982e-04	  5.3343e-04	  4.6595e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2859e+00	  6.0111e-03	  4.1821e-04	  7.9844e-03	  1.7434e-03	  9.0901e-07	  1.4697e-02	  1.1261e-03	  5.2491e-04	  5.6367e-04	  4.7872e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2723e+00	  6.1196e-03	  4.2283e-04	  8.1641e-03	  1.7831e-03	  9.3624e-07	  1.5188e-02	  1.1777e-03	  5.2976e-04	  5.9272e-04	  4.9098e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2591e+00	  6.2244e-03	  4.2724e-04	  8.3375e-03	  1.8215e-03	  9.6375e-07	  1.5661e-02	  1.2271e-03	  5.3438e-04	  6.2064e-04	  5.0274e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2465e+00	  6.3259e-03	  4.3147e-04	  8.5047e-03	  1.8585e-03	  9.9150e-07	  1.6116e-02	  1.2745e-03	  5.3879e-04	  6.4747e-04	  5.1405e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2343e+00	  6.4239e-03	  4.3552e-04	  8.6661e-03	  1.8942e-03	  1.0194e-06	  1.6553e-02	  1.3201e-03	  5.4299e-04	  6.7327e-04	  5.2491e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2225e+00	  6.5187e-03	  4.3941e-04	  8.8218e-03	  1.9287e-03	  1.0475e-06	  1.6975e-02	  1.3639e-03	  5.4701e-04	  6.9808e-04	  5.3536e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2112e+00	  6.6103e-03	  4.4313e-04	  8.9719e-03	  1.9619e-03	  1.0758e-06	  1.7381e-02	  1.4060e-03	  5.5084e-04	  7.2195e-04	  5.4540e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2002e+00	  6.6989e-03	  4.4671e-04	  9.1168e-03	  1.9940e-03	  1.1041e-06	  1.7772e-02	  1.4464e-03	  5.5451e-04	  7.4493e-04	  5.5505e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1896e+00	  6.7846e-03	  4.5014e-04	  9.2566e-03	  2.0250e-03	  1.1325e-06	  1.8148e-02	  1.4853e-03	  5.5801e-04	  7.6704e-04	  5.6434e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1794e+00	  6.8674e-03	  4.5344e-04	  9.3914e-03	  2.0549e-03	  1.1608e-06	  1.8511e-02	  1.5228e-03	  5.6136e-04	  7.8832e-04	  5.7328e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1696e+00	  6.9475e-03	  4.5660e-04	  9.5215e-03	  2.0837e-03	  1.1892e-06	  1.8861e-02	  1.5588e-03	  5.6457e-04	  8.0882e-04	  5.8188e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1601e+00	  7.0249e-03	  4.5964e-04	  9.6470e-03	  2.1115e-03	  1.2175e-06	  1.9198e-02	  1.5935e-03	  5.6765e-04	  8.2856e-04	  5.9016e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1509e+00	  7.0997e-03	  4.6256e-04	  9.7681e-03	  2.1384e-03	  1.2458e-06	  1.9522e-02	  1.6269e-03	  5.7059e-04	  8.4757e-04	  5.9813e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1420e+00	  7.1720e-03	  4.6537e-04	  9.8849e-03	  2.1643e-03	  1.2739e-06	  1.9835e-02	  1.6590e-03	  5.7341e-04	  8.6589e-04	  6.0580e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1335e+00	  7.2419e-03	  4.6807e-04	  9.9977e-03	  2.1893e-03	  1.3019e-06	  2.0137e-02	  1.6900e-03	  5.7612e-04	  8.8354e-04	  6.1319e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1252e+00	  7.3095e-03	  4.7066e-04	  1.0106e-02	  2.2135e-03	  1.3298e-06	  2.0428e-02	  1.7198e-03	  5.7871e-04	  9.0054e-04	  6.2030e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1172e+00	  7.3748e-03	  4.7316e-04	  1.0211e-02	  2.2368e-03	  1.3574e-06	  2.0709e-02	  1.7485e-03	  5.8120e-04	  9.1693e-04	  6.2716e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1095e+00	  7.4379e-03	  4.7556e-04	  1.0313e-02	  2.2593e-03	  1.3848e-06	  2.0980e-02	  1.7762e-03	  5.8358e-04	  9.3272e-04	  6.3376e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
