          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.6296e+00	  4.4651e-03	  3.4768e-04	  5.4762e-03	  1.1857e-03	  3.9373e-07	  7.0560e-03	  2.9626e-04	  4.5096e-04	  7.3930e-04	  2.9428e+03	  0.0000e+00	  1.4999e-01	  7.8773e-02	
  7.5968e+00	  4.6639e-03	  3.5754e-04	  5.8157e-03	  1.2599e-03	  4.1668e-07	  8.0571e-03	  4.0771e-04	  4.6198e-04	  7.6713e-04	  3.1954e+03	  0.0000e+00	  1.4999e-01	  7.9619e-02	
  7.5658e+00	  4.8560e-03	  3.6682e-04	  6.1437e-03	  1.3317e-03	  4.4064e-07	  9.0101e-03	  5.1251e-04	  4.7229e-04	  7.9576e-04	  3.4354e+03	  0.0000e+00	  1.4999e-01	  8.0378e-02	
  7.5365e+00	  5.0417e-03	  3.7559e-04	  6.4606e-03	  1.4011e-03	  4.6553e-07	  9.9191e-03	  6.1143e-04	  4.8195e-04	  8.2504e-04	  3.6637e+03	  0.0000e+00	  1.4999e-01	  8.1056e-02	
  7.5088e+00	  5.2213e-03	  3.8388e-04	  6.7667e-03	  1.4681e-03	  4.9126e-07	  1.0788e-02	  7.0512e-04	  4.9104e-04	  8.5486e-04	  3.8815e+03	  0.0000e+00	  1.4999e-01	  8.1658e-02	
  7.4825e+00	  5.3951e-03	  3.9173e-04	  7.0623e-03	  1.5328e-03	  5.1774e-07	  1.1618e-02	  7.9407e-04	  4.9960e-04	  8.8508e-04	  4.0894e+03	  0.0000e+00	  1.4999e-01	  8.2189e-02	
  7.4576e+00	  5.5632e-03	  3.9919e-04	  7.3479e-03	  1.5953e-03	  5.4489e-07	  1.2414e-02	  8.7871e-04	  5.0768e-04	  9.1561e-04	  4.2881e+03	  0.0000e+00	  1.4999e-01	  8.2654e-02	
  7.4340e+00	  5.7258e-03	  4.0627e-04	  7.6236e-03	  1.6557e-03	  5.7263e-07	  1.3177e-02	  9.5940e-04	  5.1532e-04	  9.4634e-04	  4.4782e+03	  0.0000e+00	  1.4999e-01	  8.3058e-02	
  7.4115e+00	  5.8833e-03	  4.1302e-04	  7.8899e-03	  1.7140e-03	  6.0087e-07	  1.3909e-02	  1.0364e-03	  5.2255e-04	  9.7717e-04	  4.6603e+03	  0.0000e+00	  1.4999e-01	  8.3406e-02	
  7.3901e+00	  6.0356e-03	  4.1944e-04	  8.1470e-03	  1.7702e-03	  6.2954e-07	  1.4611e-02	  1.1101e-03	  5.2941e-04	  1.0080e-03	  4.8348e+03	  0.0000e+00	  1.4999e-01	  8.3701e-02	
  7.3698e+00	  6.1831e-03	  4.2556e-04	  8.3953e-03	  1.8246e-03	  6.5855e-07	  1.5286e-02	  1.1805e-03	  5.3591e-04	  1.0388e-03	  5.0021e+03	  0.0000e+00	  1.4999e-01	  8.3949e-02	
  7.3505e+00	  6.3258e-03	  4.3141e-04	  8.6350e-03	  1.8771e-03	  6.8783e-07	  1.5935e-02	  1.2480e-03	  5.4209e-04	  1.0695e-03	  5.1627e+03	  0.0000e+00	  1.4999e-01	  8.4154e-02	
  7.3321e+00	  6.4638e-03	  4.3699e-04	  8.8664e-03	  1.9278e-03	  7.1731e-07	  1.6558e-02	  1.3127e-03	  5.4797e-04	  1.1000e-03	  5.3168e+03	  0.0000e+00	  1.4999e-01	  8.4319e-02	
  7.3146e+00	  6.5975e-03	  4.4233e-04	  9.0899e-03	  1.9767e-03	  7.4691e-07	  1.7158e-02	  1.3748e-03	  5.5356e-04	  1.1302e-03	  5.4648e+03	  0.0000e+00	  1.4999e-01	  8.4448e-02	
  7.2979e+00	  6.7268e-03	  4.4743e-04	  9.3056e-03	  2.0239e-03	  7.7657e-07	  1.7735e-02	  1.4344e-03	  5.5889e-04	  1.1601e-03	  5.6070e+03	  0.0000e+00	  1.4999e-01	  8.4545e-02	
  7.2820e+00	  6.8519e-03	  4.5232e-04	  9.5139e-03	  2.0695e-03	  8.0622e-07	  1.8291e-02	  1.4916e-03	  5.6397e-04	  1.1897e-03	  5.7437e+03	  0.0000e+00	  1.4999e-01	  8.4612e-02	
  7.2669e+00	  6.9730e-03	  4.5700e-04	  9.7150e-03	  2.1136e-03	  8.3581e-07	  1.8826e-02	  1.5466e-03	  5.6882e-04	  1.2188e-03	  5.8751e+03	  0.0000e+00	  1.4999e-01	  8.4654e-02	
  7.2525e+00	  7.0902e-03	  4.6148e-04	  9.9091e-03	  2.1561e-03	  8.6527e-07	  1.9341e-02	  1.5995e-03	  5.7344e-04	  1.2475e-03	  6.0014e+03	  0.0000e+00	  1.4999e-01	  8.4672e-02	
  7.2387e+00	  7.2035e-03	  4.6578e-04	  1.0097e-02	  2.1971e-03	  8.9456e-07	  1.9837e-02	  1.6503e-03	  5.7786e-04	  1.2758e-03	  6.1229e+03	  0.0000e+00	  1.4999e-01	  8.4669e-02	
  7.2256e+00	  7.3132e-03	  4.6990e-04	  1.0277e-02	  2.2368e-03	  9.2362e-07	  2.0314e-02	  1.6992e-03	  5.8209e-04	  1.3035e-03	  6.2399e+03	  0.0000e+00	  1.4999e-01	  8.4647e-02	
  7.2131e+00	  7.4193e-03	  4.7386e-04	  1.0452e-02	  2.2750e-03	  9.5243e-07	  2.0775e-02	  1.7463e-03	  5.8612e-04	  1.3307e-03	  6.3524e+03	  0.0000e+00	  1.4998e-01	  8.4609e-02	
  7.2012e+00	  7.5219e-03	  4.7765e-04	  1.0621e-02	  2.3119e-03	  9.8092e-07	  2.1219e-02	  1.7916e-03	  5.8999e-04	  1.3574e-03	  6.4607e+03	  0.0000e+00	  1.4998e-01	  8.4557e-02	
  7.1898e+00	  7.6212e-03	  4.8129e-04	  1.0784e-02	  2.3476e-03	  1.0091e-06	  2.1646e-02	  1.8352e-03	  5.9368e-04	  1.3836e-03	  6.5650e+03	  0.0000e+00	  1.4998e-01	  8.4492e-02	
  7.1789e+00	  7.7172e-03	  4.8479e-04	  1.0941e-02	  2.3820e-03	  1.0369e-06	  2.2058e-02	  1.8772e-03	  5.9722e-04	  1.4091e-03	  6.6654e+03	  0.0000e+00	  1.4998e-01	  8.4416e-02	
  7.1686e+00	  7.8101e-03	  4.8815e-04	  1.1092e-02	  2.4153e-03	  1.0642e-06	  2.2456e-02	  1.9176e-03	  6.0061e-04	  1.4341e-03	  6.7621e+03	  0.0000e+00	  1.4998e-01	  8.4331e-02	
  7.1586e+00	  7.8999e-03	  4.9138e-04	  1.1239e-02	  2.4473e-03	  1.0912e-06	  2.2839e-02	  1.9566e-03	  6.0386e-04	  1.4585e-03	  6.8552e+03	  0.0000e+00	  1.4998e-01	  8.4238e-02	
  7.1492e+00	  7.9868e-03	  4.9448e-04	  1.1380e-02	  2.4783e-03	  1.1177e-06	  2.3208e-02	  1.9941e-03	  6.0698e-04	  1.4823e-03	  6.9449e+03	  0.0000e+00	  1.4998e-01	  8.4137e-02	
  7.1401e+00	  8.0708e-03	  4.9747e-04	  1.1517e-02	  2.5082e-03	  1.1438e-06	  2.3565e-02	  2.0303e-03	  6.0996e-04	  1.5056e-03	  7.0313e+03	  0.0000e+00	  1.4998e-01	  8.4031e-02	
  7.1315e+00	  8.1520e-03	  5.0034e-04	  1.1648e-02	  2.5371e-03	  1.1693e-06	  2.3908e-02	  2.0651e-03	  6.1282e-04	  1.5282e-03	  7.1145e+03	  0.0000e+00	  1.4998e-01	  8.3920e-02	
  7.1232e+00	  8.2305e-03	  5.0310e-04	  1.1776e-02	  2.5649e-03	  1.1944e-06	  2.4240e-02	  2.0987e-03	  6.1557e-04	  1.5502e-03	  7.1948e+03	  0.0000e+00	  1.4998e-01	  8.3805e-02	
