          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.6288e+00	  4.4488e-03	  3.4802e-04	  5.4867e-03	  1.1900e-03	  3.9239e-07	  7.0554e-03	  2.9620e-04	  4.5197e-04	  7.3896e-04	  2.9427e+03	  0.0000e+00	  1.4999e-01	  7.8788e-02	
  7.5956e+00	  4.6271e-03	  3.5794e-04	  5.8334e-03	  1.2661e-03	  4.1516e-07	  8.0558e-03	  4.0753e-04	  4.6348e-04	  7.6655e-04	  3.1949e+03	  0.0000e+00	  1.4999e-01	  7.9639e-02	
  7.5644e+00	  4.7986e-03	  3.6728e-04	  6.1687e-03	  1.3398e-03	  4.3895e-07	  9.0080e-03	  5.1219e-04	  4.7426e-04	  7.9496e-04	  3.4345e+03	  0.0000e+00	  1.4999e-01	  8.0403e-02	
  7.5348e+00	  4.9636e-03	  3.7608e-04	  6.4930e-03	  1.4111e-03	  4.6366e-07	  9.9162e-03	  6.1096e-04	  4.8438e-04	  8.2403e-04	  3.6624e+03	  0.0000e+00	  1.4999e-01	  8.1086e-02	
  7.5069e+00	  5.1225e-03	  3.8441e-04	  6.8066e-03	  1.4801e-03	  4.8922e-07	  1.0784e-02	  7.0448e-04	  4.9392e-04	  8.5364e-04	  3.8798e+03	  0.0000e+00	  1.4999e-01	  8.1693e-02	
  7.4804e+00	  5.2757e-03	  3.9228e-04	  7.1097e-03	  1.5467e-03	  5.1553e-07	  1.1614e-02	  7.9326e-04	  5.0292e-04	  8.8367e-04	  4.0872e+03	  0.0000e+00	  1.4999e-01	  8.2229e-02	
  7.4553e+00	  5.4233e-03	  3.9976e-04	  7.4027e-03	  1.6112e-03	  5.4252e-07	  1.2409e-02	  8.7772e-04	  5.1142e-04	  9.1400e-04	  4.2855e+03	  0.0000e+00	  1.4999e-01	  8.2698e-02	
  7.4314e+00	  5.5658e-03	  4.0685e-04	  7.6858e-03	  1.6735e-03	  5.7010e-07	  1.3171e-02	  9.5823e-04	  5.1947e-04	  9.4454e-04	  4.4752e+03	  0.0000e+00	  1.4999e-01	  8.3107e-02	
  7.4087e+00	  5.7032e-03	  4.1359e-04	  7.9594e-03	  1.7337e-03	  5.9818e-07	  1.3902e-02	  1.0351e-03	  5.2710e-04	  9.7519e-04	  4.6569e+03	  0.0000e+00	  1.4998e-01	  8.3459e-02	
  7.3872e+00	  5.8358e-03	  4.2001e-04	  8.2238e-03	  1.7919e-03	  6.2668e-07	  1.4604e-02	  1.1086e-03	  5.3434e-04	  1.0059e-03	  4.8310e+03	  0.0000e+00	  1.4998e-01	  8.3759e-02	
  7.3667e+00	  5.9639e-03	  4.2613e-04	  8.4792e-03	  1.8481e-03	  6.5554e-07	  1.5278e-02	  1.1789e-03	  5.4121e-04	  1.0365e-03	  4.9979e+03	  0.0000e+00	  1.4998e-01	  8.4011e-02	
  7.3473e+00	  6.0876e-03	  4.3196e-04	  8.7259e-03	  1.9025e-03	  6.8467e-07	  1.5926e-02	  1.2462e-03	  5.4775e-04	  1.0670e-03	  5.1580e+03	  0.0000e+00	  1.4998e-01	  8.4220e-02	
  7.3287e+00	  6.2070e-03	  4.3753e-04	  8.9642e-03	  1.9550e-03	  7.1399e-07	  1.6549e-02	  1.3107e-03	  5.5398e-04	  1.0973e-03	  5.3117e+03	  0.0000e+00	  1.4998e-01	  8.4390e-02	
  7.3111e+00	  6.3223e-03	  4.4285e-04	  9.1945e-03	  2.0057e-03	  7.4344e-07	  1.7148e-02	  1.3727e-03	  5.5991e-04	  1.1274e-03	  5.4594e+03	  0.0000e+00	  1.4998e-01	  8.4523e-02	
  7.2943e+00	  6.4337e-03	  4.4794e-04	  9.4169e-03	  2.0548e-03	  7.7295e-07	  1.7724e-02	  1.4321e-03	  5.6556e-04	  1.1571e-03	  5.6012e+03	  0.0000e+00	  1.4998e-01	  8.4624e-02	
  7.2783e+00	  6.5413e-03	  4.5280e-04	  9.6316e-03	  2.1021e-03	  8.0246e-07	  1.8279e-02	  1.4892e-03	  5.7095e-04	  1.1865e-03	  5.7375e+03	  0.0000e+00	  1.4998e-01	  8.4695e-02	
  7.2630e+00	  6.6453e-03	  4.5745e-04	  9.8391e-03	  2.1479e-03	  8.3190e-07	  1.8814e-02	  1.5440e-03	  5.7610e-04	  1.2155e-03	  5.8685e+03	  0.0000e+00	  1.4998e-01	  8.4741e-02	
  7.2485e+00	  6.7457e-03	  4.6191e-04	  1.0039e-02	  2.1920e-03	  8.6122e-07	  1.9328e-02	  1.5968e-03	  5.8102e-04	  1.2441e-03	  5.9945e+03	  0.0000e+00	  1.4998e-01	  8.4762e-02	
  7.2347e+00	  6.8428e-03	  4.6618e-04	  1.0233e-02	  2.2347e-03	  8.9037e-07	  1.9824e-02	  1.6475e-03	  5.8572e-04	  1.2722e-03	  6.1157e+03	  0.0000e+00	  1.4998e-01	  8.4763e-02	
  7.2215e+00	  6.9365e-03	  4.7027e-04	  1.0420e-02	  2.2760e-03	  9.1931e-07	  2.0301e-02	  1.6963e-03	  5.9022e-04	  1.2998e-03	  6.2323e+03	  0.0000e+00	  1.4998e-01	  8.4745e-02	
  7.2089e+00	  7.0271e-03	  4.7419e-04	  1.0600e-02	  2.3158e-03	  9.4797e-07	  2.0761e-02	  1.7432e-03	  5.9452e-04	  1.3269e-03	  6.3445e+03	  0.0000e+00	  1.4998e-01	  8.4710e-02	
  7.1969e+00	  7.1147e-03	  4.7795e-04	  1.0774e-02	  2.3542e-03	  9.7634e-07	  2.1204e-02	  1.7884e-03	  5.9864e-04	  1.3535e-03	  6.4525e+03	  0.0000e+00	  1.4998e-01	  8.4662e-02	
  7.1854e+00	  7.1993e-03	  4.8156e-04	  1.0943e-02	  2.3914e-03	  1.0044e-06	  2.1631e-02	  1.8319e-03	  6.0259e-04	  1.3795e-03	  6.5564e+03	  0.0000e+00	  1.4998e-01	  8.4600e-02	
  7.1745e+00	  7.2810e-03	  4.8503e-04	  1.1105e-02	  2.4273e-03	  1.0320e-06	  2.2043e-02	  1.8738e-03	  6.0636e-04	  1.4050e-03	  6.6565e+03	  0.0000e+00	  1.4998e-01	  8.4527e-02	
  7.1640e+00	  7.3600e-03	  4.8835e-04	  1.1262e-02	  2.4619e-03	  1.0593e-06	  2.2440e-02	  1.9141e-03	  6.0998e-04	  1.4298e-03	  6.7529e+03	  0.0000e+00	  1.4998e-01	  8.4445e-02	
  7.1540e+00	  7.4363e-03	  4.9155e-04	  1.1414e-02	  2.4954e-03	  1.0861e-06	  2.2823e-02	  1.9530e-03	  6.1346e-04	  1.4541e-03	  6.8457e+03	  0.0000e+00	  1.4998e-01	  8.4354e-02	
  7.1445e+00	  7.5101e-03	  4.9462e-04	  1.1560e-02	  2.5277e-03	  1.1125e-06	  2.3192e-02	  1.9904e-03	  6.1678e-04	  1.4778e-03	  6.9351e+03	  0.0000e+00	  1.4998e-01	  8.4257e-02	
  7.1354e+00	  7.5813e-03	  4.9757e-04	  1.1701e-02	  2.5589e-03	  1.1384e-06	  2.3548e-02	  2.0265e-03	  6.1998e-04	  1.5010e-03	  7.0213e+03	  0.0000e+00	  1.4998e-01	  8.4153e-02	
  7.1267e+00	  7.6502e-03	  5.0040e-04	  1.1837e-02	  2.5890e-03	  1.1639e-06	  2.3891e-02	  2.0613e-03	  6.2304e-04	  1.5235e-03	  7.1042e+03	  0.0000e+00	  1.4997e-01	  8.4045e-02	
  7.1184e+00	  7.7167e-03	  5.0313e-04	  1.1969e-02	  2.6181e-03	  1.1889e-06	  2.4222e-02	  2.0948e-03	  6.2598e-04	  1.5454e-03	  7.1842e+03	  0.0000e+00	  1.4997e-01	  8.3933e-02	
