          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.8502e+00	  7.9650e-03	  5.7911e-04	  1.5576e-02	  3.4092e-03	  2.6196e-06	  3.0169e-02	  2.5903e-03	  7.3926e-04	  1.7197e-03	  8.7168e+03	  3.5780e-02	  1.3211e-01	  0.0000e+00	
  6.6977e+00	  1.1057e-02	  7.4444e-04	  2.5911e-02	  5.7011e-03	  3.2279e-06	  5.3457e-02	  4.9190e-03	  9.4585e-04	  2.9629e-03	  1.4010e+04	  3.8446e-02	  1.3077e-01	  4.6517e-04	
  6.5844e+00	  1.3918e-02	  8.7480e-04	  3.5694e-02	  7.8868e-03	  4.0040e-06	  7.5953e-02	  7.1685e-03	  1.1066e-03	  3.3954e-03	  1.8753e+04	  3.7665e-02	  1.3116e-01	  3.6795e-03	
  6.4968e+00	  1.6688e-02	  9.8614e-04	  4.5144e-02	  1.0010e-02	  4.8152e-06	  9.7681e-02	  9.3413e-03	  1.2421e-03	  3.8330e-03	  2.3133e+04	  3.6286e-02	  1.3185e-01	  6.7061e-03	
  6.4253e+00	  1.9398e-02	  1.0842e-03	  5.4256e-02	  1.2067e-02	  5.6559e-06	  1.1867e-01	  1.1440e-02	  1.3601e-03	  4.2702e-03	  2.7210e+04	  3.4595e-02	  1.3270e-01	  9.5703e-03	
  6.3650e+00	  2.2059e-02	  1.1723e-03	  6.3034e-02	  1.4059e-02	  6.5220e-06	  1.3894e-01	  1.3467e-02	  1.4648e-03	  4.7046e-03	  3.1024e+04	  3.2740e-02	  1.3363e-01	  1.2287e-02	
  6.3129e+00	  2.4675e-02	  1.2525e-03	  7.1489e-02	  1.5985e-02	  7.4093e-06	  1.5852e-01	  1.5425e-02	  1.5590e-03	  5.1347e-03	  3.4605e+04	  3.0801e-02	  1.3459e-01	  1.4866e-02	
  6.2672e+00	  2.7249e-02	  1.3263e-03	  7.9630e-02	  1.7848e-02	  8.3143e-06	  1.7743e-01	  1.7316e-02	  1.6446e-03	  5.5592e-03	  3.7976e+04	  2.8827e-02	  1.3558e-01	  1.7319e-02	
  6.2266e+00	  2.9780e-02	  1.3946e-03	  8.7471e-02	  1.9649e-02	  9.2335e-06	  1.9570e-01	  1.9143e-02	  1.7231e-03	  5.9775e-03	  4.1157e+04	  2.6848e-02	  1.3657e-01	  1.9651e-02	
  6.1901e+00	  3.2266e-02	  1.4582e-03	  9.5020e-02	  2.1389e-02	  1.0164e-05	  2.1334e-01	  2.0907e-02	  1.7954e-03	  6.3889e-03	  4.4165e+04	  2.4883e-02	  1.3755e-01	  2.1872e-02	
  6.1570e+00	  3.4706e-02	  1.5177e-03	  1.0229e-01	  2.3072e-02	  1.1102e-05	  2.3038e-01	  2.2611e-02	  1.8624e-03	  6.7928e-03	  4.7013e+04	  2.2943e-02	  1.3852e-01	  2.3986e-02	
  6.1269e+00	  3.7099e-02	  1.5736e-03	  1.0929e-01	  2.4697e-02	  1.2045e-05	  2.4683e-01	  2.4256e-02	  1.9248e-03	  7.1890e-03	  4.9714e+04	  2.1036e-02	  1.3947e-01	  2.6002e-02	
  6.0992e+00	  3.9444e-02	  1.6263e-03	  1.1604e-01	  2.6268e-02	  1.2992e-05	  2.6273e-01	  2.5846e-02	  1.9830e-03	  7.5771e-03	  5.2278e+04	  1.9167e-02	  1.4041e-01	  2.7923e-02	
  6.0738e+00	  4.1739e-02	  1.6760e-03	  1.2254e-01	  2.7786e-02	  1.3939e-05	  2.7808e-01	  2.7381e-02	  2.0375e-03	  7.9568e-03	  5.4715e+04	  1.7340e-02	  1.4132e-01	  2.9755e-02	
  6.0503e+00	  4.3985e-02	  1.7232e-03	  1.2880e-01	  2.9253e-02	  1.4884e-05	  2.9291e-01	  2.8863e-02	  2.0887e-03	  8.3280e-03	  5.7034e+04	  1.5557e-02	  1.4221e-01	  3.1503e-02	
  6.0284e+00	  4.6180e-02	  1.7679e-03	  1.3483e-01	  3.0670e-02	  1.5826e-05	  3.0722e-01	  3.0295e-02	  2.1368e-03	  8.6906e-03	  5.9242e+04	  1.3819e-02	  1.4308e-01	  3.3171e-02	
  6.0081e+00	  4.8324e-02	  1.8103e-03	  1.4064e-01	  3.2040e-02	  1.6762e-05	  3.2105e-01	  3.1678e-02	  2.1822e-03	  9.0445e-03	  6.1346e+04	  1.2126e-02	  1.4393e-01	  3.4763e-02	
  5.9891e+00	  5.0418e-02	  1.8507e-03	  1.4624e-01	  3.3362e-02	  1.7692e-05	  3.3441e-01	  3.3013e-02	  2.2251e-03	  9.3897e-03	  6.3352e+04	  1.0479e-02	  1.4475e-01	  3.6284e-02	
  5.9714e+00	  5.2460e-02	  1.8892e-03	  1.5163e-01	  3.4640e-02	  1.8614e-05	  3.4731e-01	  3.4303e-02	  2.2657e-03	  9.7262e-03	  6.5266e+04	  8.8785e-03	  1.4555e-01	  3.7737e-02	
  5.9547e+00	  5.4451e-02	  1.9260e-03	  1.5683e-01	  3.5875e-02	  1.9526e-05	  3.5976e-01	  3.5549e-02	  2.3041e-03	  1.0054e-02	  6.7094e+04	  7.3230e-03	  1.4633e-01	  3.9126e-02	
  5.9390e+00	  5.6392e-02	  1.9610e-03	  1.6185e-01	  3.7068e-02	  2.0427e-05	  3.7180e-01	  3.6752e-02	  2.3405e-03	  1.0373e-02	  6.8841e+04	  5.8126e-03	  1.4708e-01	  4.0453e-02	
  5.9243e+00	  5.8282e-02	  1.9945e-03	  1.6668e-01	  3.8220e-02	  2.1317e-05	  3.8341e-01	  3.7914e-02	  2.3751e-03	  1.0683e-02	  7.0510e+04	  4.3464e-03	  1.4782e-01	  4.1722e-02	
  5.9104e+00	  6.0123e-02	  2.0266e-03	  1.7134e-01	  3.9334e-02	  2.2194e-05	  3.9464e-01	  3.9036e-02	  2.4080e-03	  1.0985e-02	  7.2106e+04	  2.9239e-03	  1.4853e-01	  4.2935e-02	
  5.8973e+00	  6.1914e-02	  2.0573e-03	  1.7583e-01	  4.0409e-02	  2.3058e-05	  4.0547e-01	  4.0119e-02	  2.4393e-03	  1.1279e-02	  7.3634e+04	  1.5443e-03	  1.4922e-01	  4.4096e-02	
  5.8848e+00	  6.3656e-02	  2.0866e-03	  1.8016e-01	  4.1448e-02	  2.3908e-05	  4.1594e-01	  4.1166e-02	  2.4691e-03	  1.1564e-02	  7.5096e+04	  2.0672e-04	  1.4989e-01	  4.5206e-02	
  5.8711e+00	  6.5353e-02	  2.1148e-03	  1.8436e-01	  4.2456e-02	  2.4959e-05	  4.2604e-01	  4.2177e-02	  2.4975e-03	  1.1922e-02	  7.6497e+04	  0.0000e+00	  1.4999e-01	  4.5955e-02	
  5.8578e+00	  6.7002e-02	  2.1419e-03	  1.8841e-01	  4.3431e-02	  2.6036e-05	  4.3580e-01	  4.3153e-02	  2.5247e-03	  1.2284e-02	  7.7840e+04	  0.0000e+00	  1.4999e-01	  4.6604e-02	
  5.8452e+00	  6.8604e-02	  2.1678e-03	  1.9232e-01	  4.4372e-02	  2.7098e-05	  4.4523e-01	  4.4095e-02	  2.5506e-03	  1.2638e-02	  7.9126e+04	  0.0000e+00	  1.4999e-01	  4.7214e-02	
  5.8332e+00	  7.0161e-02	  2.1927e-03	  1.9609e-01	  4.5282e-02	  2.8142e-05	  4.5433e-01	  4.5005e-02	  2.5753e-03	  1.2981e-02	  8.0359e+04	  0.0000e+00	  1.4999e-01	  4.7787e-02	
  5.8219e+00	  7.1674e-02	  2.2166e-03	  1.9973e-01	  4.6160e-02	  2.9169e-05	  4.6312e-01	  4.5884e-02	  2.5990e-03	  1.3315e-02	  8.1542e+04	  0.0000e+00	  1.4999e-01	  4.8327e-02	
