          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.5107e+00	  4.3493e-03	  3.3900e-04	  5.1249e-03	  1.1154e-03	  6.1426e-07	  6.6220e-03	  2.4572e-04	  4.3723e-04	  7.9861e-05	  2.7423e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	
  7.4960e+00	  4.4864e-03	  3.4465e-04	  5.2984e-03	  1.1540e-03	  6.2760e-07	  7.1743e-03	  3.0886e-04	  4.4300e-04	  1.1335e-04	  2.8840e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4820e+00	  4.6195e-03	  3.5004e-04	  5.4657e-03	  1.1914e-03	  6.4118e-07	  7.7025e-03	  3.6873e-04	  4.4845e-04	  1.4531e-04	  3.0194e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4685e+00	  4.7485e-03	  3.5518e-04	  5.6268e-03	  1.2274e-03	  6.5498e-07	  8.2081e-03	  4.2559e-04	  4.5361e-04	  1.7584e-04	  3.1488e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4557e+00	  4.8737e-03	  3.6009e-04	  5.7822e-03	  1.2621e-03	  6.6893e-07	  8.6924e-03	  4.7970e-04	  4.5849e-04	  2.0503e-04	  3.2726e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4433e+00	  4.9950e-03	  3.6479e-04	  5.9319e-03	  1.2956e-03	  6.8303e-07	  9.1567e-03	  5.3124e-04	  4.6313e-04	  2.3296e-04	  3.3911e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4315e+00	  5.1127e-03	  3.6928e-04	  6.0763e-03	  1.3279e-03	  6.9723e-07	  9.6021e-03	  5.8042e-04	  4.6753e-04	  2.5972e-04	  3.5047e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4201e+00	  5.2267e-03	  3.7359e-04	  6.2154e-03	  1.3591e-03	  7.1151e-07	  1.0030e-02	  6.2738e-04	  4.7171e-04	  2.8536e-04	  3.6135e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4091e+00	  5.3371e-03	  3.7771e-04	  6.3496e-03	  1.3892e-03	  7.2585e-07	  1.0440e-02	  6.7228e-04	  4.7569e-04	  3.0996e-04	  3.7179e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3986e+00	  5.4442e-03	  3.8166e-04	  6.4788e-03	  1.4182e-03	  7.4022e-07	  1.0835e-02	  7.1523e-04	  4.7947e-04	  3.3355e-04	  3.8181e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3885e+00	  5.5478e-03	  3.8544e-04	  6.6035e-03	  1.4462e-03	  7.5459e-07	  1.1214e-02	  7.5635e-04	  4.8308e-04	  3.5621e-04	  3.9142e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3787e+00	  5.6483e-03	  3.8908e-04	  6.7237e-03	  1.4733e-03	  7.6895e-07	  1.1578e-02	  7.9575e-04	  4.8651e-04	  3.7797e-04	  4.0066e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3694e+00	  5.7455e-03	  3.9256e-04	  6.8395e-03	  1.4993e-03	  7.8328e-07	  1.1929e-02	  8.3353e-04	  4.8979e-04	  3.9887e-04	  4.0953e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3603e+00	  5.8397e-03	  3.9591e-04	  6.9512e-03	  1.5245e-03	  7.9756e-07	  1.2266e-02	  8.6976e-04	  4.9292e-04	  4.1896e-04	  4.1805e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3516e+00	  5.9309e-03	  3.9912e-04	  7.0589e-03	  1.5487e-03	  8.1177e-07	  1.2590e-02	  9.0454e-04	  4.9591e-04	  4.3828e-04	  4.2625e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3432e+00	  6.0191e-03	  4.0221e-04	  7.1628e-03	  1.5722e-03	  8.2591e-07	  1.2903e-02	  9.3793e-04	  4.9876e-04	  4.5685e-04	  4.3412e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3351e+00	  6.1046e-03	  4.0517e-04	  7.2629e-03	  1.5947e-03	  8.3994e-07	  1.3203e-02	  9.7000e-04	  5.0149e-04	  4.7472e-04	  4.4170e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3273e+00	  6.1873e-03	  4.0802e-04	  7.3595e-03	  1.6165e-03	  8.5387e-07	  1.3493e-02	  1.0008e-03	  5.0410e-04	  4.9192e-04	  4.4899e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3198e+00	  6.2673e-03	  4.1076e-04	  7.4526e-03	  1.6376e-03	  8.6768e-07	  1.3772e-02	  1.0304e-03	  5.0660e-04	  5.0846e-04	  4.5600e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3126e+00	  6.3447e-03	  4.1340e-04	  7.5425e-03	  1.6579e-03	  8.8135e-07	  1.4040e-02	  1.0589e-03	  5.0899e-04	  5.2439e-04	  4.6275e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3056e+00	  6.4197e-03	  4.1593e-04	  7.6291e-03	  1.6775e-03	  8.9488e-07	  1.4299e-02	  1.0863e-03	  5.1128e-04	  5.3973e-04	  4.6925e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2988e+00	  6.4922e-03	  4.1837e-04	  7.7126e-03	  1.6964e-03	  9.0826e-07	  1.4549e-02	  1.1126e-03	  5.1347e-04	  5.5449e-04	  4.7550e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2923e+00	  6.5623e-03	  4.2072e-04	  7.7932e-03	  1.7146e-03	  9.2147e-07	  1.4789e-02	  1.1380e-03	  5.1557e-04	  5.6871e-04	  4.8153e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2860e+00	  6.6301e-03	  4.2298e-04	  7.8709e-03	  1.7322e-03	  9.3452e-07	  1.5020e-02	  1.1624e-03	  5.1758e-04	  5.8241e-04	  4.8732e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2800e+00	  6.6958e-03	  4.2515e-04	  7.9459e-03	  1.7492e-03	  9.4738e-07	  1.5244e-02	  1.1859e-03	  5.1952e-04	  5.9561e-04	  4.9291e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2741e+00	  6.7592e-03	  4.2724e-04	  8.0182e-03	  1.7656e-03	  9.6007e-07	  1.5459e-02	  1.2085e-03	  5.2137e-04	  6.0832e-04	  4.9829e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2685e+00	  6.8206e-03	  4.2926e-04	  8.0880e-03	  1.7814e-03	  9.7256e-07	  1.5666e-02	  1.2303e-03	  5.2314e-04	  6.2058e-04	  5.0347e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2630e+00	  6.8800e-03	  4.3120e-04	  8.1553e-03	  1.7967e-03	  9.8485e-07	  1.5866e-02	  1.2512e-03	  5.2485e-04	  6.3238e-04	  5.0846e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2578e+00	  6.9374e-03	  4.3307e-04	  8.2202e-03	  1.8114e-03	  9.9694e-07	  1.6059e-02	  1.2714e-03	  5.2649e-04	  6.4376e-04	  5.1328e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2527e+00	  6.9929e-03	  4.3486e-04	  8.2829e-03	  1.8256e-03	  1.0088e-06	  1.6245e-02	  1.2909e-03	  5.2806e-04	  6.5473e-04	  5.1791e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
