          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.4806e+00	  4.2879e-03	  3.3677e-04	  5.0948e-03	  1.1054e-03	  6.7671e-07	  6.3585e-03	  2.1171e-04	  4.3485e-04	  4.4007e-05	  2.6816e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4659e+00	  4.3587e-03	  3.3968e-04	  5.1849e-03	  1.1255e-03	  7.0051e-07	  6.6317e-03	  2.4195e-04	  4.3776e-04	  6.0718e-05	  2.7529e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4517e+00	  4.4272e-03	  3.4248e-04	  5.2720e-03	  1.1448e-03	  7.2458e-07	  6.8945e-03	  2.7093e-04	  4.4055e-04	  7.6774e-05	  2.8214e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4380e+00	  4.4935e-03	  3.4516e-04	  5.3559e-03	  1.1634e-03	  7.4889e-07	  7.1474e-03	  2.9873e-04	  4.4321e-04	  9.2207e-05	  2.8873e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4248e+00	  4.5578e-03	  3.4774e-04	  5.4369e-03	  1.1814e-03	  7.7341e-07	  7.3909e-03	  3.2541e-04	  4.4575e-04	  1.0704e-04	  2.9507e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4120e+00	  4.6199e-03	  3.5021e-04	  5.5151e-03	  1.1988e-03	  7.9811e-07	  7.6254e-03	  3.5102e-04	  4.4819e-04	  1.2131e-04	  3.0116e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3997e+00	  4.6800e-03	  3.5259e-04	  5.5905e-03	  1.2156e-03	  8.2295e-07	  7.8511e-03	  3.7562e-04	  4.5052e-04	  1.3504e-04	  3.0702e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3878e+00	  4.7382e-03	  3.5487e-04	  5.6633e-03	  1.2318e-03	  8.4792e-07	  8.0686e-03	  3.9925e-04	  4.5276e-04	  1.4824e-04	  3.1266e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3763e+00	  4.7945e-03	  3.5707e-04	  5.7336e-03	  1.2475e-03	  8.7298e-07	  8.2781e-03	  4.2196e-04	  4.5490e-04	  1.6095e-04	  3.1809e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3651e+00	  4.8490e-03	  3.5918e-04	  5.8013e-03	  1.2626e-03	  8.9810e-07	  8.4799e-03	  4.4380e-04	  4.5695e-04	  1.7318e-04	  3.2331e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.3544e+00	  4.9017e-03	  3.6121e-04	  5.8667e-03	  1.2772e-03	  9.2326e-07	  8.6744e-03	  4.6480e-04	  4.5892e-04	  1.8496e-04	  3.2834e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.3440e+00	  4.9527e-03	  3.6316e-04	  5.9298e-03	  1.2912e-03	  9.4843e-07	  8.8618e-03	  4.8499e-04	  4.6080e-04	  1.9630e-04	  3.3319e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.3340e+00	  5.0020e-03	  3.6504e-04	  5.9907e-03	  1.3048e-03	  9.7358e-07	  9.0424e-03	  5.0443e-04	  4.6261e-04	  2.0722e-04	  3.3785e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.3243e+00	  5.0497e-03	  3.6684e-04	  6.0495e-03	  1.3179e-03	  9.9868e-07	  9.2166e-03	  5.2313e-04	  4.6435e-04	  2.1773e-04	  3.4235e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.3149e+00	  5.0958e-03	  3.6858e-04	  6.1062e-03	  1.3306e-03	  1.0237e-06	  9.3844e-03	  5.4112e-04	  4.6601e-04	  2.2786e-04	  3.4667e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.3059e+00	  5.1404e-03	  3.7025e-04	  6.1609e-03	  1.3428e-03	  1.0486e-06	  9.5462e-03	  5.5845e-04	  4.6761e-04	  2.3762e-04	  3.5084e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2971e+00	  5.1835e-03	  3.7186e-04	  6.2137e-03	  1.3546e-03	  1.0735e-06	  9.7023e-03	  5.7513e-04	  4.6915e-04	  2.4702e-04	  3.5486e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2887e+00	  5.2252e-03	  3.7341e-04	  6.2646e-03	  1.3660e-03	  1.0981e-06	  9.8527e-03	  5.9120e-04	  4.7062e-04	  2.5608e-04	  3.5873e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2805e+00	  5.2656e-03	  3.7490e-04	  6.3138e-03	  1.3770e-03	  1.1227e-06	  9.9978e-03	  6.0667e-04	  4.7204e-04	  2.6481e-04	  3.6246e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2727e+00	  5.3045e-03	  3.7634e-04	  6.3612e-03	  1.3876e-03	  1.1470e-06	  1.0138e-02	  6.2158e-04	  4.7340e-04	  2.7322e-04	  3.6605e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2650e+00	  5.3422e-03	  3.7772e-04	  6.4070e-03	  1.3978e-03	  1.1711e-06	  1.0273e-02	  6.3594e-04	  4.7471e-04	  2.8133e-04	  3.6952e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2577e+00	  5.3787e-03	  3.7906e-04	  6.4512e-03	  1.4077e-03	  1.1950e-06	  1.0403e-02	  6.4977e-04	  4.7597e-04	  2.8915e-04	  3.7286e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2506e+00	  5.4139e-03	  3.8034e-04	  6.4938e-03	  1.4173e-03	  1.2187e-06	  1.0528e-02	  6.6310e-04	  4.7718e-04	  2.9669e-04	  3.7608e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2437e+00	  5.4479e-03	  3.8158e-04	  6.5350e-03	  1.4265e-03	  1.2421e-06	  1.0650e-02	  6.7595e-04	  4.7834e-04	  3.0395e-04	  3.7918e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2371e+00	  5.4808e-03	  3.8277e-04	  6.5747e-03	  1.4354e-03	  1.2652e-06	  1.0766e-02	  6.8834e-04	  4.7946e-04	  3.1096e-04	  3.8217e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2307e+00	  5.5126e-03	  3.8392e-04	  6.6130e-03	  1.4440e-03	  1.2881e-06	  1.0879e-02	  7.0027e-04	  4.8054e-04	  3.1771e-04	  3.8506e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2245e+00	  5.5434e-03	  3.8502e-04	  6.6500e-03	  1.4523e-03	  1.3107e-06	  1.0988e-02	  7.1178e-04	  4.8157e-04	  3.2422e-04	  3.8784e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2185e+00	  5.5731e-03	  3.8609e-04	  6.6857e-03	  1.4603e-03	  1.3329e-06	  1.1093e-02	  7.2287e-04	  4.8257e-04	  3.3050e-04	  3.9052e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2127e+00	  5.6018e-03	  3.8712e-04	  6.7202e-03	  1.4680e-03	  1.3548e-06	  1.1194e-02	  7.3357e-04	  4.8353e-04	  3.3656e-04	  3.9311e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.2071e+00	  5.6296e-03	  3.8811e-04	  6.7534e-03	  1.4755e-03	  1.3764e-06	  1.1292e-02	  7.4388e-04	  4.8445e-04	  3.4240e-04	  3.9561e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
