          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.4921e+00	  4.4339e-03	  3.4478e-04	  5.3364e-03	  1.1594e-03	  6.2698e-07	  7.1917e-03	  3.1083e-04	  4.4469e-04	  1.1453e-04	  2.8883e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4623e+00	  4.6516e-03	  3.5574e-04	  5.7042e-03	  1.2404e-03	  6.5508e-07	  8.2777e-03	  4.3326e-04	  4.5702e-04	  1.8025e-04	  3.1659e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4341e+00	  4.8619e-03	  3.6605e-04	  6.0592e-03	  1.3186e-03	  6.8517e-07	  9.3085e-03	  5.4770e-04	  4.6850e-04	  2.4236e-04	  3.4286e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4072e+00	  5.0651e-03	  3.7576e-04	  6.4018e-03	  1.3941e-03	  7.1714e-07	  1.0290e-02	  6.5525e-04	  4.7922e-04	  3.0126e-04	  3.6778e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3815e+00	  5.2615e-03	  3.8493e-04	  6.7323e-03	  1.4670e-03	  7.5091e-07	  1.1225e-02	  7.5673e-04	  4.8926e-04	  3.5725e-04	  3.9147e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3570e+00	  5.4515e-03	  3.9362e-04	  7.0511e-03	  1.5373e-03	  7.8639e-07	  1.2119e-02	  8.5282e-04	  4.9867e-04	  4.1059e-04	  4.1403e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3334e+00	  5.6352e-03	  4.0185e-04	  7.3586e-03	  1.6052e-03	  8.2354e-07	  1.2974e-02	  9.4405e-04	  5.0753e-04	  4.6148e-04	  4.3555e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3109e+00	  5.8130e-03	  4.0966e-04	  7.6550e-03	  1.6706e-03	  8.6230e-07	  1.3793e-02	  1.0309e-03	  5.1586e-04	  5.1011e-04	  4.5610e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2892e+00	  5.9849e-03	  4.1709e-04	  7.9409e-03	  1.7338e-03	  9.0262e-07	  1.4578e-02	  1.1136e-03	  5.2373e-04	  5.5664e-04	  4.7575e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2683e+00	  6.1513e-03	  4.2417e-04	  8.2166e-03	  1.7948e-03	  9.4444e-07	  1.5332e-02	  1.1926e-03	  5.3117e-04	  6.0119e-04	  4.9454e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2482e+00	  6.3123e-03	  4.3091e-04	  8.4824e-03	  1.8535e-03	  9.8771e-07	  1.6055e-02	  1.2682e-03	  5.3820e-04	  6.4388e-04	  5.1254e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2288e+00	  6.4680e-03	  4.3734e-04	  8.7386e-03	  1.9103e-03	  1.0324e-06	  1.6750e-02	  1.3405e-03	  5.4487e-04	  6.8484e-04	  5.2978e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2101e+00	  6.6187e-03	  4.4347e-04	  8.9857e-03	  1.9650e-03	  1.0784e-06	  1.7418e-02	  1.4098e-03	  5.5119e-04	  7.2414e-04	  5.4632e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1921e+00	  6.7646e-03	  4.4934e-04	  9.2239e-03	  2.0177e-03	  1.1257e-06	  1.8060e-02	  1.4763e-03	  5.5719e-04	  7.6187e-04	  5.6217e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1747e+00	  6.9057e-03	  4.5495e-04	  9.4536e-03	  2.0686e-03	  1.1743e-06	  1.8678e-02	  1.5400e-03	  5.6290e-04	  7.9812e-04	  5.7739e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1579e+00	  7.0422e-03	  4.6032e-04	  9.6750e-03	  2.1178e-03	  1.2240e-06	  1.9273e-02	  1.6012e-03	  5.6833e-04	  8.3296e-04	  5.9200e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1417e+00	  7.1742e-03	  4.6545e-04	  9.8886e-03	  2.1651e-03	  1.2748e-06	  1.9845e-02	  1.6600e-03	  5.7350e-04	  8.6646e-04	  6.0604e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1261e+00	  7.3020e-03	  4.7038e-04	  1.0094e-02	  2.2108e-03	  1.3266e-06	  2.0396e-02	  1.7165e-03	  5.7843e-04	  8.9867e-04	  6.1952e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.1110e+00	  7.4256e-03	  4.7509e-04	  1.0293e-02	  2.2549e-03	  1.3795e-06	  2.0927e-02	  1.7709e-03	  5.8312e-04	  9.2965e-04	  6.3248e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0964e+00	  7.5452e-03	  4.7961e-04	  1.0484e-02	  2.2974e-03	  1.4332e-06	  2.1438e-02	  1.8231e-03	  5.8760e-04	  9.5947e-04	  6.4494e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0823e+00	  7.6609e-03	  4.8395e-04	  1.0669e-02	  2.3385e-03	  1.4877e-06	  2.1931e-02	  1.8734e-03	  5.9188e-04	  9.8817e-04	  6.5691e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0687e+00	  7.7727e-03	  4.8812e-04	  1.0847e-02	  2.3780e-03	  1.5430e-06	  2.2406e-02	  1.9218e-03	  5.9597e-04	  1.0158e-03	  6.6844e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0556e+00	  7.8809e-03	  4.9211e-04	  1.1019e-02	  2.4162e-03	  1.5989e-06	  2.2863e-02	  1.9684e-03	  5.9988e-04	  1.0424e-03	  6.7952e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0429e+00	  7.9856e-03	  4.9595e-04	  1.1184e-02	  2.4531e-03	  1.6554e-06	  2.3304e-02	  2.0132e-03	  6.0361e-04	  1.0680e-03	  6.9018e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0306e+00	  8.0868e-03	  4.9964e-04	  1.1344e-02	  2.4886e-03	  1.7124e-06	  2.3729e-02	  2.0564e-03	  6.0719e-04	  1.0927e-03	  7.0045e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0188e+00	  8.1847e-03	  5.0318e-04	  1.1498e-02	  2.5229e-03	  1.7699e-06	  2.4139e-02	  2.0981e-03	  6.1061e-04	  1.1164e-03	  7.1033e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  7.0074e+00	  8.2793e-03	  5.0658e-04	  1.1646e-02	  2.5560e-03	  1.8277e-06	  2.4534e-02	  2.1382e-03	  6.1388e-04	  1.1393e-03	  7.1984e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  6.9963e+00	  8.3708e-03	  5.0986e-04	  1.1790e-02	  2.5879e-03	  1.8858e-06	  2.4915e-02	  2.1768e-03	  6.1702e-04	  1.1614e-03	  7.2900e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  6.9857e+00	  8.4593e-03	  5.1300e-04	  1.1928e-02	  2.6187e-03	  1.9440e-06	  2.5283e-02	  2.2140e-03	  6.2003e-04	  1.1827e-03	  7.3782e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
  6.9754e+00	  8.5449e-03	  5.1603e-04	  1.2061e-02	  2.6484e-03	  2.0024e-06	  2.5637e-02	  2.2499e-03	  6.2291e-04	  1.2031e-03	  7.4631e+03	  0.0000e+00	  1.4998e-01	  0.0000e+00	
