          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.5569e+00	  4.3401e-03	  3.3873e-04	  5.1354e-03	  1.1154e-03	  5.2341e-07	  6.6190e-03	  2.4558e-04	  4.3850e-04	  7.9982e-05	  2.7412e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.5884e+00	  4.4678e-03	  3.4410e-04	  5.3088e-03	  1.1538e-03	  4.6012e-07	  7.1680e-03	  3.0853e-04	  4.4527e-04	  1.1363e-04	  2.8815e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.6183e+00	  4.5915e-03	  3.4921e-04	  5.4760e-03	  1.1909e-03	  4.0781e-07	  7.6925e-03	  3.6814e-04	  4.5173e-04	  1.4578e-04	  3.0155e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.6453e+00	  4.7115e-03	  3.5408e-04	  5.6373e-03	  1.2266e-03	  3.6582e-07	  8.1942e-03	  4.2472e-04	  4.5787e-04	  1.7651e-04	  3.1436e+03	  2.2729e-04	  1.4988e-01	  0.0000e+00	
  7.6389e+00	  4.8285e-03	  3.5878e-04	  5.7966e-03	  1.2618e-03	  3.6508e-07	  8.6771e-03	  4.7865e-04	  4.6316e-04	  2.0583e-04	  3.2671e+03	  5.3153e-03	  1.4733e-01	  0.0000e+00	
  7.6339e+00	  4.9418e-03	  3.6325e-04	  5.9501e-03	  1.2957e-03	  3.6343e-07	  9.1400e-03	  5.3002e-04	  4.6820e-04	  2.3391e-04	  3.3853e+03	  1.0090e-02	  1.4495e-01	  0.0000e+00	
  7.6299e+00	  5.0515e-03	  3.6753e-04	  6.0982e-03	  1.3283e-03	  3.6100e-07	  9.5840e-03	  5.7901e-04	  4.7301e-04	  2.6081e-04	  3.4986e+03	  1.4577e-02	  1.4270e-01	  0.0000e+00	
  7.6269e+00	  5.1578e-03	  3.7162e-04	  6.2409e-03	  1.3599e-03	  3.5792e-07	  1.0010e-02	  6.2579e-04	  4.7760e-04	  2.8660e-04	  3.6071e+03	  1.8798e-02	  1.4059e-01	  0.0000e+00	
  7.6248e+00	  5.2608e-03	  3.7552e-04	  6.3785e-03	  1.3903e-03	  3.5429e-07	  1.0419e-02	  6.7049e-04	  4.8198e-04	  3.1135e-04	  3.7112e+03	  2.2771e-02	  1.3860e-01	  0.0000e+00	
  7.6234e+00	  5.3605e-03	  3.7926e-04	  6.5111e-03	  1.4196e-03	  3.5020e-07	  1.0812e-02	  7.1325e-04	  4.8616e-04	  3.3510e-04	  3.8111e+03	  2.6514e-02	  1.3673e-01	  0.0000e+00	
  7.6228e+00	  5.4571e-03	  3.8283e-04	  6.6391e-03	  1.4479e-03	  3.4574e-07	  1.1189e-02	  7.5418e-04	  4.9016e-04	  3.5792e-04	  3.9069e+03	  3.0043e-02	  1.3497e-01	  0.0000e+00	
  7.6227e+00	  5.5506e-03	  3.8625e-04	  6.7624e-03	  1.4752e-03	  3.4097e-07	  1.1552e-02	  7.9338e-04	  4.9399e-04	  3.7984e-04	  3.9989e+03	  3.3369e-02	  1.3330e-01	  0.0000e+00	
  7.6232e+00	  5.6411e-03	  3.8953e-04	  6.8814e-03	  1.5015e-03	  3.3596e-07	  1.1901e-02	  8.3096e-04	  4.9766e-04	  4.0091e-04	  4.0873e+03	  3.6507e-02	  1.3173e-01	  0.0000e+00	
  7.6241e+00	  5.7287e-03	  3.9267e-04	  6.9961e-03	  1.5270e-03	  3.3076e-07	  1.2237e-02	  8.6700e-04	  5.0117e-04	  4.2117e-04	  4.1722e+03	  3.9467e-02	  1.3025e-01	  0.0000e+00	
  7.6255e+00	  5.8136e-03	  3.9569e-04	  7.1068e-03	  1.5515e-03	  3.2542e-07	  1.2559e-02	  9.0157e-04	  5.0453e-04	  4.4066e-04	  4.2539e+03	  4.2260e-02	  1.2886e-01	  0.0000e+00	
  7.6273e+00	  5.8957e-03	  3.9858e-04	  7.2135e-03	  1.5751e-03	  3.1999e-07	  1.2870e-02	  9.3476e-04	  5.0776e-04	  4.5941e-04	  4.3323e+03	  4.4895e-02	  1.2754e-01	  0.0000e+00	
  7.6295e+00	  5.9751e-03	  4.0135e-04	  7.3164e-03	  1.5979e-03	  3.1450e-07	  1.3169e-02	  9.6663e-04	  5.1086e-04	  4.7745e-04	  4.4078e+03	  4.7383e-02	  1.2629e-01	  0.0000e+00	
  7.6319e+00	  6.0520e-03	  4.0401e-04	  7.4156e-03	  1.6199e-03	  3.0897e-07	  1.3457e-02	  9.9724e-04	  5.1383e-04	  4.9482e-04	  4.4804e+03	  4.9730e-02	  1.2512e-01	  0.0000e+00	
  7.6346e+00	  6.1264e-03	  4.0657e-04	  7.5113e-03	  1.6412e-03	  3.0345e-07	  1.3734e-02	  1.0267e-03	  5.1668e-04	  5.1154e-04	  4.5502e+03	  5.1945e-02	  1.2401e-01	  0.0000e+00	
  7.6375e+00	  6.1984e-03	  4.0902e-04	  7.6037e-03	  1.6616e-03	  2.9795e-07	  1.4001e-02	  1.0549e-03	  5.1942e-04	  5.2764e-04	  4.6174e+03	  5.4036e-02	  1.2297e-01	  0.0000e+00	
  7.6407e+00	  6.2681e-03	  4.1138e-04	  7.6927e-03	  1.6814e-03	  2.9250e-07	  1.4258e-02	  1.0821e-03	  5.2206e-04	  5.4315e-04	  4.6821e+03	  5.6010e-02	  1.2198e-01	  0.0000e+00	
  7.6440e+00	  6.3354e-03	  4.1365e-04	  7.7786e-03	  1.7005e-03	  2.8711e-07	  1.4506e-02	  1.1083e-03	  5.2459e-04	  5.5808e-04	  4.7443e+03	  5.7872e-02	  1.2105e-01	  0.0000e+00	
  7.6464e+00	  6.3997e-03	  4.1577e-04	  7.8581e-03	  1.7182e-03	  2.8287e-07	  1.4745e-02	  1.1335e-03	  5.2692e-04	  5.6076e-04	  4.8029e+03	  5.9435e-02	  1.2026e-01	  3.6660e-04	
  7.6481e+00	  6.4612e-03	  4.1776e-04	  7.9325e-03	  1.7349e-03	  2.7943e-07	  1.4977e-02	  1.1580e-03	  5.2909e-04	  5.5517e-04	  4.8584e+03	  6.0779e-02	  1.1959e-01	  9.7709e-04	
  7.6499e+00	  6.5207e-03	  4.1968e-04	  8.0042e-03	  1.7509e-03	  2.7604e-07	  1.5200e-02	  1.1814e-03	  5.3117e-04	  5.4965e-04	  4.9118e+03	  6.2049e-02	  1.1896e-01	  1.5711e-03	
  7.6518e+00	  6.5782e-03	  4.2152e-04	  8.0733e-03	  1.7664e-03	  2.7270e-07	  1.5416e-02	  1.2041e-03	  5.3318e-04	  5.4422e-04	  4.9633e+03	  6.3249e-02	  1.1836e-01	  2.1489e-03	
  7.6538e+00	  6.6338e-03	  4.2329e-04	  8.1399e-03	  1.7814e-03	  2.6941e-07	  1.5623e-02	  1.2258e-03	  5.3510e-04	  5.3888e-04	  5.0129e+03	  6.4385e-02	  1.1779e-01	  2.7104e-03	
  7.6558e+00	  6.6876e-03	  4.2500e-04	  8.2041e-03	  1.7958e-03	  2.6618e-07	  1.5823e-02	  1.2468e-03	  5.3696e-04	  5.3364e-04	  5.0606e+03	  6.5459e-02	  1.1725e-01	  3.2559e-03	
  7.6579e+00	  6.7396e-03	  4.2664e-04	  8.2661e-03	  1.8097e-03	  2.6302e-07	  1.6016e-02	  1.2670e-03	  5.3874e-04	  5.2850e-04	  5.1066e+03	  6.6475e-02	  1.1674e-01	  3.7856e-03	
  7.6600e+00	  6.7899e-03	  4.2822e-04	  8.3258e-03	  1.8231e-03	  2.5993e-07	  1.6202e-02	  1.2865e-03	  5.4046e-04	  5.2347e-04	  5.1509e+03	  6.7438e-02	  1.1626e-01	  4.2998e-03	
