          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6084e+00	  2.5832e-02	  7.1325e-04	  7.8040e-03	  1.8312e-03	  1.8229e-05	  3.0176e-02	  2.5910e-03	  4.2399e-04	  1.7087e-03	  8.8890e+03	  9.6258e-02	  1.0187e-01	  0.0000e+00	
  6.5410e+00	  4.6763e-02	  1.0838e-03	  1.0784e-02	  2.7038e-03	  1.9359e-05	  5.3465e-02	  4.9198e-03	  4.2469e-04	  3.0749e-03	  1.4566e+04	  9.6867e-02	  1.0157e-01	  0.0000e+00	
  6.4893e+00	  6.6987e-02	  1.4421e-03	  1.3529e-02	  3.5926e-03	  2.0862e-05	  7.5960e-02	  7.1692e-03	  4.2515e-04	  4.3898e-03	  1.9810e+04	  9.6974e-02	  1.0151e-01	  0.0000e+00	
  6.4463e+00	  8.6524e-02	  1.7884e-03	  1.6096e-02	  4.4966e-03	  2.2484e-05	  9.7688e-02	  9.3419e-03	  4.2549e-04	  5.6553e-03	  2.4699e+04	  9.6938e-02	  1.0153e-01	  0.0000e+00	
  6.4091e+00	  1.0540e-01	  2.1231e-03	  1.8512e-02	  5.4101e-03	  2.4161e-05	  1.1867e-01	  1.1440e-02	  4.2576e-04	  6.8730e-03	  2.9284e+04	  9.6844e-02	  1.0157e-01	  0.0000e+00	
  6.3762e+00	  1.2363e-01	  2.4465e-03	  2.0793e-02	  6.3275e-03	  2.5869e-05	  1.3895e-01	  1.3467e-02	  4.2598e-04	  8.0447e-03	  3.3601e+04	  9.6720e-02	  1.0164e-01	  0.0000e+00	
  6.3468e+00	  1.4124e-01	  2.7589e-03	  2.2951e-02	  7.2442e-03	  2.7591e-05	  1.5852e-01	  1.5425e-02	  4.2617e-04	  9.1719e-03	  3.7678e+04	  9.6581e-02	  1.0171e-01	  0.0000e+00	
  6.3202e+00	  1.5825e-01	  3.0607e-03	  2.4997e-02	  8.1562e-03	  2.9320e-05	  1.7743e-01	  1.7316e-02	  4.2634e-04	  1.0256e-02	  4.1536e+04	  9.6432e-02	  1.0178e-01	  0.0000e+00	
  6.2959e+00	  1.7468e-01	  3.3523e-03	  2.6940e-02	  9.0604e-03	  3.1049e-05	  1.9570e-01	  1.9142e-02	  4.2648e-04	  1.1299e-02	  4.5194e+04	  9.6279e-02	  1.0186e-01	  0.0000e+00	
  6.2735e+00	  1.9054e-01	  3.6339e-03	  2.8788e-02	  9.9541e-03	  3.2773e-05	  2.1334e-01	  2.0906e-02	  4.2661e-04	  1.2301e-02	  4.8668e+04	  9.6122e-02	  1.0193e-01	  0.0000e+00	
  6.2529e+00	  2.0587e-01	  3.9059e-03	  3.0546e-02	  1.0835e-02	  3.4488e-05	  2.3037e-01	  2.2610e-02	  4.2672e-04	  1.3265e-02	  5.1971e+04	  9.5965e-02	  1.0201e-01	  0.0000e+00	
  6.2337e+00	  2.2067e-01	  4.1687e-03	  3.2222e-02	  1.1702e-02	  3.6191e-05	  2.4683e-01	  2.4255e-02	  4.2683e-04	  1.4191e-02	  5.5115e+04	  9.5808e-02	  1.0209e-01	  0.0000e+00	
  6.2159e+00	  2.3497e-01	  4.4225e-03	  3.3821e-02	  1.2553e-02	  3.7879e-05	  2.6272e-01	  2.5845e-02	  4.2693e-04	  1.5081e-02	  5.8111e+04	  9.5652e-02	  1.0217e-01	  0.0000e+00	
  6.1992e+00	  2.4878e-01	  4.6677e-03	  3.5346e-02	  1.3387e-02	  3.9549e-05	  2.7807e-01	  2.7379e-02	  4.2702e-04	  1.5936e-02	  6.0968e+04	  9.5497e-02	  1.0224e-01	  0.0000e+00	
  6.1836e+00	  2.6211e-01	  4.9045e-03	  3.6804e-02	  1.4204e-02	  4.1200e-05	  2.9289e-01	  2.8862e-02	  4.2710e-04	  1.6757e-02	  6.3694e+04	  9.5344e-02	  1.0232e-01	  0.0000e+00	
  6.1690e+00	  2.7499e-01	  5.1332e-03	  3.8197e-02	  1.5003e-02	  4.2829e-05	  3.0721e-01	  3.0293e-02	  4.2718e-04	  1.7545e-02	  6.6298e+04	  9.5194e-02	  1.0239e-01	  0.0000e+00	
  6.1549e+00	  2.8743e-01	  5.3541e-03	  3.9523e-02	  1.5783e-02	  4.4492e-05	  3.2104e-01	  3.1676e-02	  4.2725e-04	  1.8286e-02	  6.8785e+04	  9.5041e-02	  1.0247e-01	  5.9885e-05	
  6.1398e+00	  2.9945e-01	  5.5674e-03	  4.0746e-02	  1.6540e-02	  4.6602e-05	  3.3439e-01	  3.3011e-02	  4.2732e-04	  1.8870e-02	  7.1157e+04	  9.4853e-02	  1.0256e-01	  5.9268e-04	
  6.1257e+00	  3.1105e-01	  5.7734e-03	  4.1918e-02	  1.7280e-02	  4.8678e-05	  3.4729e-01	  3.4301e-02	  4.2739e-04	  1.9436e-02	  7.3427e+04	  9.4669e-02	  1.0266e-01	  1.0831e-03	
  6.1124e+00	  3.2225e-01	  5.9724e-03	  4.3042e-02	  1.8000e-02	  5.0716e-05	  3.5974e-01	  3.5546e-02	  4.2745e-04	  1.9986e-02	  7.5600e+04	  9.4489e-02	  1.0275e-01	  1.5345e-03	
  6.0998e+00	  3.3308e-01	  6.1646e-03	  4.4121e-02	  1.8702e-02	  5.2715e-05	  3.7177e-01	  3.6749e-02	  4.2751e-04	  2.0517e-02	  7.7682e+04	  9.4313e-02	  1.0283e-01	  1.9498e-03	
  6.0880e+00	  3.4353e-01	  6.3502e-03	  4.5156e-02	  1.9386e-02	  5.4672e-05	  3.8339e-01	  3.7911e-02	  4.2756e-04	  2.1032e-02	  7.9676e+04	  9.4142e-02	  1.0292e-01	  2.3318e-03	
  6.0768e+00	  3.5362e-01	  6.5295e-03	  4.6150e-02	  2.0051e-02	  5.6588e-05	  3.9461e-01	  3.9033e-02	  4.2761e-04	  2.1531e-02	  8.1587e+04	  9.3975e-02	  1.0300e-01	  2.6832e-03	
  6.0662e+00	  3.6337e-01	  6.7026e-03	  4.7104e-02	  2.0698e-02	  5.8459e-05	  4.0544e-01	  4.0116e-02	  4.2766e-04	  2.2012e-02	  8.3419e+04	  9.3813e-02	  1.0308e-01	  3.0063e-03	
  6.0562e+00	  3.7278e-01	  6.8698e-03	  4.8021e-02	  2.1326e-02	  6.0286e-05	  4.1590e-01	  4.1162e-02	  4.2771e-04	  2.2478e-02	  8.5177e+04	  9.3655e-02	  1.0316e-01	  3.3032e-03	
  6.0467e+00	  3.8188e-01	  7.0313e-03	  4.8902e-02	  2.1937e-02	  6.2067e-05	  4.2601e-01	  4.2173e-02	  4.2775e-04	  2.2928e-02	  8.6863e+04	  9.3502e-02	  1.0324e-01	  3.5759e-03	
  6.0378e+00	  3.9065e-01	  7.1873e-03	  4.9750e-02	  2.2529e-02	  6.3802e-05	  4.3577e-01	  4.3149e-02	  4.2780e-04	  2.3362e-02	  8.8481e+04	  9.3353e-02	  1.0331e-01	  3.8264e-03	
  6.0292e+00	  3.9913e-01	  7.3379e-03	  5.0564e-02	  2.3105e-02	  6.5490e-05	  4.4519e-01	  4.4091e-02	  4.2784e-04	  2.3780e-02	  9.0035e+04	  9.3209e-02	  1.0338e-01	  4.0562e-03	
  6.0212e+00	  4.0732e-01	  7.4833e-03	  5.1347e-02	  2.3663e-02	  6.7132e-05	  4.5429e-01	  4.5001e-02	  4.2788e-04	  2.4184e-02	  9.1526e+04	  9.3069e-02	  1.0345e-01	  4.2671e-03	
  6.0135e+00	  4.1523e-01	  7.6238e-03	  5.2101e-02	  2.4205e-02	  6.8727e-05	  4.6308e-01	  4.5880e-02	  4.2791e-04	  2.4573e-02	  9.2959e+04	  9.2934e-02	  1.0352e-01	  4.4604e-03	
