          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.7002e+00	  5.8959e-03	  3.6157e-04	  4.6687e-03	  1.0117e-03	  2.1600e-05	  8.0065e-03	  3.7404e-04	  4.2403e-04	  1.1605e-03	  3.2226e+03	  9.7396e-02	  1.0130e-01	  0.0000e+00	
  6.6875e+00	  7.5513e-03	  3.9099e-04	  5.0321e-03	  1.0922e-03	  2.0431e-05	  9.8785e-03	  5.6120e-04	  4.2427e-04	  1.2609e-03	  3.7243e+03	  9.7706e-02	  1.0115e-01	  0.0000e+00	
  6.6770e+00	  9.1507e-03	  4.1942e-04	  5.3618e-03	  1.1656e-03	  1.9589e-05	  1.1686e-02	  7.4192e-04	  4.2449e-04	  1.3579e-03	  4.2048e+03	  9.7945e-02	  1.0103e-01	  0.0000e+00	
  6.6683e+00	  1.0696e-02	  4.4689e-04	  5.6645e-03	  1.2333e-03	  1.8965e-05	  1.3432e-02	  9.1643e-04	  4.2471e-04	  1.4516e-03	  4.6654e+03	  9.8132e-02	  1.0093e-01	  0.0000e+00	
  6.6608e+00	  1.2189e-02	  4.7343e-04	  5.9453e-03	  1.2962e-03	  1.8489e-05	  1.5117e-02	  1.0849e-03	  4.2491e-04	  1.5420e-03	  5.1072e+03	  9.8280e-02	  1.0086e-01	  0.0000e+00	
  6.6542e+00	  1.3631e-02	  4.9907e-04	  6.2080e-03	  1.3553e-03	  1.8118e-05	  1.6745e-02	  1.2477e-03	  4.2510e-04	  1.6294e-03	  5.5313e+03	  9.8399e-02	  1.0080e-01	  0.0000e+00	
  6.6483e+00	  1.5025e-02	  5.2385e-04	  6.4552e-03	  1.4111e-03	  1.7823e-05	  1.8316e-02	  1.4048e-03	  4.2529e-04	  1.7137e-03	  5.9385e+03	  9.8497e-02	  1.0075e-01	  0.0000e+00	
  6.6431e+00	  1.6371e-02	  5.4778e-04	  6.6891e-03	  1.4640e-03	  1.7583e-05	  1.9834e-02	  1.5565e-03	  4.2546e-04	  1.7952e-03	  6.3297e+03	  9.8578e-02	  1.0071e-01	  0.0000e+00	
  6.6383e+00	  1.7671e-02	  5.7090e-04	  6.9112e-03	  1.5144e-03	  1.7385e-05	  2.1299e-02	  1.7030e-03	  4.2562e-04	  1.8737e-03	  6.7057e+03	  9.8646e-02	  1.0068e-01	  0.0000e+00	
  6.6339e+00	  1.8927e-02	  5.9323e-04	  7.1227e-03	  1.5625e-03	  1.7220e-05	  2.2714e-02	  1.8445e-03	  4.2578e-04	  1.9496e-03	  7.0671e+03	  9.8704e-02	  1.0065e-01	  0.0000e+00	
  6.6299e+00	  2.0140e-02	  6.1480e-04	  7.3245e-03	  1.6085e-03	  1.7080e-05	  2.4080e-02	  1.9811e-03	  4.2592e-04	  2.0228e-03	  7.4146e+03	  9.8753e-02	  1.0062e-01	  0.0000e+00	
  6.6261e+00	  2.1312e-02	  6.3563e-04	  7.5175e-03	  1.6525e-03	  1.6961e-05	  2.5400e-02	  2.1130e-03	  4.2606e-04	  2.0935e-03	  7.7489e+03	  9.8796e-02	  1.0060e-01	  0.0000e+00	
  6.6226e+00	  2.2443e-02	  6.5576e-04	  7.7023e-03	  1.6948e-03	  1.6858e-05	  2.6674e-02	  2.2404e-03	  4.2619e-04	  2.1618e-03	  8.0706e+03	  9.8834e-02	  1.0058e-01	  0.0000e+00	
  6.6193e+00	  2.3537e-02	  6.7520e-04	  7.8794e-03	  1.7354e-03	  1.6769e-05	  2.7904e-02	  2.3634e-03	  4.2631e-04	  2.2276e-03	  8.3801e+03	  9.8867e-02	  1.0057e-01	  0.0000e+00	
  6.6163e+00	  2.4592e-02	  6.9397e-04	  8.0494e-03	  1.7744e-03	  1.6691e-05	  2.9092e-02	  2.4822e-03	  4.2643e-04	  2.2912e-03	  8.6780e+03	  9.8896e-02	  1.0055e-01	  0.0000e+00	
  6.6134e+00	  2.5612e-02	  7.1210e-04	  8.2126e-03	  1.8120e-03	  1.6622e-05	  3.0239e-02	  2.5968e-03	  4.2654e-04	  2.3525e-03	  8.9648e+03	  9.8922e-02	  1.0054e-01	  0.0000e+00	
  6.6107e+00	  2.6597e-02	  7.2962e-04	  8.3694e-03	  1.8481e-03	  1.6561e-05	  3.1346e-02	  2.7076e-03	  4.2664e-04	  2.4118e-03	  9.2409e+03	  9.8945e-02	  1.0053e-01	  0.0000e+00	
  6.6081e+00	  2.7548e-02	  7.4653e-04	  8.5202e-03	  1.8829e-03	  1.6506e-05	  3.2416e-02	  2.8145e-03	  4.2674e-04	  2.4689e-03	  9.5068e+03	  9.8966e-02	  1.0052e-01	  0.0000e+00	
  6.6057e+00	  2.8467e-02	  7.6286e-04	  8.6653e-03	  1.9164e-03	  1.6458e-05	  3.3449e-02	  2.9178e-03	  4.2683e-04	  2.5241e-03	  9.7629e+03	  9.8985e-02	  1.0051e-01	  0.0000e+00	
  6.6034e+00	  2.9354e-02	  7.7864e-04	  8.8048e-03	  1.9487e-03	  1.6414e-05	  3.4446e-02	  3.0175e-03	  4.2692e-04	  2.5774e-03	  1.0010e+04	  9.9003e-02	  1.0050e-01	  0.0000e+00	
  6.6012e+00	  3.0211e-02	  7.9388e-04	  8.9392e-03	  1.9799e-03	  1.6375e-05	  3.5409e-02	  3.1138e-03	  4.2701e-04	  2.6288e-03	  1.0247e+04	  9.9018e-02	  1.0049e-01	  0.0000e+00	
  6.5991e+00	  3.1038e-02	  8.0859e-04	  9.0685e-03	  2.0099e-03	  1.6340e-05	  3.6339e-02	  3.2067e-03	  4.2709e-04	  2.6784e-03	  1.0476e+04	  9.9033e-02	  1.0048e-01	  0.0000e+00	
  6.5972e+00	  3.1838e-02	  8.2280e-04	  9.1931e-03	  2.0388e-03	  1.6307e-05	  3.7237e-02	  3.2965e-03	  4.2716e-04	  2.7263e-03	  1.0697e+04	  9.9046e-02	  1.0048e-01	  0.0000e+00	
  6.5953e+00	  3.2609e-02	  8.3653e-04	  9.3131e-03	  2.0667e-03	  1.6278e-05	  3.8104e-02	  3.3832e-03	  4.2723e-04	  2.7725e-03	  1.0909e+04	  9.9058e-02	  1.0047e-01	  0.0000e+00	
  6.5935e+00	  3.3355e-02	  8.4978e-04	  9.4288e-03	  2.0936e-03	  1.6251e-05	  3.8941e-02	  3.4669e-03	  4.2730e-04	  2.8172e-03	  1.1114e+04	  9.9069e-02	  1.0047e-01	  0.0000e+00	
  6.5918e+00	  3.4075e-02	  8.6258e-04	  9.5402e-03	  2.1196e-03	  1.6227e-05	  3.9749e-02	  3.5477e-03	  4.2737e-04	  2.8603e-03	  1.1312e+04	  9.9079e-02	  1.0046e-01	  0.0000e+00	
  6.5902e+00	  3.4770e-02	  8.7494e-04	  9.6476e-03	  2.1447e-03	  1.6204e-05	  4.0530e-02	  3.6258e-03	  4.2743e-04	  2.9018e-03	  1.1502e+04	  9.9088e-02	  1.0046e-01	  0.0000e+00	
  6.5886e+00	  3.5441e-02	  8.8688e-04	  9.7511e-03	  2.1689e-03	  1.6184e-05	  4.1284e-02	  3.7011e-03	  4.2749e-04	  2.9420e-03	  1.1686e+04	  9.9097e-02	  1.0045e-01	  0.0000e+00	
  6.5871e+00	  3.6089e-02	  8.9840e-04	  9.8509e-03	  2.1922e-03	  1.6165e-05	  4.2012e-02	  3.7739e-03	  4.2755e-04	  2.9807e-03	  1.1863e+04	  9.9105e-02	  1.0045e-01	  0.0000e+00	
  6.5857e+00	  3.6715e-02	  9.0954e-04	  9.9471e-03	  2.2147e-03	  1.6147e-05	  4.2714e-02	  3.8442e-03	  4.2760e-04	  3.0182e-03	  1.2033e+04	  9.9113e-02	  1.0044e-01	  0.0000e+00	
