          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.4844e+00	  4.3827e-03	  3.3411e-04	  4.8646e-03	  1.0796e-03	  7.7699e-07	  6.2993e-03	  2.0335e-04	  4.2255e-04	  5.0073e-05	  2.6644e+03	  8.4041e-02	  1.0798e-01	  0.0000e+00	
  7.4214e+00	  4.5830e-03	  3.3767e-04	  4.8766e-03	  1.0974e-03	  9.6623e-07	  6.5222e-03	  2.2566e-04	  4.2256e-04	  6.3452e-05	  2.7250e+03	  8.3477e-02	  1.0826e-01	  0.0000e+00	
  7.3716e+00	  4.7764e-03	  3.4111e-04	  4.8881e-03	  1.1146e-03	  1.1518e-06	  6.7375e-03	  2.4720e-04	  4.2256e-04	  7.6369e-05	  2.7834e+03	  8.2922e-02	  1.0854e-01	  0.0000e+00	
  7.3305e+00	  4.9632e-03	  3.4444e-04	  4.8992e-03	  1.1312e-03	  1.3346e-06	  6.9454e-03	  2.6800e-04	  4.2257e-04	  8.8843e-05	  2.8397e+03	  8.2382e-02	  1.0881e-01	  0.0000e+00	
  7.2956e+00	  5.1435e-03	  3.4765e-04	  4.9099e-03	  1.1472e-03	  1.5153e-06	  7.1461e-03	  2.8808e-04	  4.2257e-04	  1.0089e-04	  2.8939e+03	  8.1859e-02	  1.0907e-01	  0.0000e+00	
  7.2654e+00	  5.3177e-03	  3.5075e-04	  4.9202e-03	  1.1627e-03	  1.6939e-06	  7.3399e-03	  3.0747e-04	  4.2258e-04	  1.1252e-04	  2.9463e+03	  8.1354e-02	  1.0932e-01	  0.0000e+00	
  7.2389e+00	  5.4859e-03	  3.5374e-04	  4.9301e-03	  1.1776e-03	  1.8704e-06	  7.5270e-03	  3.2620e-04	  4.2259e-04	  1.2375e-04	  2.9968e+03	  8.0867e-02	  1.0956e-01	  0.0000e+00	
  7.2152e+00	  5.6482e-03	  3.5663e-04	  4.9397e-03	  1.1921e-03	  2.0447e-06	  7.7077e-03	  3.4428e-04	  4.2259e-04	  1.3459e-04	  3.0455e+03	  8.0398e-02	  1.0980e-01	  0.0000e+00	
  7.1940e+00	  5.8050e-03	  3.5942e-04	  4.9490e-03	  1.2060e-03	  2.2169e-06	  7.8822e-03	  3.6174e-04	  4.2260e-04	  1.4506e-04	  3.0924e+03	  7.9946e-02	  1.1003e-01	  0.0000e+00	
  7.1747e+00	  5.9565e-03	  3.6212e-04	  4.9579e-03	  1.2194e-03	  2.3867e-06	  8.0507e-03	  3.7859e-04	  4.2260e-04	  1.5517e-04	  3.1377e+03	  7.9512e-02	  1.1024e-01	  0.0000e+00	
  7.1572e+00	  6.1027e-03	  3.6472e-04	  4.9666e-03	  1.2324e-03	  2.5540e-06	  8.2134e-03	  3.9487e-04	  4.2260e-04	  1.6493e-04	  3.1815e+03	  7.9094e-02	  1.1045e-01	  0.0000e+00	
  7.1411e+00	  6.2438e-03	  3.6723e-04	  4.9749e-03	  1.2450e-03	  2.7188e-06	  8.3705e-03	  4.1059e-04	  4.2261e-04	  1.7435e-04	  3.2236e+03	  7.8691e-02	  1.1065e-01	  0.0000e+00	
  7.1264e+00	  6.3802e-03	  3.6965e-04	  4.9829e-03	  1.2571e-03	  2.8809e-06	  8.5222e-03	  4.2577e-04	  4.2261e-04	  1.8346e-04	  3.2643e+03	  7.8304e-02	  1.1085e-01	  0.0000e+00	
  7.1127e+00	  6.5118e-03	  3.7200e-04	  4.9907e-03	  1.2688e-03	  3.0401e-06	  8.6687e-03	  4.4042e-04	  4.2262e-04	  1.9224e-04	  3.3036e+03	  7.7931e-02	  1.1103e-01	  0.0000e+00	
  7.1001e+00	  6.6389e-03	  3.7426e-04	  4.9982e-03	  1.2801e-03	  3.1965e-06	  8.8101e-03	  4.5457e-04	  4.2262e-04	  2.0073e-04	  3.3414e+03	  7.7573e-02	  1.1121e-01	  0.0000e+00	
  7.0883e+00	  6.7616e-03	  3.7644e-04	  5.0055e-03	  1.2910e-03	  3.3500e-06	  8.9467e-03	  4.6823e-04	  4.2262e-04	  2.0892e-04	  3.3780e+03	  7.7228e-02	  1.1138e-01	  0.0000e+00	
  7.0773e+00	  6.8802e-03	  3.7855e-04	  5.0125e-03	  1.3015e-03	  3.5004e-06	  9.0785e-03	  4.8143e-04	  4.2263e-04	  2.1684e-04	  3.4133e+03	  7.6896e-02	  1.1155e-01	  0.0000e+00	
  7.0671e+00	  6.9946e-03	  3.8059e-04	  5.0192e-03	  1.3117e-03	  3.6477e-06	  9.2059e-03	  4.9417e-04	  4.2263e-04	  2.2448e-04	  3.4473e+03	  7.6576e-02	  1.1171e-01	  0.0000e+00	
  7.0575e+00	  7.1051e-03	  3.8255e-04	  5.0258e-03	  1.3215e-03	  3.7920e-06	  9.3288e-03	  5.0647e-04	  4.2263e-04	  2.3185e-04	  3.4801e+03	  7.6269e-02	  1.1186e-01	  0.0000e+00	
  7.0484e+00	  7.2118e-03	  3.8445e-04	  5.0321e-03	  1.3310e-03	  3.9331e-06	  9.4475e-03	  5.1834e-04	  4.2264e-04	  2.3898e-04	  3.5118e+03	  7.5973e-02	  1.1201e-01	  0.0000e+00	
  7.0400e+00	  7.3149e-03	  3.8629e-04	  5.0382e-03	  1.3401e-03	  4.0711e-06	  9.5622e-03	  5.2981e-04	  4.2264e-04	  2.4585e-04	  3.5424e+03	  7.5687e-02	  1.1215e-01	  0.0000e+00	
  7.0320e+00	  7.4144e-03	  3.8806e-04	  5.0440e-03	  1.3490e-03	  4.2059e-06	  9.6729e-03	  5.4089e-04	  4.2264e-04	  2.5250e-04	  3.5719e+03	  7.5413e-02	  1.1229e-01	  0.0000e+00	
  7.0245e+00	  7.5104e-03	  3.8977e-04	  5.0497e-03	  1.3575e-03	  4.3376e-06	  9.7798e-03	  5.5158e-04	  4.2264e-04	  2.5891e-04	  3.6004e+03	  7.5148e-02	  1.1242e-01	  0.0000e+00	
  7.0173e+00	  7.6032e-03	  3.9142e-04	  5.0552e-03	  1.3658e-03	  4.4661e-06	  9.8830e-03	  5.6191e-04	  4.2265e-04	  2.6510e-04	  3.6279e+03	  7.4894e-02	  1.1255e-01	  0.0000e+00	
  7.0106e+00	  7.6928e-03	  3.9301e-04	  5.0605e-03	  1.3737e-03	  4.5915e-06	  9.9827e-03	  5.7188e-04	  4.2265e-04	  2.7108e-04	  3.6544e+03	  7.4648e-02	  1.1267e-01	  0.0000e+00	
  7.0043e+00	  7.7793e-03	  3.9455e-04	  5.0656e-03	  1.3814e-03	  4.7138e-06	  1.0079e-02	  5.8151e-04	  4.2265e-04	  2.7685e-04	  3.6800e+03	  7.4412e-02	  1.1279e-01	  0.0000e+00	
  6.9982e+00	  7.8628e-03	  3.9603e-04	  5.0706e-03	  1.3888e-03	  4.8329e-06	  1.0172e-02	  5.9080e-04	  4.2265e-04	  2.8243e-04	  3.7047e+03	  7.4185e-02	  1.1290e-01	  0.0000e+00	
  6.9925e+00	  7.9435e-03	  3.9747e-04	  5.0753e-03	  1.3960e-03	  4.9490e-06	  1.0262e-02	  5.9978e-04	  4.2266e-04	  2.8781e-04	  3.7285e+03	  7.3965e-02	  1.1301e-01	  0.0000e+00	
  6.9871e+00	  8.0214e-03	  3.9886e-04	  5.0799e-03	  1.4029e-03	  5.0621e-06	  1.0348e-02	  6.0845e-04	  4.2266e-04	  2.9301e-04	  3.7516e+03	  7.3754e-02	  1.1312e-01	  0.0000e+00	
  6.9819e+00	  8.0966e-03	  4.0019e-04	  5.0844e-03	  1.4096e-03	  5.1721e-06	  1.0432e-02	  6.1682e-04	  4.2266e-04	  2.9803e-04	  3.7738e+03	  7.3551e-02	  1.1322e-01	  0.0000e+00	
