          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.4575e+00	  4.3845e-03	  3.4364e-04	  5.2925e-03	  1.1504e-03	  7.0783e-07	  7.2303e-03	  3.2353e-04	  4.4350e-04	  1.5844e-04	  2.8855e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	
  7.4384e+00	  4.5708e-03	  3.5507e-04	  5.6887e-03	  1.2372e-03	  7.1003e-07	  8.3974e-03	  4.5756e-04	  4.5741e-04	  2.2713e-04	  3.1803e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	
  7.4208e+00	  4.7482e-03	  3.6575e-04	  6.0709e-03	  1.3209e-03	  7.1365e-07	  9.4977e-03	  5.8163e-04	  4.7033e-04	  2.9169e-04	  3.4574e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4044e+00	  4.9175e-03	  3.7575e-04	  6.4396e-03	  1.4016e-03	  7.1838e-07	  1.0539e-02	  6.9726e-04	  4.8237e-04	  3.5263e-04	  3.7188e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3891e+00	  5.0793e-03	  3.8515e-04	  6.7953e-03	  1.4795e-03	  7.2403e-07	  1.1527e-02	  8.0561e-04	  4.9363e-04	  4.1034e-04	  3.9663e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3747e+00	  5.2343e-03	  3.9400e-04	  7.1382e-03	  1.5545e-03	  7.3040e-07	  1.2466e-02	  9.0758e-04	  5.0418e-04	  4.6514e-04	  4.2010e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3612e+00	  5.3828e-03	  4.0235e-04	  7.4690e-03	  1.6269e-03	  7.3737e-07	  1.3362e-02	  1.0039e-03	  5.1410e-04	  5.1729e-04	  4.4241e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3484e+00	  5.5252e-03	  4.1024e-04	  7.7880e-03	  1.6967e-03	  7.4481e-07	  1.4217e-02	  1.0951e-03	  5.2343e-04	  5.6700e-04	  4.6365e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3363e+00	  5.6620e-03	  4.1771e-04	  8.0956e-03	  1.7640e-03	  7.5265e-07	  1.5034e-02	  1.1817e-03	  5.3224e-04	  6.1446e-04	  4.8390e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3248e+00	  5.7934e-03	  4.2480e-04	  8.3922e-03	  1.8289e-03	  7.6080e-07	  1.5816e-02	  1.2642e-03	  5.4056e-04	  6.5983e-04	  5.0323e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3139e+00	  5.9197e-03	  4.3153e-04	  8.6784e-03	  1.8914e-03	  7.6921e-07	  1.6565e-02	  1.3427e-03	  5.4842e-04	  7.0325e-04	  5.2169e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3035e+00	  6.0412e-03	  4.3793e-04	  8.9543e-03	  1.9518e-03	  7.7780e-07	  1.7283e-02	  1.4177e-03	  5.5588e-04	  7.4484e-04	  5.3936e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2936e+00	  6.1582e-03	  4.4402e-04	  9.2204e-03	  2.0100e-03	  7.8655e-07	  1.7972e-02	  1.4893e-03	  5.6295e-04	  7.8470e-04	  5.5626e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2842e+00	  6.2707e-03	  4.4983e-04	  9.4771e-03	  2.0661e-03	  7.9541e-07	  1.8633e-02	  1.5579e-03	  5.6966e-04	  8.2295e-04	  5.7246e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2751e+00	  6.3792e-03	  4.5536e-04	  9.7247e-03	  2.1202e-03	  8.0435e-07	  1.9268e-02	  1.6235e-03	  5.7605e-04	  8.5966e-04	  5.8797e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2665e+00	  6.4836e-03	  4.6064e-04	  9.9636e-03	  2.1724e-03	  8.1333e-07	  1.9878e-02	  1.6864e-03	  5.8212e-04	  8.9492e-04	  6.0286e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2582e+00	  6.5843e-03	  4.6569e-04	  1.0194e-02	  2.2228e-03	  8.2233e-07	  2.0465e-02	  1.7467e-03	  5.8790e-04	  9.2879e-04	  6.1713e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2503e+00	  6.6813e-03	  4.7051e-04	  1.0416e-02	  2.2714e-03	  8.3132e-07	  2.1029e-02	  1.8045e-03	  5.9341e-04	  9.6135e-04	  6.3084e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2427e+00	  6.7749e-03	  4.7513e-04	  1.0631e-02	  2.3183e-03	  8.4030e-07	  2.1571e-02	  1.8601e-03	  5.9867e-04	  9.9266e-04	  6.4399e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2354e+00	  6.8651e-03	  4.7954e-04	  1.0838e-02	  2.3635e-03	  8.4923e-07	  2.2094e-02	  1.9134e-03	  6.0368e-04	  1.0228e-03	  6.5663e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2284e+00	  6.9521e-03	  4.8376e-04	  1.1037e-02	  2.4071e-03	  8.5811e-07	  2.2596e-02	  1.9647e-03	  6.0847e-04	  1.0518e-03	  6.6878e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2217e+00	  7.0360e-03	  4.8781e-04	  1.1230e-02	  2.4492e-03	  8.6692e-07	  2.3080e-02	  2.0140e-03	  6.1305e-04	  1.0796e-03	  6.8045e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2153e+00	  7.1169e-03	  4.9169e-04	  1.1415e-02	  2.4898e-03	  8.7565e-07	  2.3546e-02	  2.0614e-03	  6.1742e-04	  1.1065e-03	  6.9167e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2091e+00	  7.1950e-03	  4.9541e-04	  1.1595e-02	  2.5290e-03	  8.8428e-07	  2.3995e-02	  2.1070e-03	  6.2160e-04	  1.1323e-03	  7.0247e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2031e+00	  7.2704e-03	  4.9898e-04	  1.1768e-02	  2.5668e-03	  8.9282e-07	  2.4427e-02	  2.1508e-03	  6.2561e-04	  1.1572e-03	  7.1285e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1974e+00	  7.3431e-03	  5.0240e-04	  1.1935e-02	  2.6032e-03	  9.0124e-07	  2.4843e-02	  2.1930e-03	  6.2944e-04	  1.1812e-03	  7.2283e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1919e+00	  7.4132e-03	  5.0568e-04	  1.2096e-02	  2.6384e-03	  9.0954e-07	  2.5244e-02	  2.2337e-03	  6.3311e-04	  1.2043e-03	  7.3245e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1866e+00	  7.4809e-03	  5.0884e-04	  1.2251e-02	  2.6724e-03	  9.1773e-07	  2.5631e-02	  2.2728e-03	  6.3663e-04	  1.2265e-03	  7.4170e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1815e+00	  7.5463e-03	  5.1186e-04	  1.2401e-02	  2.7052e-03	  9.2578e-07	  2.6004e-02	  2.3105e-03	  6.4000e-04	  1.2480e-03	  7.5060e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1766e+00	  7.6094e-03	  5.1477e-04	  1.2546e-02	  2.7368e-03	  9.3370e-07	  2.6363e-02	  2.3468e-03	  6.4324e-04	  1.2687e-03	  7.5917e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
