          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.5077e+00	  4.3212e-03	  3.3897e-04	  5.1460e-03	  1.1175e-03	  6.1360e-07	  6.6209e-03	  2.4561e-04	  4.3811e-04	  7.9873e-05	  2.7420e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4926e+00	  4.4300e-03	  3.4458e-04	  5.3298e-03	  1.1580e-03	  6.2650e-07	  7.1722e-03	  3.0861e-04	  4.4446e-04	  1.1335e-04	  2.8833e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4782e+00	  4.5351e-03	  3.4991e-04	  5.5074e-03	  1.1971e-03	  6.3967e-07	  7.6992e-03	  3.6830e-04	  4.5048e-04	  1.4528e-04	  3.0181e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4643e+00	  4.6366e-03	  3.5500e-04	  5.6789e-03	  1.2348e-03	  6.5305e-07	  8.2036e-03	  4.2497e-04	  4.5619e-04	  1.7578e-04	  3.1470e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4511e+00	  4.7346e-03	  3.5984e-04	  5.8444e-03	  1.2713e-03	  6.6661e-07	  8.6868e-03	  4.7886e-04	  4.6160e-04	  2.0493e-04	  3.2702e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4384e+00	  4.8293e-03	  3.6447e-04	  6.0042e-03	  1.3065e-03	  6.8032e-07	  9.1499e-03	  5.3019e-04	  4.6675e-04	  2.3282e-04	  3.3882e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4262e+00	  4.9207e-03	  3.6888e-04	  6.1585e-03	  1.3405e-03	  6.9413e-07	  9.5941e-03	  5.7914e-04	  4.7164e-04	  2.5953e-04	  3.5012e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4146e+00	  5.0090e-03	  3.7311e-04	  6.3074e-03	  1.3733e-03	  7.0804e-07	  1.0021e-02	  6.2587e-04	  4.7630e-04	  2.8513e-04	  3.6095e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4033e+00	  5.0944e-03	  3.7714e-04	  6.4512e-03	  1.4050e-03	  7.2200e-07	  1.0430e-02	  6.7053e-04	  4.8074e-04	  3.0967e-04	  3.7134e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3925e+00	  5.1768e-03	  3.8100e-04	  6.5899e-03	  1.4356e-03	  7.3599e-07	  1.0823e-02	  7.1325e-04	  4.8497e-04	  3.3322e-04	  3.8130e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3822e+00	  5.2564e-03	  3.8470e-04	  6.7238e-03	  1.4651e-03	  7.5000e-07	  1.1201e-02	  7.5414e-04	  4.8900e-04	  3.5582e-04	  3.9086e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3722e+00	  5.3334e-03	  3.8824e-04	  6.8531e-03	  1.4936e-03	  7.6400e-07	  1.1565e-02	  7.9332e-04	  4.9285e-04	  3.7753e-04	  4.0005e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3626e+00	  5.4077e-03	  3.9163e-04	  6.9778e-03	  1.5211e-03	  7.7797e-07	  1.1914e-02	  8.3087e-04	  4.9653e-04	  3.9838e-04	  4.0887e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3534e+00	  5.4796e-03	  3.9489e-04	  7.0982e-03	  1.5477e-03	  7.9189e-07	  1.2250e-02	  8.6688e-04	  5.0004e-04	  4.1842e-04	  4.1735e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3445e+00	  5.5490e-03	  3.9801e-04	  7.2144e-03	  1.5733e-03	  8.0575e-07	  1.2574e-02	  9.0144e-04	  5.0340e-04	  4.3768e-04	  4.2549e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3359e+00	  5.6161e-03	  4.0100e-04	  7.3266e-03	  1.5981e-03	  8.1954e-07	  1.2885e-02	  9.3461e-04	  5.0661e-04	  4.5621e-04	  4.3333e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3276e+00	  5.6809e-03	  4.0387e-04	  7.4348e-03	  1.6220e-03	  8.3323e-07	  1.3185e-02	  9.6648e-04	  5.0969e-04	  4.7403e-04	  4.4086e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3197e+00	  5.7435e-03	  4.0662e-04	  7.5393e-03	  1.6451e-03	  8.4681e-07	  1.3474e-02	  9.9709e-04	  5.1263e-04	  4.9117e-04	  4.4810e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3120e+00	  5.8040e-03	  4.0927e-04	  7.6401e-03	  1.6673e-03	  8.6028e-07	  1.3752e-02	  1.0265e-03	  5.1545e-04	  5.0767e-04	  4.5507e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3046e+00	  5.8625e-03	  4.1181e-04	  7.7374e-03	  1.6888e-03	  8.7362e-07	  1.4020e-02	  1.0548e-03	  5.1815e-04	  5.2356e-04	  4.6178e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2975e+00	  5.9189e-03	  4.1426e-04	  7.8314e-03	  1.7096e-03	  8.8681e-07	  1.4278e-02	  1.0820e-03	  5.2074e-04	  5.3885e-04	  4.6824e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2906e+00	  5.9735e-03	  4.1660e-04	  7.9220e-03	  1.7296e-03	  8.9986e-07	  1.4526e-02	  1.1082e-03	  5.2322e-04	  5.5357e-04	  4.7445e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2840e+00	  6.0263e-03	  4.1886e-04	  8.0095e-03	  1.7490e-03	  9.1274e-07	  1.4766e-02	  1.1333e-03	  5.2559e-04	  5.6775e-04	  4.8044e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2776e+00	  6.0772e-03	  4.2103e-04	  8.0940e-03	  1.7676e-03	  9.2546e-07	  1.4997e-02	  1.1576e-03	  5.2788e-04	  5.8140e-04	  4.8620e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2714e+00	  6.1264e-03	  4.2312e-04	  8.1755e-03	  1.7857e-03	  9.3801e-07	  1.5219e-02	  1.1809e-03	  5.3007e-04	  5.9456e-04	  4.9175e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2654e+00	  6.1740e-03	  4.2512e-04	  8.2541e-03	  1.8031e-03	  9.5037e-07	  1.5434e-02	  1.2034e-03	  5.3217e-04	  6.0723e-04	  4.9709e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2597e+00	  6.2200e-03	  4.2705e-04	  8.3301e-03	  1.8199e-03	  9.6255e-07	  1.5641e-02	  1.2250e-03	  5.3419e-04	  6.1945e-04	  5.0224e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2542e+00	  6.2644e-03	  4.2891e-04	  8.4033e-03	  1.8361e-03	  9.7453e-07	  1.5840e-02	  1.2458e-03	  5.3612e-04	  6.3122e-04	  5.0720e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2488e+00	  6.3073e-03	  4.3070e-04	  8.4741e-03	  1.8517e-03	  9.8632e-07	  1.6033e-02	  1.2659e-03	  5.3798e-04	  6.4256e-04	  5.1198e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2436e+00	  6.3487e-03	  4.3242e-04	  8.5424e-03	  1.8668e-03	  9.9791e-07	  1.6218e-02	  1.2852e-03	  5.3977e-04	  6.5349e-04	  5.1659e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
