          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.6644e+00	  4.1755e-03	  3.3043e-04	  4.8964e-03	  1.0614e-03	  4.1174e-05	  6.0679e-03	  1.8024e-04	  4.2255e-04	  9.0118e-06	  2.5751e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.4562e+00	  4.3864e-03	  3.4379e-04	  5.2976e-03	  1.1515e-03	  7.1037e-07	  7.2485e-03	  3.2579e-04	  4.4368e-04	  1.6070e-04	  2.8900e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	
  7.4370e+00	  4.5749e-03	  3.5539e-04	  5.7001e-03	  1.2397e-03	  7.1225e-07	  8.4335e-03	  4.6182e-04	  4.5780e-04	  2.3037e-04	  3.1891e+03	  0.0000e+00	  1.5000e-01	  0.0000e+00	
  7.4193e+00	  4.7544e-03	  3.6622e-04	  6.0884e-03	  1.3247e-03	  7.1560e-07	  9.5501e-03	  5.8766e-04	  4.7092e-04	  2.9584e-04	  3.4703e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.4028e+00	  4.9255e-03	  3.7636e-04	  6.4630e-03	  1.4067e-03	  7.2011e-07	  1.0606e-02	  7.0490e-04	  4.8314e-04	  3.5762e-04	  3.7355e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3874e+00	  5.0891e-03	  3.8588e-04	  6.8242e-03	  1.4858e-03	  7.2555e-07	  1.1608e-02	  8.1472e-04	  4.9456e-04	  4.1611e-04	  3.9864e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3730e+00	  5.2456e-03	  3.9484e-04	  7.1726e-03	  1.5620e-03	  7.3175e-07	  1.2561e-02	  9.1805e-04	  5.0526e-04	  4.7164e-04	  4.2243e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3594e+00	  5.3956e-03	  4.0329e-04	  7.5085e-03	  1.6355e-03	  7.3856e-07	  1.3470e-02	  1.0156e-03	  5.1531e-04	  5.2447e-04	  4.4505e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3466e+00	  5.5395e-03	  4.1128e-04	  7.8325e-03	  1.7064e-03	  7.4586e-07	  1.4336e-02	  1.1081e-03	  5.2477e-04	  5.7484e-04	  4.6657e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3345e+00	  5.6776e-03	  4.1885e-04	  8.1449e-03	  1.7747e-03	  7.5357e-07	  1.5165e-02	  1.1958e-03	  5.3369e-04	  6.2292e-04	  4.8709e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3230e+00	  5.8102e-03	  4.2602e-04	  8.4462e-03	  1.8406e-03	  7.6160e-07	  1.5958e-02	  1.2793e-03	  5.4211e-04	  6.6888e-04	  5.0668e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3121e+00	  5.9377e-03	  4.3283e-04	  8.7368e-03	  1.9041e-03	  7.6989e-07	  1.6717e-02	  1.3588e-03	  5.5008e-04	  7.1287e-04	  5.2539e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.3017e+00	  6.0604e-03	  4.3930e-04	  9.0170e-03	  1.9654e-03	  7.7839e-07	  1.7445e-02	  1.4348e-03	  5.5763e-04	  7.5500e-04	  5.4328e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2918e+00	  6.1784e-03	  4.4546e-04	  9.2873e-03	  2.0245e-03	  7.8704e-07	  1.8143e-02	  1.5073e-03	  5.6478e-04	  7.9538e-04	  5.6041e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2823e+00	  6.2920e-03	  4.5133e-04	  9.5480e-03	  2.0815e-03	  7.9580e-07	  1.8813e-02	  1.5767e-03	  5.7158e-04	  8.3412e-04	  5.7681e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2733e+00	  6.4014e-03	  4.5693e-04	  9.7994e-03	  2.1364e-03	  8.0465e-07	  1.9457e-02	  1.6432e-03	  5.7804e-04	  8.7131e-04	  5.9253e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2646e+00	  6.5068e-03	  4.6227e-04	  1.0042e-02	  2.1894e-03	  8.1354e-07	  2.0075e-02	  1.7069e-03	  5.8418e-04	  9.0702e-04	  6.0760e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2564e+00	  6.6084e-03	  4.6737e-04	  1.0276e-02	  2.2406e-03	  8.2246e-07	  2.0670e-02	  1.7679e-03	  5.9003e-04	  9.4133e-04	  6.2206e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2484e+00	  6.7063e-03	  4.7224e-04	  1.0502e-02	  2.2899e-03	  8.3138e-07	  2.1242e-02	  1.8265e-03	  5.9561e-04	  9.7431e-04	  6.3594e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2408e+00	  6.8006e-03	  4.7690e-04	  1.0719e-02	  2.3375e-03	  8.4028e-07	  2.1792e-02	  1.8828e-03	  6.0093e-04	  1.0060e-03	  6.4926e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2336e+00	  6.8916e-03	  4.8136e-04	  1.0929e-02	  2.3834e-03	  8.4914e-07	  2.2321e-02	  1.9368e-03	  6.0600e-04	  1.0365e-03	  6.6206e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2266e+00	  6.9794e-03	  4.8563e-04	  1.1132e-02	  2.4277e-03	  8.5794e-07	  2.2830e-02	  1.9888e-03	  6.1084e-04	  1.0659e-03	  6.7436e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2199e+00	  7.0640e-03	  4.8972e-04	  1.1327e-02	  2.4704e-03	  8.6668e-07	  2.3321e-02	  2.0387e-03	  6.1547e-04	  1.0941e-03	  6.8618e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2134e+00	  7.1456e-03	  4.9364e-04	  1.1516e-02	  2.5116e-03	  8.7534e-07	  2.3793e-02	  2.0867e-03	  6.1990e-04	  1.1213e-03	  6.9754e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2072e+00	  7.2244e-03	  4.9740e-04	  1.1698e-02	  2.5514e-03	  8.8391e-07	  2.4248e-02	  2.1328e-03	  6.2413e-04	  1.1475e-03	  7.0847e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.2013e+00	  7.3004e-03	  5.0100e-04	  1.1874e-02	  2.5897e-03	  8.9238e-07	  2.4686e-02	  2.1773e-03	  6.2818e-04	  1.1727e-03	  7.1898e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1956e+00	  7.3737e-03	  5.0446e-04	  1.2043e-02	  2.6268e-03	  9.0074e-07	  2.5108e-02	  2.2200e-03	  6.3205e-04	  1.1970e-03	  7.2910e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1901e+00	  7.4444e-03	  5.0778e-04	  1.2207e-02	  2.6625e-03	  9.0898e-07	  2.5514e-02	  2.2612e-03	  6.3576e-04	  1.2204e-03	  7.3883e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1848e+00	  7.5127e-03	  5.1096e-04	  1.2364e-02	  2.6970e-03	  9.1710e-07	  2.5906e-02	  2.3008e-03	  6.3932e-04	  1.2429e-03	  7.4820e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1797e+00	  7.5786e-03	  5.1402e-04	  1.2517e-02	  2.7302e-03	  9.2510e-07	  2.6284e-02	  2.3390e-03	  6.4273e-04	  1.2647e-03	  7.5721e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
  7.1748e+00	  7.6422e-03	  5.1696e-04	  1.2664e-02	  2.7623e-03	  9.3296e-07	  2.6648e-02	  2.3758e-03	  6.4600e-04	  1.2856e-03	  7.6589e+03	  0.0000e+00	  1.4999e-01	  0.0000e+00	
