"","pH","Na","K","Ca","Mg","PO4","Cl","SO4","NH4","HCO3","sc","exchanger"
"3",-0.000475843932171705,0.459759787739032,1.92248471622883,-0.0451286888635565,-0.0384271396750089,-0.568149551586338,0.412372357761686,0.78084573435653,-0.718299270808508,2.20386652997673,0.424349855263587,"no_Buffer"
"4",-0.00185860768928503,0.550476135697761,2.1049925107184,-0.103193345105357,-0.086740023867649,-0.874898579404706,0.48189639096716,0.839963301567527,-1.14707138181978,1.86507387904938,0.494866275744338,"no_Buffer"
"5",-0.00244845305884089,0.578295446121956,2.1457135874673,-0.157324655909814,-0.130946691347771,-1.07630653115381,0.494264750376887,0.821707601500574,-1.45487126708817,1.63362439573889,0.507942167581566,"no_Buffer"
"6",-0.00225171532483448,0.58518918269716,2.14390361664694,-0.206082678031845,-0.170046414638304,-1.22166669581136,0.488783630516682,0.786448185724248,-1.69540146356632,1.46307293715196,0.503227154919641,"no_Buffer"
"7",-0.00138134662611589,0.583341951494717,2.12504435514028,-0.24977274981505,-0.20449744181664,-1.33291927463747,0.476631356242433,0.748202612507025,-1.8926177439174,1.3307186566823,0.49184804759077,"no_Buffer"
"8",2.6883527120436e-05,0.577433467938929,2.09849680194088,-0.288992483447288,-0.23490618927647,-1.42164595096279,0.46194470949863,0.711086923165158,-2.05960006808564,1.22422090197192,0.477916667653638,"no_Buffer"
"9",0.00190815560656343,0.569555515470896,2.06843178337433,-0.324288286878475,-0.261875105092494,-1.49486342697041,0.446492844162646,0.676397108513661,-2.20418931137193,1.1361263062869,0.463329653553306,"no_Buffer"
"10",0.00418637920474607,0.560780804294204,2.03691801045779,-0.356223364216764,-0.285916420421181,-1.55673993283404,0.431089939795618,0.644396771207913,-2.33152770331916,1.0616443340386,0.448613579679652,"no_Buffer"
"11",0.00678753493772311,0.551616474089431,2.00502590826853,-0.385168209223004,-0.30737616336103,-1.61031020145495,0.416145349046801,0.615057210565428,-2.44516169517883,0.997560681887768,0.434458370472736,"no_Buffer"
"12",0.00969194749452962,0.542426655496304,1.97340163201531,-0.411501796495174,-0.32664634717366,-1.65748960782115,0.401864459892242,0.588141092440527,-2.54760141824579,0.941635993153528,0.420822556282147,"no_Buffer"
"13",0.0128416427329641,0.53336647199443,1.9422480290135,-0.435568434767709,-0.343999656268503,-1.69960709694666,0.388306242206421,0.563424086874076,-2.6407999446655,0.89206599691469,0.4079551924941,"no_Buffer"
