time,pH,Na,K,Ca,Mg,PO4,Cl,NH4,SO4
6,7.24,11.95,0.492,1.52,1.81,0.082,12.5,0.34,0.38
19,7.74,12.26,0.492,1.51,1.83,0.101,13.1,0.35,0.33
33,7.57,13.55,0.46,1.55,1.78,0.101,12.9,0.35,0.29
47,7.27,11.43,0.468,1.58,1.83,0.11,10.5,0.28,0.29
62,7.57,10.44,0.44,1.53,1.66,0.111,9.9,0.22,0.29
75,7.78,11.4,0.38,1.44,1.56,0.108,10.8,0.22,0.29
89,7.57,11.39,0.324,1.43,1.48,0.11,9.2,0.22,0.3
103,7.77,11.22,0.324,1.34,1.31,0.105,9,0.2,0.21
117,8,10.07,0.276,1.21,1.21,0.106,8.8,0.18,0.16
131,7.78,11.52,0.288,1.24,1.24,0.103,8.4,0.18,0.19
145,8.01,9.39,0.264,1.28,1.16,0.109,7.4,0.15,0.16
159,7.86,9.71,0.268,1.14,1.14,0.106,8.1,0.15,0.11
173,7.79,9.21,0.252,1.18,1.11,0.114,6.9,0.15,0.11
187,7.57,7.9,0.216,1,0.89,0.093,7.3,0.15,0.11
200,7.68,9.19,0.236,1.21,0.99,0.108,6.9,0.16,0.13
