          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1752e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  3.7652e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1752e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  3.7652e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1763e+00	  1.1992e-02	  4.9360e-04	  1.5291e-03	  1.8209e-03	  8.1892e-05	  1.2546e-02	  3.9011e-04	  3.4512e-04	  2.9491e-05	  3.7780e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1778e+00	  1.2017e-02	  4.9453e-04	  1.5360e-03	  1.8291e-03	  8.1805e-05	  1.2575e-02	  3.9939e-04	  3.4576e-04	  5.2176e-05	  3.7902e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1792e+00	  1.2041e-02	  4.9541e-04	  1.5426e-03	  1.8369e-03	  8.1722e-05	  1.2602e-02	  4.0831e-04	  3.4637e-04	  7.4052e-05	  3.8021e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1806e+00	  1.2065e-02	  4.9627e-04	  1.5490e-03	  1.8446e-03	  8.1642e-05	  1.2629e-02	  4.1691e-04	  3.4697e-04	  9.5150e-05	  3.8135e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1819e+00	  1.2087e-02	  4.9710e-04	  1.5552e-03	  1.8519e-03	  8.1565e-05	  1.2655e-02	  4.2518e-04	  3.4754e-04	  1.1550e-04	  3.8245e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1832e+00	  1.2109e-02	  4.9789e-04	  1.5611e-03	  1.8590e-03	  8.1492e-05	  1.2680e-02	  4.3316e-04	  3.4810e-04	  1.3512e-04	  3.8351e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1844e+00	  1.2130e-02	  4.9866e-04	  1.5669e-03	  1.8659e-03	  8.1421e-05	  1.2704e-02	  4.4083e-04	  3.4863e-04	  1.5405e-04	  3.8454e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1855e+00	  1.2151e-02	  4.9940e-04	  1.5725e-03	  1.8726e-03	  8.1353e-05	  1.2728e-02	  4.4823e-04	  3.4914e-04	  1.7231e-04	  3.8552e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1866e+00	  1.2170e-02	  5.0012e-04	  1.5779e-03	  1.8790e-03	  8.1287e-05	  1.2750e-02	  4.5535e-04	  3.4964e-04	  1.8993e-04	  3.8648e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1877e+00	  1.2189e-02	  5.0081e-04	  1.5831e-03	  1.8852e-03	  8.1224e-05	  1.2772e-02	  4.6222e-04	  3.5012e-04	  2.0692e-04	  3.8740e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1887e+00	  1.2208e-02	  5.0147e-04	  1.5881e-03	  1.8912e-03	  8.1164e-05	  1.2793e-02	  4.6883e-04	  3.5058e-04	  2.2331e-04	  3.8828e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1897e+00	  1.2225e-02	  5.0211e-04	  1.5929e-03	  1.8970e-03	  8.1106e-05	  1.2813e-02	  4.7521e-04	  3.5102e-04	  2.3912e-04	  3.8914e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
