          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1752e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  3.7652e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1752e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  3.7652e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1754e+00	  1.2020e-02	  4.9467e-04	  1.5370e-03	  1.8303e-03	  8.1773e-05	  1.2578e-02	  4.0138e-04	  3.4584e-04	  5.5459e-05	  3.7920e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1760e+00	  1.2073e-02	  4.9661e-04	  1.5514e-03	  1.8474e-03	  8.1574e-05	  1.2637e-02	  4.2142e-04	  3.4718e-04	  1.0246e-04	  3.8176e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1765e+00	  1.2124e-02	  4.9847e-04	  1.5652e-03	  1.8640e-03	  8.1385e-05	  1.2695e-02	  4.4066e-04	  3.4846e-04	  1.4770e-04	  3.8423e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1770e+00	  1.2172e-02	  5.0026e-04	  1.5786e-03	  1.8800e-03	  8.1204e-05	  1.2750e-02	  4.5912e-04	  3.4969e-04	  1.9123e-04	  3.8660e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1775e+00	  1.2219e-02	  5.0198e-04	  1.5916e-03	  1.8954e-03	  8.1032e-05	  1.2803e-02	  4.7684e-04	  3.5088e-04	  2.3314e-04	  3.8889e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1780e+00	  1.2264e-02	  5.0364e-04	  1.6041e-03	  1.9103e-03	  8.0868e-05	  1.2855e-02	  4.9386e-04	  3.5201e-04	  2.7348e-04	  3.9109e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1784e+00	  1.2308e-02	  5.0523e-04	  1.6162e-03	  1.9248e-03	  8.0711e-05	  1.2905e-02	  5.1021e-04	  3.5311e-04	  3.1233e-04	  3.9321e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1789e+00	  1.2350e-02	  5.0677e-04	  1.6279e-03	  1.9387e-03	  8.0561e-05	  1.2953e-02	  5.2592e-04	  3.5416e-04	  3.4973e-04	  3.9525e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1793e+00	  1.2390e-02	  5.0824e-04	  1.6392e-03	  1.9521e-03	  8.0418e-05	  1.2999e-02	  5.4101e-04	  3.5518e-04	  3.8576e-04	  3.9721e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1797e+00	  1.2429e-02	  5.0966e-04	  1.6501e-03	  1.9651e-03	  8.0281e-05	  1.3044e-02	  5.5552e-04	  3.5615e-04	  4.2046e-04	  3.9911e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1801e+00	  1.2466e-02	  5.1103e-04	  1.6606e-03	  1.9777e-03	  8.0150e-05	  1.3087e-02	  5.6947e-04	  3.5709e-04	  4.5389e-04	  4.0093e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1805e+00	  1.2502e-02	  5.1235e-04	  1.6708e-03	  1.9898e-03	  8.0025e-05	  1.3129e-02	  5.8289e-04	  3.5800e-04	  4.8610e-04	  4.0269e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
