          pH	          Na	           K	          Ca	          Mg	         PO4	          Cl	         SO4	         NH4	        HCO3	          sc	         FeS	      Pyrite	     Calcite	       CaPO4	      Fe3PO4	     CaMgCO3	
  7.1752e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  3.7652e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1752e+00	  1.1965e-02	  4.9263e-04	  1.5220e-03	  1.8123e-03	  8.1986e-05	  1.2516e-02	  3.8049e-04	  3.4444e-04	  5.3769e-06	  3.7652e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1759e+00	  1.2006e-02	  4.9413e-04	  1.5330e-03	  1.8256e-03	  8.1829e-05	  1.2562e-02	  3.9592e-04	  3.4548e-04	  4.2781e-05	  3.7850e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1768e+00	  1.2045e-02	  4.9556e-04	  1.5436e-03	  1.8382e-03	  8.1683e-05	  1.2606e-02	  4.1075e-04	  3.4646e-04	  7.7927e-05	  3.8040e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1778e+00	  1.2082e-02	  4.9693e-04	  1.5539e-03	  1.8504e-03	  8.1543e-05	  1.2648e-02	  4.2501e-04	  3.4741e-04	  1.1178e-04	  3.8223e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1787e+00	  1.2118e-02	  4.9825e-04	  1.5637e-03	  1.8622e-03	  8.1410e-05	  1.2690e-02	  4.3871e-04	  3.4832e-04	  1.4440e-04	  3.8399e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1796e+00	  1.2153e-02	  4.9953e-04	  1.5733e-03	  1.8736e-03	  8.1282e-05	  1.2729e-02	  4.5188e-04	  3.4920e-04	  1.7582e-04	  3.8569e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1804e+00	  1.2187e-02	  5.0075e-04	  1.5825e-03	  1.8846e-03	  8.1159e-05	  1.2768e-02	  4.6455e-04	  3.5005e-04	  2.0610e-04	  3.8733e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1812e+00	  1.2219e-02	  5.0194e-04	  1.5914e-03	  1.8952e-03	  8.1042e-05	  1.2804e-02	  4.7673e-04	  3.5086e-04	  2.3528e-04	  3.8891e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1820e+00	  1.2250e-02	  5.0307e-04	  1.6000e-03	  1.9055e-03	  8.0930e-05	  1.2840e-02	  4.8844e-04	  3.5164e-04	  2.6340e-04	  3.9043e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1827e+00	  1.2280e-02	  5.0417e-04	  1.6084e-03	  1.9154e-03	  8.0822e-05	  1.2875e-02	  4.9971e-04	  3.5240e-04	  2.9051e-04	  3.9189e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1835e+00	  1.2309e-02	  5.0523e-04	  1.6164e-03	  1.9250e-03	  8.0719e-05	  1.2908e-02	  5.1056e-04	  3.5313e-04	  3.1663e-04	  3.9331e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1842e+00	  1.2337e-02	  5.0624e-04	  1.6242e-03	  1.9342e-03	  8.0620e-05	  1.2940e-02	  5.2100e-04	  3.5383e-04	  3.4182e-04	  3.9467e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.1848e+00	  1.2364e-02	  5.0723e-04	  1.6317e-03	  1.9432e-03	  8.0525e-05	  1.2971e-02	  5.3104e-04	  3.5450e-04	  3.6609e-04	  3.9598e+03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
