time,pH,Na,K,Ca,Mg,PO4,Cl,NH4,SO4
6,7.08,19.59,0.58,2.07,2.41,0.08,22.7,0.4198,1.19
19,7.48,24.62,0.672,2.78,2.99,0.093,30.2,0.4632,1.41
33,7.22,26.88,0.688,2.73,3.35,0.092,32.1,0.3907,1.6
47,7.08,27.04,0.792,2.98,3.83,0.096,34.4,0.3421,2.24
62,7.34,28,0.84,3.26,4.02,0.095,37.7,0.3016,2.48
75,7.5,32.05,0.772,3.34,3.92,0.086,40.8,0.277,2.51
89,7.2,33.99,0.728,3.33,4.04,0.093,41.4,0.2844,2.51
103,7.59,35.93,0.768,3.24,3.89,0.084,42.7,0.2519,2.71
117,7.46,33.97,0.8,3.49,4.25,0.098,42.9,0.2353,2.86
131,7.43,34.12,0.74,3.23,3.84,0.086,39.5,0.2227,2.6
145,7.42,35.9,0.784,3.56,4.15,0.098,42.5,0.1982,2.97
159,7.57,32.63,0.816,3.51,4.15,0.094,39.7,0.1776,2.86
173,7.36,36.04,0.812,3.42,4.27,0.099,42,0.1771,2.84
187,7.29,38.63,0.808,3.58,4.07,0.095,37.5,0.1685,2.89
200,7.31,36.83,0.828,3.53,4.19,0.096,43.3,0.1799,2.75
